"topic","term","beta"
1,"game",0.02616490633214
1,"still",0.0240511791010859
1,"auburn",0.02241130068446
1,"rain",0.0109323618570226
1,"miss",0.0109321784292993
1,"twitpic.com",0.0109024895044787
1,"better",0.0107214338547869
1,"day",0.00930666216402028
1,"football",0.00889510983544951
1,"play",0.00809738601061984
2,"lol",0.0301960465232317
2,"go",0.0207914591632638
2,"back",0.0198234099010095
2,"great",0.0190576566504536
2,"day",0.0163542481951519
2,"home",0.013472978601337
2,"sleep",0.0105149531361693
2,"oh",0.00891212175868042
2,"got",0.00826871721532949
2,"wait",0.00808842133163845
3,"love",0.0386024793696101
3,"know",0.0326339193725063
3,"just",0.017388228732102
3,"can",0.0150188759333474
3,"watch",0.012864821650477
3,"like",0.0127247348715785
3,"watching",0.0115591390788953
3,"blitz",0.0111891308034424
3,"people",0.0102726039491109
3,"ok",0.00839184659630774
4,"see",0.0299358691939366
4,"thanks",0.0164353808380158
4,"guys",0.0132070026014487
4,"yes",0.0114458215111626
4,"call",0.010272113133643
4,"awesome",0.00985030504460014
4,"new",0.00980161133815035
4,"glad",0.00939144902937339
4,"obama",0.00906924855752576
4,"haha",0.00831603226369367
5,"night",0.0255085711814661
5,"today",0.0240088817987367
5,"last",0.0207488919276263
5,"rt",0.0186806488780236
5,"alabama",0.0154973555664505
5,"roll",0.0141136631051603
5,"ready",0.0138360297348921
5,"win",0.012729970643316
5,"go",0.0121699744598364
5,"tide",0.0118997551670959
6,"check",0.0133132965443484
6,"best",0.0115062864959868
6,"rt",0.0108362718458413
6,"days",0.00920766498690987
6,"new",0.00892723263389417
6,"now",0.00843121525442435
6,"like",0.00842116020760252
6,"just",0.00834374087607741
6,"happy",0.00777343976336493
6,"d",0.00719762779412703
7,"get",0.0634365911293757
7,"like",0.012096561040893
7,"life",0.0120015172607499
7,"time",0.0113412188302254
7,"need",0.010435304727397
7,"bed",0.00942976353074973
7,"rt",0.00836462600738114
7,"already",0.00771519555846011
7,"wow",0.0070597576955231
7,"things",0.00673319560733094
8,"one",0.0336509717906009
8,"really",0.0202141934002653
8,"make",0.0165130033389533
8,"finally",0.00768708745858664
8,"class",0.00711767394413466
8,"day",0.00702644289767851
8,"week",0.00670473310358128
8,"job",0.00648726712539105
8,"twitter",0.00622587411321172
8,"got",0.00612490447306275
9,"good",0.0510620944790637
9,"just",0.0422759858067062
9,"u",0.0263288986133407
9,"right",0.0218077419902464
9,"tonight",0.0131558407058245
9,"morning",0.0129043079173489
9,"never",0.0127654163455857
9,"twitter",0.0125347696404943
9,"now",0.0117728152022257
9,"w",0.0106333860120502
