"topic","term","beta"
1,"just",0.0579632449313763
1,"now",0.0312952318214134
1,"time",0.0197240192030483
1,"oh",0.0137623609868732
1,"right",0.0132910469621608
1,"see",0.0107786404528412
1,"got",0.00908269609607146
1,"awesome",0.00876643195866291
1,"feel",0.00802292922768509
1,"lol",0.00739608378020248
2,"think",0.0205947953688367
2,"know",0.0205351122112499
2,"tonight",0.0185703496265776
2,"people",0.0149399896400954
2,"going",0.0142848854040444
2,"tomorrow",0.0140878534112999
2,"make",0.0125349870666164
2,"watching",0.010681204709933
2,"always",0.00949816842175923
2,"rt",0.00845503015086287
3,"rt",0.0202432885822856
3,"happy",0.0144923681893056
3,"best",0.01391426118644
3,"little",0.0131882997796014
3,"hope",0.0130629676405214
3,"thanks",0.0107813130067981
3,"new",0.0107811505763215
3,"yes",0.00895352462147065
3,"birthday",0.0085905438937153
3,"good",0.00841538849196946
4,"phoenix",0.0269641616755167
4,"az",0.0260916975647812
4,"us",0.0192956041885701
4,"jobs",0.0180844756138249
4,"real",0.0108879212533942
4,"god",0.0102692866686117
4,"ready",0.00977436784293305
4,"scottsdale",0.00833757124212885
4,"tempe",0.00775530262320213
4,"people",0.00631190683634165
5,"twitpic.com",0.0218162805459188
5,"way",0.0166492667288709
5,"new",0.0126711813472081
5,"fun",0.0126304782099909
5,"d",0.0123981325422017
5,"nice",0.0120563655651704
5,"n",0.0119275537545826
5,"like",0.0118958431423345
5,"day",0.011699521162711
5,"twitter",0.0111470645384082
6,"u",0.0284080878614775
6,"rt",0.0261691330413417
6,"work",0.0217016947337702
6,"need",0.0215007896992926
6,"good",0.0152772498166372
6,"get",0.0151737812158799
6,"lol",0.013436655744557
6,"new",0.0122320709510836
6,"blog",0.0111139321640929
6,"post",0.00882882668908188
7,"az",0.0172355550542552
7,"ow.ly",0.0157342651627038
7,"jobs",0.0155899215696453
7,"tucson",0.0154864814772751
7,"s",0.0135042118473289
7,"news",0.0111502471488426
7,"rt",0.00891200241984944
7,"media",0.00792176082546213
7,"phx",0.00765657193813322
7,"mobile",0.00681405185000105
8,"go",0.0312400654179828
8,"like",0.0183981475491367
8,"night",0.0146026415714269
8,"really",0.0117160820000854
8,"last",0.0106295351451879
8,"lol",0.00994411570494441
8,"get",0.00891900587738721
8,"ever",0.00835855490655243
8,"can",0.00813604015667711
8,"day",0.00769170437941653
9,"great",0.026749867403428
9,"love",0.0223952788938899
9,"rt",0.0143735815369475
9,"life",0.0142587206529958
9,"morning",0.012490197164692
9,"take",0.0123795558120465
9,"still",0.0112827689244868
9,"next",0.0111637372622547
9,"much",0.010586166051105
9,"good",0.0100654354356634
