"topic","term","beta"
1,"oh",0.0187202350542144
1,"great",0.0121475950074039
1,"just",0.0115572505629631
1,"win",0.0107641630102981
1,"now",0.00870349979375414
1,"back",0.00720802602551439
1,"start",0.00670808704692142
1,"car",0.00639431134254995
1,"w",0.00601151820173869
1,"photo",0.00561269788508891
2,"get",0.0373676766648523
2,"u",0.0352916965749722
2,"lol",0.0262957718759141
2,"make",0.0114688729460491
2,"still",0.0113348646603099
2,"just",0.0106642485149479
2,"thank",0.00775033336548377
2,"can",0.00674287603764884
2,"r",0.0066007191040321
2,"sure",0.00579434132596744
3,"good",0.0368031187579287
3,"morning",0.0116529504755665
3,"just",0.0104990755831923
3,"video",0.0090037886984758
3,"one",0.00797026216452602
3,"know",0.0074666665473982
3,"show",0.00720086662250237
3,"last",0.00684969234221305
3,"hot",0.00682354701979194
3,"world",0.00682354616269447
4,"thanks",0.0149267949088023
4,"tinyurl.com",0.0124970363040618
4,"got",0.0122157944525365
4,"haha",0.00905121776164381
4,"time",0.00891149271542348
4,"just",0.00763425499427416
4,"little",0.00738950254404676
4,"week",0.00704116543449362
4,"hope",0.0069722640591807
4,"better",0.0068624959247484
5,"think",0.0240855563291685
5,"yeah",0.0100360157549415
5,"know",0.00961531628881627
5,"hey",0.00745532598938474
5,"sleep",0.00729950437727575
5,"can",0.00713383133019214
5,"night",0.00655170891655193
5,"see",0.00647997553608308
5,"come",0.00639777936672294
5,"ya",0.00616498096025981
6,"rt",0.0921928608620831
6,"like",0.0462543030156075
6,"new",0.036679854085778
6,"feel",0.015167998660978
6,"free",0.0133658602062084
6,"looking",0.00826975348305529
6,"now",0.00691131820864992
6,"real",0.0065017625204069
6,"city",0.00628573853115133
6,"business",0.00616698301711861
7,"day",0.0270261059241481
7,"tax",0.0118634603217905
7,"now",0.00969814614418988
7,"can",0.00864875460254317
7,"play",0.00769134780849626
7,"game",0.00762624077397186
7,"fremont",0.00753490043506441
7,"bed",0.00689344748932724
7,"football",0.00668668866899617
7,"prep",0.00657299828639741
8,"love",0.0199348801395366
8,"d",0.0134646084918449
8,"fun",0.00921181204009556
8,"really",0.00916952278280009
8,"bad",0.00597378848079002
8,"year",0.00558482183271896
8,"phone",0.00552757802511848
8,"day",0.00525980909619433
8,"go",0.0051731467488335
8,"ha",0.00510237503724158
9,"way",0.0183960485927551
9,"twitpic.com",0.0162393574042453
9,"first",0.0123037641276956
9,"dublin",0.011946337147772
9,"tinyurl.com",0.0100430646138173
9,"twitter",0.00991857940599661
9,"something",0.00874338446240894
9,"say",0.00645718890013984
9,"thing",0.00607427965569817
9,"dub",0.00599897726803732
