"topic","term","beta"
1,"tinyurl.com",0.0585293467619939
1,"helenair.com",0.0568774788045596
1,"news",0.056877478758182
1,"montana",0.0243324927104509
1,"glass",0.0162507097213892
1,"calculator",0.0162507097213892
1,"restored",0.0162507097213892
1,"helena",0.0162507097213892
1,"matt",0.0162507097213892
1,"clark",0.0162507097213892
1,"lewis",0.0162507097213892
1,"found",0.0162507097213892
1,"gameday",0.0162507097213892
2,"now",0.0366376845270119
2,"better",0.0293101476216096
2,"recycling",0.0219826107162072
2,"one",0.0219826107162072
2,"ff",0.0146550738108048
2,"city",0.0146550738108048
2,"1st",0.0146550738108048
2,"get",0.0146550738108048
2,"thing",0.0146550738108048
2,"holds",0.0146550738108048
2,"key",0.0146550738108048
3,"nyc",0.0336984470601091
3,"dc",0.0269587576480873
3,"gray",0.0134793788240437
3,"pigs",0.0134793788240437
3,"dream",0.0134793788240437
3,"product",0.0134793788240437
3,"healthy",0.0134793788240437
3,"grand",0.0134793788240437
3,"hey",0.0134793788240437
3,"time",0.0134793788240437
3,"vancouver",0.0134793788240437
3,"heading",0.0134793788240437
3,"yes",0.0134793788240437
3,"like",0.0134793788240437
3,"one",0.0134793788240437
3,"montana",0.0134793788240437
3,"slc",0.0134793788240437
4,"u",0.0261513845800424
4,"tinyurl.com",0.0261513845800424
4,"r",0.0196135384350318
4,"one",0.0196135384350318
4,"helenair.com",0.0196135384350318
4,"news",0.0196135384350318
4,"today",0.0196134843591758
4,"great",0.0196128190733549
4,"capital",0.0130756922900212
4,"crosstown",0.0130756922900212
4,"soccer",0.0130756922900212
4,"matt",0.0130756922900212
4,"everyone",0.0130756922900212
4,"love",0.0130756922900212
4,"baby",0.0130756922900212
4,"friends",0.0130756922900212
4,"win",0.0130756922900212
4,"keys",0.0130756922900212
4,"late",0.0130756922900212
4,"ma",0.0130756922900212
5,"tinyurl.com",0.0326840077686494
5,"helenair.com",0.0326840077686494
5,"news",0.0326840077686494
5,"small",0.0261472062149195
5,"need",0.0261472062149195
5,"myface",0.0196104046611897
5,"shoes",0.0196104046611897
5,"now",0.0153037592387834
5,"wii",0.0130736031074598
5,"baucus",0.0130736031074598
5,"idaho",0.0130736031074598
5,"city",0.0130736031074598
5,"going",0.0130736031074598
5,"offered",0.0130736031074598
5,"right",0.0130736031074598
5,"back",0.0130736031074598
5,"reason",0.0130736031074598
5,"get",0.0130736031074598
5,"week",0.0130736031074598
5,"im",0.0130736031074598
6,"going",0.0215510568376617
6,"beer",0.0158349098259644
6,"great",0.0143673732098696
6,"freedom",0.0143673732098696
6,"korn",0.0143673732098696
6,"brain",0.0143673732098696
6,"take",0.0143673732098696
6,"just",0.0143673732098696
6,"hunt",0.0143673732098696
6,"mikeshultz",0.0143673732098696
6,"photo",0.0143673732098696
6,"play",0.0143673732098696
6,"porn",0.0143673732098696
6,"want",0.0143673732098696
6,"earthquake",0.0143673732098696
6,"fake",0.0143673732098696
6,"little",0.0143673732098696
6,"old",0.0143673732098696
6,"crazy",0.0143673732098696
7,"us",0.0517574448240246
7,"know",0.0369696034458524
7,"great",0.0295248243817435
7,"beers",0.0221817620675115
7,"olympia",0.0221817620675115
7,"oktoberfest",0.014787841378341
7,"try",0.014787841378341
7,"freud",0.014787841378341
7,"donuts",0.014787841378341
7,"everyone",0.014787841378341
7,"done",0.014787841378341
7,"gators",0.014787841378341
7,"agree",0.014787841378341
7,"show",0.014787841378341
7,"bowling",0.014787841378341
8,"like",0.0397032237392452
8,"question",0.0238325313125854
8,"mikeshultz",0.0238325313125854
8,"mikewessler",0.0238325313125442
8,"tinyurl.com",0.0234847190536291
8,"now",0.0211222218238214
8,"omg",0.0158883542083903
8,"right",0.0158883542083903
8,"can",0.0158883542083903
8,"may",0.0158883542083903
8,"feeling",0.0158883542083903
8,"ir",0.0158883542083903
8,"oped",0.0158883542083903
9,"beer",0.124594249273933
9,"check",0.0530441818004322
9,"review",0.0530441816681834
9,"tinyurl.com",0.0331167052964343
9,"latest",0.0287567749826901
9,"ale",0.0198915681762087
9,"brewing",0.0198915681762087
9,"matt's",0.0198915366111133
9,"lang",0.0132610454508058
9,"weekend",0.0132610454508058
9,"wish",0.0132610454508058
9,"right",0.0132610454508058
9,"rip",0.0132610454508058
9,"miles's",0.0132610454508058
9,"mikewessler",0.0132610454508058
9,"miles",0.0132610454508058
