"topic","term","beta"
1,"darkness",0.142857142857143
1,"dim",0.142857142857143
1,"forward",0.142857142857143
1,"light",0.142857142857143
1,"lookin",0.142857142857143
1,"sure",0.142857142857143
1,"though",0.142857142857143
1,"now",4.55231401276857e-197
1,"ah",4.55231401276857e-197
1,"breathe",1.69384634256859e-234
2,"god",0.1
2,"now",0.1
2,"mysterious",0.1
2,"ways",0.1
2,"works",0.1
2,"ah",0.1
2,"knew",0.1
2,"plan",0.1
2,"sheez",0.1
2,"wish",0.1
3,"without",0.142857042068331
3,"nothing",0.0714285798276391
3,"frows",0.0714285798276391
3,"healthy",0.0714285798276391
3,"roots",0.0714285798276391
3,"strong",0.0714285798276391
3,"word",0.0714285798276391
3,"girl",0.0714285798276391
3,"hurt",0.0714285798276391
3,"keep",0.0714285798276391
3,"matter",0.0714285798276391
3,"smiling",0.0714285798276391
3,"type",0.0714285798276391
4,"amazing",0.0769230769230769
4,"camp",0.0769230769230769
4,"uterly",0.0769230769230769
4,"wow",0.0769230769230769
4,"love",0.0769230769230769
4,"game",0.0769230769230769
4,"hate",0.0769230769230769
4,"playing",0.0769230769230769
4,"team",0.0769230769230769
4,"matter",0.0769230769230769
4,"go",0.0769230769230769
4,"simply",0.0769230769230769
4,"smile",0.0769230769230769
5,"clear",0.1
5,"daddy",0.1
5,"jesus",0.1
5,"mess",0.1
5,"need",0.1
5,"please",0.1
5,"fallen",0.1
5,"hard",0.1
5,"officially",0.1
5,"quiet",0.1
6,"away",0.0909090909090909
6,"chase",0.0909090909090909
6,"come",0.0909090909090909
6,"die",0.0909090909090909
6,"like",0.0909090909090909
6,"run",0.0909090909090909
6,"andrews",0.0909090909090909
6,"better",0.0909090909090909
6,"paula",0.0909090909090909
6,"stop",0.0909090909090909
6,"thinks",0.0909090909090909
7,"god",0.124999974277864
7,"confused",0.124999974277864
7,"faith",0.124999974277864
7,"pretty",0.124999974277864
7,"love",0.124999974277864
7,"everything",0.124999974277864
7,"literally",0.124999974277864
7,"breathe",0.124999974277864
7,"without",2.05777090857964e-07
7,"now",2.66848018312214e-197
7,"ah",2.66848018312214e-197
8,"god",0.166666666666667
8,"calvary",0.0833333333333333
8,"compared",0.0833333333333333
8,"give",0.0833333333333333
8,"nothing",0.0833333333333333
8,"offerin",0.0833333333333333
8,"surrender",0.0833333333333333
8,"fall",0.0833333333333333
8,"pick",0.0833333333333333
8,"praise",0.0833333333333333
8,"storm",0.0833333333333333
9,"perfect",0.25
9,"god",0.0833333333333333
9,"always",0.0833333333333333
9,"father",0.0833333333333333
9,"humbled",0.0833333333333333
9,"imperfection",0.0833333333333333
9,"know",0.0833333333333333
9,"love",0.0833333333333333
9,"oh",0.0833333333333333
9,"sacrifice",0.0833333333333333
