"topic","term","beta"
1,"back",0.0617359334847895
1,"glad",0.0411572889898597
1,"got",0.0402854490125943
1,"lnk.ms",0.0218890042761022
1,"today",0.0205786444949298
1,"worth",0.0205786444949298
1,"think",0.0205786444949298
1,"just",0.0205786444949298
1,"house",0.0205786444949298
1,"markooakes",0.0205786444949298
1,"home",0.0205786444949298
1,"jbranigan",0.0205786444949298
1,"jane",0.0205786444949298
2,"lnk.ms",0.0575782905671199
2,"budget",0.034546974340272
2,"really",0.028815992536832
2,"hold",0.023031316226848
2,"looking",0.023031316226848
2,"now",0.023031316226848
2,"feel",0.023031316226848
2,"like",0.023031316226848
2,"going",0.023031316226848
2,"forgot",0.023031316226848
2,"0kcdl",0.023031316226848
2,"ahhhlfmkeom",0.023031316226848
2,"fmweomfkme",0.023031316226848
2,"idk",0.023031316226848
2,"later",0.023031316226848
2,"ldmfowekm",0.023031316226848
2,"maybe",0.023031316226848
2,"name",0.023031316226848
2,"song",0.023031316226848
3,"lnk.ms",0.0384068208516112
3,"today",0.0256045472344075
3,"think",0.0256045472344075
3,"happy",0.0256045472344075
3,"just",0.0256045472344075
3,"fun",0.0256045472344075
3,"mood",0.0256045472344075
3,"school",0.0256045472344075
3,"know",0.0256045472344075
3,"good",0.0128022736172037
3,"u",0.0128022736172037
3,"iphone",0.0128022736172037
3,"rt",0.0128022736172037
3,"across",0.0128022736172037
3,"asdfghjkl",0.0128022736172037
3,"cant",0.0128022736172037
3,"cool",0.0128022736172037
3,"delete",0.0128022736172037
3,"doesnt",0.0128022736172037
3,"justinromack",0.0128022736172037
3,"line",0.0128022736172037
3,"msgs",0.0128022736172037
3,"plus",0.0128022736172037
3,"work",0.0128022736172037
3,"zxcvbnm",0.0128022736172037
3,"night",0.0128022736172037
3,"morning",0.0128022736172037
3,"go",0.0128022736172037
3,"let",0.0128022736172037
3,"lot",0.0128022736172037
3,"town",0.0128022736172037
3,"beeach",0.0128022736172037
3,"ineffablegod",0.0128022736172037
3,"weekend",0.0128022736172037
3,"id4zd",0.0128022736172037
3,"sept",0.0128022736172037
3,"twitpic.com",0.0128022736172037
3,"committee",0.0128022736172037
3,"difficult",0.0128022736172037
3,"gailhyatt",0.0128022736172037
3,"john",0.0128022736172037
3,"problem",0.0128022736172037
3,"resolved",0.0128022736172037
3,"sleep",0.0128022736172037
3,"steinbeck",0.0128022736172037
3,"worked",0.0128022736172037
3,"sick",0.0128022736172037
3,"don",0.0128022736172037
3,"thought",0.0128022736172037
3,"0wnwk",0.0128022736172037
3,"bust",0.0128022736172037
3,"hicks",0.0128022736172037
3,"lets",0.0128022736172037
3,"many",0.0128022736172037
3,"much",0.0128022736172037
3,"stick",0.0128022736172037
3,"t",0.0128022736172037
3,"th",0.0128022736172037
3,"1ylcd",0.0128022736172037
3,"1yn9b",0.0128022736172037
3,"booo",0.0128022736172037
3,"gonna",0.0128022736172037
3,"text",0.0128022736172037
3,"techsfinest",0.0128022736172037
3,"everone",0.0128022736172037
3,"happened",0.0128022736172037
3,"praying",0.0128022736172037
4,"dance",0.0531900935384548
4,"right",0.0319140499018189
4,"hair",0.031394789953518
4,"cut",0.0312499597678642
4,"now",0.0238758419528785
4,"music",0.0212760374153819
4,"know",0.0212760374153819
4,"man",0.0212760374153819
4,"get",0.0212760374153819
4,"went",0.0212760374153819
4,"god",0.0212760374153819
4,"heart",0.0212760374153819
4,"lnk.ms",0.0212760374153819
4,"grandma2422",0.0212760374153819
5,"jaden",0.0387036201808187
5,"night",0.0387036201808187
5,"lol",0.037295657686026
5,"twitter",0.0290020534366858
5,"thanks",0.0193518100904094
5,"good",0.0193518100904094
5,"one",0.0193518100904094
5,"just",0.0193518100904094
5,"go",0.0193518100904094
5,"ff",0.0193518100904094
6,"thanks",0.0689977261127128
6,"try",0.0394272720644075
6,"grandma2422",0.0394190941570585
6,"u",0.0327813241170363
6,"real",0.0197136360322037
6,"one",0.0197136360322037
6,"rt",0.0197136360322037
6,"chuckazooloo",0.0197136360322037
6,"remember",0.0197136360322037
6,"hello",0.0197136360322037
6,"say",0.0197136360322037
6,"prayer",0.0197136360322037
7,"rt",0.0364401137719319
7,"yesterday",0.0291520910175455
7,"blood",0.0291520910175455
7,"tennis",0.0218640682631592
7,"good",0.0218640682631592
7,"us",0.0218640682631592
7,"creatives",0.0145760455087728
7,"preview",0.0145760455087728
7,"match",0.0145760455087728
7,"hi",0.0145760455087728
7,"thenines",0.0145760455087728
7,"feeding",0.0145760455087728
7,"tink_sparkles84",0.0145760455087728
7,"true",0.0145760455087728
7,"want",0.0145760455087728
7,"heart",0.0145760455087728
7,"lungs",0.0145760455087728
7,"certificate",0.0145760455087728
7,"death",0.0145760455087728
7,"came",0.0145760455087728
7,"traveled",0.0145760455087728
8,"today",0.0427765733657366
8,"chemo",0.025665944019442
8,"day",0.025665944019442
8,"get",0.025665944019442
8,"now",0.0235751274380725
8,"s",0.0171106293462946
8,"just",0.0171106293462946
8,"morning",0.0171106293462946
8,"back",0.0171106293462946
8,"bed",0.0171106293462946
8,"everyone",0.0171106293462946
8,"lnk.ms",0.0171106293462946
9,"good",0.0438750310912707
9,"hi",0.0263250186547624
9,"ff",0.0263250186547624
9,"lnk.ms",0.0252075091676074
9,"abbie",0.0175500124365083
9,"download",0.0175500124365083
9,"great",0.0175500124365083
9,"hope",0.0175500124365083
9,"better",0.0175500124365083
9,"biggjonn",0.0175500124365083
9,"m",0.0175500124365083
9,"tell",0.0175500124365083
