"topic","term","beta"
1,"twurl.nl",0.0376946791680779
1,"new",0.0263862754176545
1,"county",0.0150778716672312
1,"claims",0.0150778716672312
1,"dell",0.0150778716672312
1,"factory",0.0113084037504234
1,"media",0.0113083980359078
1,"collie",0.00753893583361558
1,"extra",0.00753893583361558
1,"first",0.00753893583361558
1,"group",0.00753893583361558
1,"launches",0.00753893583361558
1,"pay",0.00753893583361558
1,"regional",0.00753893583361558
1,"site",0.00753893583361558
1,"tidesports",0.00753893583361558
1,"tidesportsextra.com",0.00753893583361558
1,"times",0.00753893583361558
1,"web",0.00753893583361558
1,"york",0.00753893583361558
1,"thanks",0.00753893583361558
1,"accused",0.00753893583361558
1,"deep",0.00753893583361558
1,"dubious",0.00753893583361558
1,"independent",0.00753893583361558
1,"knf57k",0.00753893583361558
1,"methods",0.00753893583361558
1,"move",0.00753893583361558
1,"resentment",0.00753893583361558
1,"yesterday",0.00753893583361558
1,"bradford",0.00753893583361558
1,"butler",0.00753893583361558
1,"commissioners",0.00753893583361558
1,"couple’s",0.00753893583361558
1,"era",0.00753893583361558
1,"exoneration",0.00753893583361558
1,"mckean",0.00753893583361558
1,"nixed",0.00753893583361558
1,"q58nk2",0.00753893583361558
1,"shedio",0.00753893583361558
1,"smethport",0.00753893583361558
1,"tax",0.00753893583361558
1,"2ghz",0.00753893583361558
1,"alienware",0.00753893583361558
1,"announced",0.00753893583361558
1,"blogs",0.00753893583361558
1,"core",0.00753893583361558
1,"designs",0.00753893583361558
1,"desktop",0.00753893583361558
1,"i7",0.00753893583361558
1,"laptop",0.00753893583361558
1,"m15x",0.00753893583361558
1,"reveals",0.00753893583361558
1,"th",0.00753893583361558
1,"tuesday",0.00753893583361558
1,"wwms5e",0.00753893583361558
1,"zdnet",0.00753893583361558
1,"8n8pph",0.00753893583361558
1,"affordable",0.00753893583361558
1,"collaboration",0.00753893583361558
1,"hp",0.00753893583361558
1,"introduces",0.00753893583361558
1,"pioneering",0.00753893583361558
1,"powerful",0.00753893583361558
1,"skyroom",0.00753893583361558
1,"sof",0.00753893583361558
1,"videoconferencing",0.00753893583361558
1,"webwire",0.00753893583361558
1,"dropped",0.00753893583361558
1,"fall",0.00753893583361558
1,"filed",0.00753893583361558
1,"jobless",0.00753893583361558
1,"number",0.00753893583361558
1,"ru1c3f",0.00753893583361558
1,"u.s",0.00753893583361558
1,"unemployment",0.00753893583361558
1,"unexpectedl",0.00753893583361558
1,"unexpectedly",0.00753893583361558
1,"weekly",0.00753893583361558
1,"afternoon",0.00753893583361558
1,"suck",0.00753893583361558
1,"hey",0.00753893583361558
2,"tinyurl.com",0.0524131300950764
2,"night",0.0508759575501471
2,"greenville",0.0348707477148442
2,"drive",0.0278965981718754
2,"first",0.0244095234003909
2,"gallery",0.0209224486289065
2,"photo",0.0209224486289065
2,"redsox",0.0209223301306482
2,"last",0.0178049623036871
2,"tonight",0.0174353738574221
3,"now",0.0700345765354659
3,"playing",0.0570797425705149
3,"roundrockradio.com",0.0518906751813598
3,"rt",0.0181617363134759
3,"good",0.01297266879534
3,"us",0.010378135036272
3,"still",0.010378135036272
3,"final",0.00778360127720398
3,"keep",0.00778360127720398
3,"sad",0.00778360127720398
3,"news",0.00778360127720398
3,"video",0.00778360127720398
3,"take",0.00778360127720398
3,"everyone",0.00778360127720398
4,"intel",0.0298018217521684
4,"twurl.nl",0.0268890432841263
4,"today",0.0178811126904516
4,"san",0.0178811126904516
4,"market",0.0164038241556488
4,"looks",0.014900927242043
4,"hoping",0.014900927242043
4,"makes",0.0149009272420427
4,"francisco",0.0119207417936344
4,"ceo",0.0119207417936344
4,"hhrs",0.0119207417936344
5,"hhrs",0.0189451004761039
5,"blog",0.0147350781480808
5,"new",0.0126300669840692
5,"tinyurl.com",0.0126300669840692
5,"howdy",0.0126300669840692
5,"d62w9m",0.0126300669840692
5,"ut",0.0122556885108057
5,"really",0.0105250558200577
5,"good",0.00842004465604616
5,"great",0.00842004465604616
6,"time",0.0164075649602838
6,"new",0.014534486341482
6,"party",0.012112071951235
6,"know",0.00968965756098799
6,"weelaura",0.00961896801602092
6,"need",0.00785525959993482
6,"just",0.00726724317074099
6,"game",0.00726724317074099
6,"come",0.00726724317074099
6,"zone",0.00726724317074099
6,"lol",0.00726724317074099
6,"yeah",0.00726724317074099
6,"light",0.00726724317074099
6,"check",0.00726724317074099
6,"gregzimmerman",0.00726724317074099
6,"hhrs",0.00726724317074099
6,"floridagirlindc",0.00726724317074099
