"topic","term","beta"
1,"good",0.0323854095902224
1,"night",0.0173965640452682
1,"think",0.017093282639293
1,"back",0.0122188366098003
1,"rt",0.0115920387496984
1,"just",0.0111670546229287
1,"like",0.0110976560094402
1,"go",0.00969599865422737
1,"sleep",0.00775790925229648
1,"bed",0.00720013738055338
2,"like",0.0151645668854274
2,"now",0.0126973961619293
2,"reds",0.0126599998981094
2,"better",0.0121593186867693
2,"good",0.0110907816221241
2,"lol",0.0107599221669278
2,"just",0.0082723551300726
2,"day",0.00732382159649798
2,"time",0.00685357093766764
2,"old",0.00677118322619351
3,"u",0.0402239781386811
3,"thanks",0.0231966210898825
3,"rt",0.0198090258286853
3,"twitpic.com",0.0169455994450623
3,"just",0.0140746920977038
3,"way",0.0138192808659379
3,"take",0.0113515519366965
3,"life",0.0113283526924572
3,"yes",0.00863705054123633
3,"know",0.00797720156920348
4,"know",0.0252819298329965
4,"people",0.0169131130755718
4,"go",0.0143866124002534
4,"just",0.0116082490211619
4,"one",0.0112564183274236
4,"make",0.0111931585839351
4,"wow",0.00970940718507539
4,"tweet",0.00898509130574522
4,"rt",0.00852116401871032
4,"haha",0.00814464287001177
5,"love",0.0367522088605332
5,"rt",0.0221001027274619
5,"see",0.0150226738638743
5,"blog",0.0119723105070774
5,"new",0.00979586637122361
5,"just",0.00959584047751167
5,"man",0.00956596885788362
5,"want",0.00812977900461232
5,"really",0.00790562304272682
5,"dude",0.00668221981790346
6,"bengals",0.0307035674596799
6,"work",0.030259935675201
6,"sports",0.0107116684719726
6,"happy",0.0106986102397495
6,"sunday",0.00937270991332526
6,"rt",0.00754846908475166
6,"packers",0.00723037621884847
6,"cincinnati",0.00713377126226317
6,"september",0.00669469597898781
6,"monday",0.00642700108342201
7,"tinyurl.com",0.0461823961857854
7,"game",0.0199176618170232
7,"week",0.0189094262392916
7,"squeak",0.0117607344996633
7,"miss",0.00831856809831583
7,"reds",0.00760673519133116
7,"kill",0.00688433239004422
7,"social",0.0065974852053592
7,"can",0.00615927872693332
7,"now",0.00611602376766532
8,"going",0.0266819873036904
8,"today",0.0260714396862477
8,"day",0.0189705446455813
8,"tonight",0.0129100489980255
8,"get",0.012797178600874
8,"news",0.0120176781602294
8,"rt",0.0113215232948107
8,"party",0.00991045560456706
8,"tomorrow",0.009728952913167
8,"class",0.00940222619058648
9,"got",0.0248059413372912
9,"twitter",0.0210808567814722
9,"rt",0.016582398450288
9,"get",0.0140514821926073
9,"time",0.0108195616967707
9,"feel",0.0105051757780907
9,"now",0.00848663143615206
9,"sure",0.00832139599754281
9,"lol",0.00822460760850161
9,"just",0.00804916145200564
