"topic","term","beta"
1,"friends",0.0750002134234072
1,"goin",0.0749985896269777
1,"smoking",0.0500001422822715
1,"sikndmntd",0.0500001422822715
1,"now",0.0500001422822715
1,"know",0.0250000711411357
1,"just",0.0250000711411357
1,"bed",0.0250000711411357
1,"night",0.0250000711411357
1,"sleep",0.0250000711411357
1,"quit",0.0250000711411357
1,"awesome",0.0250000711411357
1,"date",0.0250000711411357
1,"exactly",0.0250000711411357
1,"saturday",0.0250000711411357
1,"smoke",0.0250000711411357
1,"standing",0.0250000711411357
1,"used",0.0250000711411357
1,"either",0.0250000711411357
1,"moved",0.0250000711411357
1,"started",0.0250000711411357
1,"usually",0.0250000711411357
1,"ooohh",0.0250000711411357
1,"forever",0.0250000711411357
1,"lnk.ms",0.0250000711411357
1,"0f5ty",0.0250000711411357
1,"foglights",0.0250000711411357
1,"look",0.0250000711411357
1,"put",0.0250000711411357
1,"sicck",0.0250000711411357
1,"took",0.0250000711411357
2,"rt",0.0850157824384239
2,"pot",0.0849946809071955
2,"like",0.0324289934222176
2,"party",0.0324185012863477
2,"sum",0.0283385941461413
2,"get",0.0283385941461413
2,"couple",0.0283385941461413
2,"pd",0.0283385941461413
2,"shoplifters",0.0283385941461413
2,"signing",0.0283385941461413
2,"warrants",0.0283385941461413
2,"guys",0.0283385941461413
2,"byob",0.0283385941461413
2,"d",0.0283385941461413
2,"eggchellent",0.0283385941461413
2,"forget",0.0283385941461413
2,"heads",0.0283385941461413
2,"invitation",0.0283385941461413
2,"invitations",0.0283385941461413
2,"sikndmntd",0.0283385941461413
2,"sometimes",0.0283385941461413
2,"things",0.0283385941461413
2,"umm",0.0283385941461413
2,"yeah",0.0283385941461413
2,"almightyduff",0.0283385941461413
2,"beating",0.0283385941461413
2,"familyguyquotes",0.0283385941461413
2,"hands",0.0283385941461413
2,"meg",0.0283385941461413
2,"peter",0.0283385941461413
2,"snowdan",0.0283385941461413
3,"one",0.0714285714285714
3,"apparently",0.0476190476190476
3,"just",0.0476190476190476
3,"yet",0.0476190476190476
3,"doin",0.0238095238095238
3,"dunno",0.0238095238095238
3,"im",0.0238095238095238
3,"wat",0.0238095238095238
3,"woke",0.0238095238095238
3,"sikndmntd",0.0238095238095238
3,"now",0.0238095238095238
3,"amused",0.0238095238095238
3,"cult",0.0238095238095238
3,"disturbed",0.0238095238095238
3,"following",0.0238095238095238
3,"little",0.0238095238095238
3,"ok",0.0238095238095238
3,"snuggie",0.0238095238095238
3,"snuggiecult",0.0238095238095238
3,"time",0.0238095238095238
3,"check",0.0238095238095238
3,"chrisrobson",0.0238095238095238
3,"dinnertopics",0.0238095238095238
3,"garyjbusey",0.0238095238095238
3,"jedijunkie",0.0238095238095238
3,"thealreza",0.0238095238095238
3,"thehulkster",0.0238095238095238
3,"closer",0.0238095238095238
3,"definitely",0.0238095238095238
3,"fun",0.0238095238095238
3,"indeed",0.0238095238095238
3,"sound",0.0238095238095238
3,"malloryle",0.0238095238095238
3,"forever",0.0238095238095238
3,"lakins",0.0238095238095238
3,"old",0.0238095238095238
3,"wanting",0.0238095238095238
4,"lmao",0.0530329063059713
4,"justin_web",0.0530329063059713
4,"meatballs",0.0530329063059713
4,"mj",0.0530329063059713
4,"rt",0.0265164531529857
4,"brittanys",0.0265164531529857
4,"chillin",0.0265164531529857
4,"im",0.0265164531529857
4,"head",0.0265164531529857
4,"follows",0.0265164531529857
4,"hosting",0.0265164531529857
4,"looking",0.0265164531529857
4,"looks",0.0265164531529857
4,"wtf",0.0265164531529857
4,"now",0.0265164531529857
4,"ok",0.0265164531529857
4,"1viqmm",0.0265164531529857
4,"autauga",0.0265164531529857
4,"county",0.0265164531529857
4,"issued",0.0265164531529857
4,"tornado",0.0265164531529857
4,"warning",0.0265164531529857
4,"wsfa12news",0.0265164531529857
4,"got",0.0265164531529857
4,"joshmarino420",0.0265164531529857
4,"sharing",0.0265164531529857
4,"disappointedly",0.0265164531529857
4,"ooohhh",0.0265164531529857
4,"see",0.0265164531529857
4,"shakes",0.0265164531529857
5,"workin",0.137956382954116
5,"lnk.ms",0.0862227393463224
5,"hit",0.0689781914770579
5,"text",0.0689781914770579
5,"yay",0.0515498435441199
5,"city",0.034489095738529
5,"pell",0.034489095738529
5,"today",0.034489095738529
5,"malloryle",0.034489095738529
5,"awake",0.0172445478692645
5,"half",0.0172445478692645
5,"riding",0.0172445478692645
5,"tired",0.0172445478692645
5,"like",0.0172445478692645
5,"now",0.0172445478692645
5,"u",0.0172445478692645
5,"bama",0.0172445478692645
5,"fan",0.0172445478692645
5,"slanier602",0.0172445478692645
5,"thought",0.0172445478692645
5,"can",0.0172445478692645
5,"qwerty",0.0172445478692645
5,"type",0.0172445478692645
5,"whole",0.0172445478692645
5,"words",0.0172445478692645
5,"0xnsy",0.0172445478692645
5,"0yyrp",0.0172445478692645
5,"214vs",0.0172445478692645
5,"alone",0.0172445478692645
5,"21yjs",0.0172445478692645
5,"24vdz",0.0172445478692645
5,"came",0.0172445478692645
5,"lip",0.0172445478692645
5,"morning",0.0172445478692645
6,"know",0.0789473712447306
6,"get",0.0526315808298204
6,"must",0.0526315808298204
6,"haz",0.0526315808298204
6,"song",0.052631545063176
6,"work",0.0263157904149102
6,"tired",0.0263157904149102
