"topic","term","beta"
1,"rt",0.0629086518829903
1,"twitter",0.0323359214197985
1,"j.mp",0.0269543838567479
1,"jeanlucr",0.0269543838567228
1,"hate",0.0215635068783757
1,"like",0.0134768934815019
1,"ever",0.0134751651522963
1,"read",0.0126353047845424
1,"guide",0.0107817535427231
1,"fuck",0.0107817535427231
1,"bill",0.0107817535427231
2,"ainestanley_xo",0.0308336532032284
2,"man",0.0277502878829056
2,"people",0.0215833946144163
2,"d",0.0185001919219371
2,"school",0.0184934760206748
2,"like",0.0154129534669456
2,"now",0.0123334612812914
2,"change",0.0123334612812914
2,"method",0.0123334612812914
2,"im",0.0123334612812914
2,"georg",0.0123334612812914
2,"so_zwitschert",0.0123334612812914
2,"listened",0.0123334612812914
3,"one",0.0310049088667257
3,"rt",0.0253678133586624
3,"first",0.019730521494955
3,"work",0.0181317315841622
3,"got",0.0169118755724416
3,"head",0.0169118755724416
3,"time",0.0157117604290004
3,"see",0.0140932296437013
3,"twitter",0.011274583714961
3,"online",0.011274583714961
3,"lol",0.011274583714961
4,"twitter",0.0199779524897136
4,"rt",0.0149834643672852
4,"well",0.0149834643672852
4,"people",0.0149834643039152
4,"one",0.00998897624485679
4,"now",0.00998897624485679
4,"ainestanley_xo",0.00998897624485679
4,"fucked",0.00998897624485679
4,"know",0.00998897624485679
4,"annawantsyrbody",0.00998897624485679
5,"go",0.0371608008275789
5,"back",0.0225651339177681
5,"just",0.0174507005887319
5,"fall",0.0128177855177987
5,"jay",0.0114341012595396
5,"z",0.0114341012595396
5,"music",0.0114341012595396
5,"gonna",0.0114341012595396
5,"home",0.0114341012595396
5,"think",0.0114341012595396
6,"hope",0.0165735213190177
6,"u",0.0163899646699227
6,"lol",0.0142058754163009
6,"least",0.0118382295135841
6,"tomorrow",0.0111871474441729
6,"rt",0.00947058361086725
6,"house",0.00947058361086725
6,"away",0.00947058361086725
6,"went",0.00947058361086725
6,"tv",0.00947058361033457
7,"new",0.0545969724342774
7,"day",0.0316091111602383
7,"lol",0.0196187967523987
7,"good",0.0190939252643831
7,"phone",0.0172417152715438
7,"yeah",0.0172010467790448
7,"love",0.0166604075201967
7,"hey",0.0143680959333411
7,"want",0.013171679700523
7,"ad",0.0114944768577344
7,"obama",0.0114944768577344
7,"h1n1",0.0114944768577344
7,"cost",0.0114944768577344
7,"paramore",0.0114944768577344
7,"way",0.0114944768577344
7,"laspitfiretre",0.0114944768577344
8,"today",0.0278596808839092
8,"going",0.0222877446756598
8,"love",0.0195017766187364
8,"really",0.0139298404419546
8,"always",0.0111438723535637
8,"kierraquiche",0.0111438723535637
8,"night",0.0111438723535637
8,"need",0.0111438723535637
8,"happy",0.0111438723535637
8,"nightmare",0.0111438723535637
8,"aww",0.0111438723535637
8,"last",0.0111438723535637
8,"friends",0.0111438723535637
9,"class",0.0309012269652639
9,"night",0.0283261247187888
9,"rt",0.0257510224716263
9,"know",0.0206008179773011
9,"annawantsyrbody",0.0103004089886505
9,"ambz",0.0103004089886505
9,"hell",0.0103004089494896
9,"miss",0.0103003302592089
9,"now",0.00772530674148791
9,"hit",0.00772530674148791
9,"enjoy",0.00772530674148791
9,"characters",0.00772530674148791
9,"last",0.00772530674148791
9,"little",0.00772530674148791
9,"keep",0.00772530674148791
9,"www.morethanmomsmd.blogspot.com",0.00772530674148791
