"topic","term","beta"
1,"knit",0.0476190476190476
1,"berroco",0.0476190476190476
1,"called",0.0476190476190476
1,"comfort",0.0476190476190476
1,"customer",0.0476190476190476
1,"dyelot",0.0476190476190476
1,"finding",0.0476190476190476
1,"friend",0.0476190476190476
1,"kudos",0.0476190476190476
1,"passing",0.0476190476190476
1,"rroentgen",0.0476190476190476
1,"saintly",0.0476190476190476
1,"collared",0.0476190476190476
1,"g6e4h",0.0476190476190476
1,"halp",0.0476190476190476
1,"jacket",0.0476190476190476
1,"kkkkj",0.0476190476190476
1,"oversized",0.0476190476190476
1,"shawl",0.0476190476190476
1,"style",0.0476190476190476
1,"sweatshirt",0.0476190476190476
2,"colors",0.0869565217391304
2,"disc",0.0869565217391304
2,"finally",0.0434782608695652
2,"finished",0.0434782608695652
2,"june's",0.0434782608695652
2,"just",0.0434782608695652
2,"leyburn",0.0434782608695652
2,"mgyc",0.0434782608695652
2,"photos",0.0434782608695652
2,"ravelry",0.0434782608695652
2,"socks",0.0434782608695652
2,"take",0.0434782608695652
2,"using",0.0434782608695652
2,"yarn",0.0434782608695652
2,"best",0.0434782608695652
2,"carry",0.0434782608695652
2,"colorway",0.0434782608695652
2,"heard",0.0434782608695652
2,"kyarns",0.0434782608695652
2,"snagged",0.0434782608695652
2,"yay",0.0434782608695652
3,"bad",0.1
3,"just",0.05
3,"balance",0.05
3,"karma",0.05
3,"meaning",0.05
3,"raks",0.05
3,"send",0.05
3,"still",0.05
3,"weeks",0.05
3,"think",0.05
3,"dropping",0.05
3,"leaves",0.05
3,"money",0.05
3,"needs",0.05
3,"omen",0.05
3,"poor",0.05
3,"repotting",0.05
3,"tips",0.05
3,"tree",0.05
4,"finished",0.0833333333333333
4,"june's",0.0833333333333333
4,"mgyc",0.0833333333333333
4,"yarn",0.0833333333333333
4,"2sxmms",0.0833333333333333
4,"crap",0.0833333333333333
4,"f2nvj",0.0833333333333333
4,"flickr",0.0833333333333333
4,"leyburns",0.0833333333333333
4,"love",0.0833333333333333
4,"outta",0.0833333333333333
4,"rav",0.0833333333333333
5,"rav",0.0416666666666667
5,"bit",0.0416666666666667
5,"books",0.0416666666666667
5,"browsing",0.0416666666666667
5,"new",0.0416666666666667
5,"pages",0.0416666666666667
5,"pattern",0.0416666666666667
5,"patterns",0.0416666666666667
5,"project",0.0416666666666667
5,"queued",0.0416666666666667
5,"shoot",0.0416666666666667
5,"spent",0.0416666666666667
5,"store",0.0416666666666667
5,"time",0.0416666666666667
5,"a'gettin",0.0416666666666667
5,"evening",0.0416666666666667
5,"go",0.0416666666666667
5,"head",0.0416666666666667
5,"home",0.0416666666666667
5,"killing",0.0416666666666667
5,"loaf",0.0416666666666667
5,"sum",0.0416666666666667
5,"wait",0.0416666666666667
5,"weatha",0.0416666666666667
6,"h3dakota",0.0833333333333333
6,"monday",0.0416666666666667
6,"one",0.0416666666666667
6,"iso",0.0416666666666667
6,"list",0.0416666666666667
6,"love",0.0416666666666667
6,"aliseknits",0.0416666666666667
6,"blue",0.0416666666666667
6,"bright",0.0416666666666667
6,"brown",0.0416666666666667
6,"combo",0.0416666666666667
6,"get",0.0416666666666667
6,"much",0.0416666666666667
6,"thanks",0.0416666666666667
6,"big",0.0416666666666667
6,"face",0.0416666666666667
6,"frowny",0.0416666666666667
6,"know",0.0416666666666667
6,"oh",0.0416666666666667
6,"d",0.0416666666666667
6,"fuzz",0.0416666666666667
6,"hot",0.0416666666666667
6,"watching",0.0416666666666667
7,"knit",0.111111111111111
7,"finished",0.0555555555555556
7,"also",0.0555555555555556
7,"baby",0.0555555555555556
7,"can",0.0555555555555556
7,"easy",0.0555555555555556
7,"february",0.0555555555555556
7,"first",0.0555555555555556
7,"make",0.0555555555555556
7,"many",0.0555555555555556
7,"one",0.0555555555555556
7,"quick",0.0555555555555556
7,"see",0.0555555555555556
7,"sweater",0.0555555555555556
7,"sweet",0.0555555555555556
7,"want",0.0555555555555556
7,"xboxl",0.0555555555555556
8,"knit",0.0555555555555556
8,"love",0.0555555555555556
8,"aliseknits",0.0555555555555556
8,"friday",0.0555555555555556
8,"lets",0.0555555555555556
8,"now",0.0555555555555556
8,"right",0.0555555555555556
8,"saturday",0.0555555555555556
8,"think",0.0555555555555556
8,"today",0.0555555555555556
8,"work",0.0555555555555556
8,"fuzzy",0.0555555555555556
8,"halo",0.0555555555555556
8,"soft",0.0555555555555556
8,"warm",0.0555555555555556
8,"yeah",0.0555555555555556
8,"thdx3",0.0555555555555556
8,"worry",0.0555555555555556
9,"just",0.0769230769230769
9,"ants",0.0769230769230769
9,"bunny's",0.0769230769230769
9,"cage",0.0769230769230769
9,"dream",0.0769230769230769
9,"dreamed",0.0769230769230769
9,"exterminated",0.0769230769230769
9,"goodness",0.0769230769230769
9,"morning",0.0769230769230769
9,"summer",0.0769230769230769
9,"thank",0.0769230769230769
9,"tiny",0.0769230769230769
9,"took",0.0769230769230769
