"topic","term","beta"
1,"just",0.100718434589719
1,"credit",0.0774757189151683
1,"business",0.0774757189151683
1,"short.to",0.0774757189151683
1,"accept",0.0774757189151683
1,"cards",0.0774757189151683
1,"minutes",0.0774757189151683
1,"ps8o",0.0774757189151683
1,"times",0.0154951437830337
1,"want",0.0154951437830337
2,"just",0.0389610101891812
2,"get",0.0259740067927875
2,"fried",0.0259740067927875
2,"may",0.0259740067927875
2,"easy",0.0259740067927875
2,"real",0.0129870033963937
2,"looking",0.0129870033963937
2,"minutes",0.0129870033963937
2,"new",0.0129870033963937
2,"back",0.0129870033963937
2,"comes",0.0129870033963937
2,"five",0.0129870033963937
2,"frustrating",0.0129870033963937
2,"merali84",0.0129870033963937
2,"online",0.0129870033963937
2,"since",0.0129870033963937
2,"still",0.0129870033963937
2,"though",0.0129870033963937
2,"usually",0.0129870033963937
2,"19aa7o",0.0129870033963937
2,"break",0.0129870033963937
2,"excel",0.0129870033963937
2,"steps",0.0129870033963937
2,"three",0.0129870033963937
2,"cry",0.0129870033963937
2,"gettin",0.0129870033963937
2,"ready",0.0129870033963937
2,"school",0.0129870033963937
2,"moviegrrl",0.0129870033963937
2,"original",0.0129870033963937
2,"amateurs",0.0129870033963937
2,"edgarwright",0.0129870033963937
2,"gold",0.0129870033963937
2,"bad",0.0129870033963937
2,"daughter",0.0129870033963937
2,"fame",0.0129870033963937
2,"hold",0.0129870033963937
2,"old",0.0129870033963937
2,"parent",0.0129870033963937
2,"year",0.0129870033963937
2,"hurstakamiwurdz",0.0129870033963937
2,"brwz",0.0129870033963937
2,"wel",0.0129870033963937
2,"facebook",0.0129870033963937
2,"machine",0.0129870033963937
2,"time",0.0129870033963937
2,"ukc",0.0129870033963937
2,"using",0.0129870033963937
2,"browncoats",0.0129870033963937
2,"call",0.0129870033963937
2,"fans",0.0129870033963937
2,"firefly",0.0129870033963937
2,"guess",0.0129870033963937
2,"hey",0.0129870033963937
2,"paul_cornell",0.0129870033963937
2,"reasons",0.0129870033963937
2,"agreed",0.0129870033963937
2,"halloween",0.0129870033963937
2,"quailman",0.0129870033963937
2,"_the",0.0129870033963937
2,"anywhere",0.0129870033963937
2,"fooled",0.0129870033963937
2,"kid",0.0129870033963937
2,"memory_",0.0129870033963937
2,"tricks",0.0129870033963937
2,"breath",0.0129870033963937
2,"eating",0.0129870033963937
2,"habit",0.0129870033963937
2,"mints",0.0129870033963937
2,"sitting",0.0129870033963937
2,"stress",0.0129870033963937
3,"kids",0.0204081632653061
3,"rt",0.0204081632653061
3,"yeah",0.0204081632653061
3,"now",0.0204081632653061
3,"fuck",0.0204081632653061
3,"hopefulgit",0.0204081632653061
3,"lazypassion",0.0204081632653061
3,"one",0.0102040816326531
3,"think",0.0102040816326531
3,"people",0.0102040816326531
3,"just",0.0102040816326531
3,"friday",0.0102040816326531
3,"next",0.0102040816326531
3,"xtinefeen",0.0102040816326531
3,"dinner",0.0102040816326531
3,"driving",0.0102040816326531
3,"funk",0.0102040816326531
3,"instead",0.0102040816326531
3,"jersey",0.0102040816326531
3,"onramp",0.0102040816326531
3,"propose",0.0102040816326531
3,"reminds",0.0102040816326531
3,"road",0.0102040816326531
3,"trip",0.0102040816326531
3,"alone",0.0102040816326531
3,"confidence",0.0102040816326531
3,"impart",0.0102040816326531
3,"much",0.0102040816326531
3,"name",0.0102040816326531
3,"surfspeedy",0.0102040816326531
3,"tomrittervg",0.0102040816326531
3,"buy",0.0102040816326531
3,"cjofficial",0.0102040816326531
3,"class",0.0102040816326531
3,"ever",0.0102040816326531
3,"fun",0.0102040816326531
3,"homeless",0.0102040816326531
3,"hunt",0.0102040816326531
3,"meal",0.0102040816326531
3,"person",0.0102040816326531
3,"scavenger",0.0102040816326531
3,"stuff",0.0102040816326531
3,"getting",0.0102040816326531
3,"adult",0.0102040816326531
3,"football",0.0102040816326531
3,"idiots",0.0102040816326531
3,"never",0.0102040816326531
3,"otherwise",0.0102040816326531
3,"screaming",0.0102040816326531
3,"turns",0.0102040816326531
3,"understand",0.0102040816326531
3,"believe",0.0102040816326531
3,"coverage",0.0102040816326531
3,"doubt",0.0102040816326531
3,"got",0.0102040816326531
3,"kdka",0.0102040816326531
3,"second",0.0102040816326531
3,"steelers",0.0102040816326531
3,"4xiev",0.0102040816326531
3,"can",0.0102040816326531
3,"clan",0.0102040816326531
3,"robe",0.0102040816326531
3,"snuggie",0.0102040816326531
3,"imadjustin",0.0102040816326531
3,"seaking",0.0102040816326531
3,"figure",0.0102040816326531
3,"haha",0.0102040816326531
3,"trying",0.0102040816326531
3,"djehrenberger",0.0102040816326531
3,"gay",0.0102040816326531
3,"bro",0.0102040816326531
3,"bus",0.0102040816326531
3,"definitely",0.0102040816326531
3,"lil",0.0102040816326531
3,"missing",0.0102040816326531
3,"noob",0.0102040816326531
3,"conversation",0.0102040816326531
3,"nicwilko",0.0102040816326531
3,"tell",0.0102040816326531
3,"emperorsclothes",0.0102040816326531
3,"wtf",0.0102040816326531
3,"3qerol",0.0102040816326531
3,"everywhere",0.0102040816326531
3,"nueva_voz",0.0102040816326531
3,"october",0.0102040816326531
3,"living",0.0102040816326531
3,"misscougar",0.0102040816326531
3,"nice",0.0102040816326531
3,"rock",0.0102040816326531
3,"crossover",0.0102040816326531
3,"episode",0.0102040816326531
4,"short.to",0.0714285714285714
4,"visit",0.0714285714285714
4,"always",0.0714285714285714
4,"ebay",0.0714285714285714
4,"listing",0.0714285714285714
4,"market",0.0714285714285714
4,"pfvo",0.0714285714285714
4,"place",0.0714285714285714
4,"price",0.0714285714285714
4,"products",0.0714285714285714
4,"reduced",0.0714285714285714
4,"save",0.0714285714285714
4,"us",0.0714285714285714
4,"worlds",0.0714285714285714
5,"free",0.0551724352903808
5,"make",0.034482772056488
5,"often",0.034482772056488
5,"people",0.034482772056488
5,"short.to",0.0275862176451904
5,"visit",0.0275862176451904
5,"2lkxr",0.0275862176451904
5,"fast",0.0275862176451904
5,"income",0.0275862176451904
5,"is.gd",0.0275862176451904
5,"money",0.0275862176451904
5,"opportunity",0.0275862176451904
5,"unlimited",0.0275862176451904
5,"like",0.0275862176451904
5,"osko",0.0275862176451904
5,"search",0.0275862176451904
6,"twitter",0.0850158559455533
6,"first",0.0787443298018429
6,"auto",0.0755945577143975
6,"automated",0.0755945577143975
6,"cash",0.0755945577143975
6,"finally",0.0755945577143975
6,"pilot",0.0755945577143975
6,"pulling",0.0755945577143975
6,"real",0.0755945577143975
6,"system",0.0755945577143975
7,"short.to",0.0784210226802337
7,"diamonds",0.0627368181441869
7,"qgs1",0.0627368181441869
7,"tweet",0.0627368181441869
7,"love",0.0548947158761636
7,"best",0.0470526136081402
7,"friend",0.0470526136081402
7,"girls",0.0470526136081402
7,"remember",0.0313684090720935
7,"give",0.0313684090720935
8,"credit",0.1625
8,"business",0.05
8,"card",0.05
8,"find",0.05
8,"need",0.05
8,"oldp",0.05
8,"one",0.05
8,"right",0.05
8,"short.to",0.05
8,"visit",0.05
8,"wallet",0.05
9,"paramore",0.0306349701370541
9,"new",0.0306349701370541
9,"etc",0.0306349701370541
9,"stenders",0.0204233134247027
9,"mediawiki",0.0204233134247027
9,"thought",0.0204233134247027
9,"brand",0.0204233134247027
9,"eyes",0.0204233134247027
9,"octoberrose",0.0204233134247027
9,"life",0.0196809556142686
