"topic","term","beta"
1,"make",0.013654450346246
1,"now",0.0127397468962464
1,"night",0.0126791437526129
1,"got",0.0109957853346009
1,"just",0.0105161783257341
1,"weekend",0.00975318750200579
1,"nice",0.00957253302180171
1,"still",0.00956826540984782
1,"d",0.00950064172762027
1,"party",0.00877786874347774
2,"de",0.0338236699660889
2,"het",0.0335420849725703
2,"ik",0.0320577109625851
2,"een",0.0286247648064572
2,"en",0.025493960424441
2,"je",0.0214596247966839
2,"dat",0.0181739099761182
2,"niet",0.016407004230281
2,"maar",0.0161531329694863
2,"op",0.0161465131697759
3,"p",0.0204104859124724
3,"song",0.00950755005149678
3,"ook",0.00844737414697469
3,"xd",0.00822134994277888
3,"youtube",0.00804484552087235
3,"ik",0.00804210083297961
3,"zin",0.00657105931599807
3,"just",0.00641760549707851
3,"je",0.0059769140041157
3,"jou",0.00585080003422896
4,"pinkrocksvmas",0.016886721725849
4,"twitpic.com",0.0147709106630755
4,"time",0.0120143802779034
4,"anarose12",0.00938150482578895
4,"going",0.00914063831412439
4,"d",0.0090940739770317
4,"today",0.00877640899190054
4,"just",0.00851041785222279
4,"tinyurl.com",0.00832058845465102
4,"work",0.00751721000913573
5,"get",0.0147480714271581
5,"twitter",0.0140213212370805
5,"time",0.0114443385550752
5,"now",0.00988595189329155
5,"great",0.00922075001145835
5,"hell",0.00877641946913389
5,"like",0.00850098755192595
5,"just",0.0081806341273264
5,"homework",0.00814953236661054
5,"long",0.00814738159664515
6,"rt",0.0325476631598147
6,"week",0.0236328126361776
6,"phillips",0.0155090365273574
6,"sex",0.0155090365273574
6,"tweet",0.0118438651316081
6,"looking",0.0118164087823318
6,"smellofbananas",0.0118164063568012
6,"mackenzie",0.00886230658706135
6,"john",0.00886230658706135
6,"dad",0.00886230578216307
7,"like",0.0281993122074401
7,"fun",0.0106119535487164
7,"k",0.0102186746834874
7,"know",0.00909591595631628
7,"man",0.00829700134684522
7,"better",0.00773227253725242
7,"games",0.00747288211182057
7,"girls",0.00747288211096676
7,"smellofbananas",0.00747288179005538
7,"anders",0.00747288084500599
8,"day",0.0159513364610029
8,"just",0.0146849878405092
8,"going",0.0110778192706349
8,"tomorrow",0.0108815251527372
8,"rt",0.0101094949868654
8,"jennnnnny",0.00967665446968537
8,"work",0.00816380749428747
8,"happy",0.00765336690729033
8,"school",0.00762054790590316
8,"ever",0.00698870700426269
9,"u",0.0285115846039542
9,"lol",0.0182897739458653
9,"one",0.0149986013038606
9,"killeen",0.0129109062369137
9,"airport",0.0129109062369137
9,"tx",0.0129109062369137
9,"good",0.0126199583645078
9,"robert",0.0123729518103756
9,"see",0.0122659347377535
9,"never",0.0121110208667899
