"topic","term","beta"
1,"u",0.025880781008154
1,"rt",0.0204713361181054
1,"like",0.019425474177629
1,"lol",0.0168156519557762
1,"got",0.0115774716457276
1,"night",0.0102174169824167
1,"going",0.00834748743948733
1,"help",0.00796331723327815
1,"think",0.00794651002974848
1,"watch",0.00729970488713396
2,"new",0.01432401283422
2,"video",0.00959430657453429
2,"watching",0.00906111550949237
2,"tinyurl.com",0.00760885219316731
2,"youtube",0.00691713835742482
2,"rt",0.00668289231991096
2,"phone",0.00658525989089213
2,"uploaded",0.00622542452168233
2,"soccer",0.00484199685019737
2,"cisco",0.00484199685019737
3,"new",0.0312339320038919
3,"thanks",0.0311639174449032
3,"check",0.0301472815519821
3,"just",0.0270337113502397
3,"right",0.0253543457096779
3,"ping.fm",0.0231731693361163
3,"server",0.0191777953507114
3,"rt",0.0185219384396747
3,"article",0.0183787205444318
3,"people",0.0181808373150003
4,"much",0.0180214962254913
4,"still",0.0145018822661163
4,"da",0.0129469396236261
4,"wit",0.0124294583300946
4,"twitpic.com",0.0109666637573601
4,"end",0.00877291754997131
4,"really",0.00833166112543412
4,"jus",0.00804259068417885
4,"just",0.00801746174991137
4,"p",0.00731144562860447
5,"just",0.0173897695860156
5,"loved",0.0142086440383069
5,"hypem",0.0135320419412923
5,"google",0.0121216940934196
5,"x.hypem.com",0.0115022356500985
5,"plymouth",0.0106584573435611
5,"today",0.0085907031192273
5,"morning",0.00771689493533161
5,"maps",0.00676105657382136
5,"want",0.00644534513624019
6,"ow.ly",0.0273392148304213
6,"september",0.0174668423717507
6,"firms",0.0113914189380987
6,"best",0.0106114768952745
6,"two",0.00881857144361084
6,"rt",0.00853023634606501
6,"just",0.00752824827662582
6,"nice",0.00720645025871935
6,"web",0.00683485136285922
6,"ranked",0.00683485136285916
7,"post",0.0135868790207408
7,"new",0.0107804924772531
7,"blog",0.0103885652858372
7,"looking",0.00953579420357805
7,"man",0.00886483735036967
7,"world",0.00868645153222895
7,"snipurl.com",0.00805894304579062
7,"hello",0.0072530487412072
7,"state",0.00725273542953723
7,"another",0.00678091958925839
8,"day",0.0337554941451369
8,"love",0.0242931897391106
8,"go",0.0116968132169367
8,"get",0.0112841062507514
8,"back",0.0105892770391577
8,"just",0.0103367434686039
8,"great",0.00986023333977317
8,"can",0.00961616899159666
8,"good",0.00961148803650747
8,"tomorrow",0.00932390747818709
9,"time",0.0234203914623449
9,"now",0.0198849129775302
9,"twitter",0.0154792987681792
9,"get",0.01525450641595
9,"good",0.013596382398093
9,"well",0.0127586217795786
9,"d",0.0109449987578019
9,"work",0.00874898199516326
9,"soon",0.00765848763757925
9,"trying",0.00761872756705324
