"topic","term","beta"
1,"money",0.0192145570706465
1,"tiny.cc",0.0180217137655929
1,"ipb4z",0.017342889586706
1,"marketing",0.0119892852223741
1,"w",0.0117557794155519
1,"see",0.0116640208913194
1,"cgrips",0.0094046235324415
1,"tv",0.0094046235324415
1,"guy",0.00940462353244149
1,"can",0.00769962501275491
2,"u",0.0260480263065951
2,"look",0.0203768631780658
2,"take",0.0183391768602593
2,"looklet.com",0.0163014905424527
2,"lastfm",0.0163014905424527
2,"lol",0.0161910326964546
2,"go",0.0161478363331274
2,"like",0.0149807165866425
2,"come",0.0122261178946581
2,"scoop",0.00815074527122634
2,"get",0.00815074527122634
2,"good",0.00815074527122634
2,"created",0.00815074527122634
3,"time",0.0312068194942229
3,"cowboys",0.0156354483223372
3,"team",0.0130295402686144
3,"every",0.0130295402686144
3,"now",0.0119804557215827
3,"can",0.0118026060081478
3,"coffee",0.0104236322148915
3,"away",0.0104236322148915
3,"red",0.0104236322148915
3,"say",0.0104236322148915
4,"cnbc.com",0.0722183830887197
4,"id",0.0722166053544714
4,"ipos",0.0213104421200573
4,"ipo",0.0127862652720344
4,"china",0.0127862652720341
4,"report",0.0127776293842254
4,"entourage",0.0106552210600286
4,"back",0.0106552210600286
4,"wynn",0.00852417684802291
4,"cowboys",0.00852417684802291
4,"new",0.00852417684802291
4,"sell",0.00852417684802291
4,"debut",0.00852417684802291
4,"shanghai",0.00852417684802291
4,"deal",0.00852417684802291
4,"talks",0.00852417684802291
4,"emmys",0.00852417684802291
4,"via",0.00852417684802291
4,"analyst",0.00852417684802291
4,"asia",0.00852417684802291
4,"marketoutlook",0.00852417684802291
4,"stockmarket",0.00852417684802291
4,"market",0.00852417684802291
4,"belgian",0.00852417684802291
4,"coming",0.00852417684802291
4,"tv",0.00852417684802291
4,"year",0.00852417684802291
5,"died",0.0258209117911196
5,"o'rourke",0.0258209117911196
5,"heather",0.0258209117739383
5,"poltergeist",0.0234735557522742
5,"rt",0.0233946111735994
5,"twitpic.com",0.0164314893216215
5,"happy",0.014084133704247
5,"age",0.014084133704247
5,"acute",0.014084133704247
5,"bowel",0.014084133704247
5,"obstruction",0.014084133704247
6,"just",0.0166299459172943
6,"tisjenna",0.0151330684994266
6,"like",0.0139534476970479
6,"tumblr.com",0.0126174736232986
6,"stop",0.0126174736232985
6,"looking",0.0119509312867883
6,"us",0.0100939788986389
6,"rt",0.0100939788986389
6,"find",0.0100939788986389
6,"sign",0.0100939788986037
7,"tiny.cc",0.0703764806298646
7,"yjihg",0.0537892730045097
7,"new",0.0373720555004941
7,"bimmer",0.0282393683273676
7,"win",0.0255499046771421
7,"brand",0.02286028308011
7,"free",0.0174035941047686
7,"mlm",0.0172904342293699
7,"ipb4z",0.0169754577127109
7,"bmw",0.0161367819013529
7,"leads",0.0161367819013529
8,"twist",0.0312733669372006
8,"tell",0.0260611391243679
8,"know",0.0234550252155058
8,"us",0.0208489113026818
8,"going",0.0182427973898466
8,"hours",0.0156366834770114
8,"new",0.0129408545843077
8,"can",0.0119710501059452
8,"games",0.0104244556513409
8,"finally",0.0104244556513409
8,"issue",0.0104244556513409
8,"copy",0.0104244556513409
8,"thought",0.0104244556513409
8,"want",0.0104244556513409
8,"get",0.0104244556513409
8,"limit",0.0104244556513409
8,"now",0.0104244556513409
8,"today",0.0104244556513409
9,"now",0.0543069792132507
9,"ever",0.0399233413508603
9,"vote",0.0364292944940118
9,"best",0.0355976136911085
9,"part",0.0203414935377763
9,"www.tbwe.com",0.0203414935377762
9,"need",0.0172789009713605
9,"rbs",0.0152561201533322
9,"can",0.0145111022391413
9,"replace",0.0127134334611102
