"topic","term","beta"
1,"wacom",0.142857142857143
1,"addition",0.0714285714285714
1,"bamboo",0.0714285714285714
1,"device",0.0714285714285714
1,"multi",0.0714285714285714
1,"oh",0.0714285714285714
1,"pen",0.0714285714285714
1,"tablet",0.0714285714285714
1,"touch",0.0714285714285714
1,"turned",0.0714285714285714
1,"wow",0.0714285714285714
1,"duh",0.0714285714285714
1,"pssh",0.0714285714285714
2,"omarg",0.0833333333333333
2,"rt",0.0833333333333333
2,"wii",0.0833333333333333
2,"drops",0.0833333333333333
2,"hrw41",0.0833333333333333
2,"made",0.0833333333333333
2,"nintendo",0.0833333333333333
2,"official",0.0833333333333333
2,"ping.fm",0.0833333333333333
2,"price",0.0833333333333333
2,"starting",0.0833333333333333
2,"sunday",0.0833333333333333
3,"brandmurder",0.142857142857143
3,"rt",0.0714285714285714
3,"around",0.0714285714285714
3,"congregate",0.0714285714285714
3,"corpse",0.0714285714285714
3,"dead",0.0714285714285714
3,"found",0.0714285714285714
3,"hipsters",0.0714285714285714
3,"pay",0.0714285714285714
3,"socialite",0.0714285714285714
3,"starbucks",0.0714285714285714
3,"trendy",0.0714285714285714
3,"yo6zo",0.0714285714285714
4,"gabby_suicide",0.2
4,"adorable",0.05
4,"spastic",0.05
4,"liking",0.05
4,"p",0.05
4,"right",0.05
4,"stop",0.05
4,"can",0.05
4,"café",0.05
4,"got",0.05
4,"rainforest",0.05
4,"res",0.05
4,"luncheon",0.05
4,"reservations",0.05
4,"responding",0.05
4,"sorry",0.05
4,"yeah",0.05
5,"gabby_suicide",0.0833333333333333
5,"admit",0.0833333333333333
5,"closest",0.0833333333333333
5,"getting",0.0833333333333333
5,"gotten",0.0833333333333333
5,"like",0.0833333333333333
5,"brains",0.0833333333333333
5,"come",0.0833333333333333
5,"feel",0.0833333333333333
5,"nose",0.0833333333333333
5,"trying",0.0833333333333333
5,"ugh",0.0833333333333333
6,"can",0.0666666666666667
6,"curse",0.0666666666666667
6,"damn",0.0666666666666667
6,"every",0.0666666666666667
6,"glee",0.0666666666666667
6,"gods",0.0666666666666667
6,"like",0.0666666666666667
6,"melrose",0.0666666666666667
6,"miss",0.0666666666666667
6,"place",0.0666666666666667
6,"put",0.0666666666666667
6,"recap",0.0666666666666667
6,"somebody",0.0666666666666667
6,"tv",0.0666666666666667
6,"week",0.0666666666666667
7,"dummy",0.0833333333333333
7,"iphone",0.0833333333333333
7,"iu3rm",0.0833333333333333
7,"just",0.0833333333333333
7,"lab",0.0833333333333333
7,"omarg",0.0833333333333333
7,"rt",0.0833333333333333
7,"sign",0.0833333333333333
7,"testin",0.0833333333333333
7,"twitpic.com",0.0833333333333333
7,"2.71",0.0833333333333333
7,"jupiters_crunch",0.0833333333333333
8,"rt",0.0625
8,"away",0.0625
8,"brandmurder.com",0.0625
8,"brands",0.0625
8,"brandstack",0.0625
8,"giving",0.0625
8,"macbookpro",0.0625
8,"redesign",0.0625
8,"top",0.0625
8,"wii",0.0625
8,"world",0.0625
8,"xbox360",0.0625
8,"dude",0.0625
8,"honey_j",0.0625
8,"needs",0.0625
8,"swagger",0.0625
9,"gabby_suicide",0.454545454545454
9,"maybe",0.0909090909090909
9,"suppose",0.0909090909090909
9,"good",0.0909090909090909
9,"many",0.0909090909090909
9,"now",0.0909090909090909
9,"points",0.0909090909090909
9,"adorable",1.05442928931852e-210
9,"spastic",1.05442925820312e-210
9,"2.71",1.01474428706442e-210
9,"jupiters_crunch",1.01474428706442e-210
