"topic","term","beta"
1,"pete",0.166666666666667
1,"awesome",0.0833333333333333
1,"daisy",0.0833333333333333
1,"building",0.0833333333333333
1,"hang",0.0833333333333333
1,"institute",0.0833333333333333
1,"argh",0.0833333333333333
1,"co",0.0833333333333333
1,"hate",0.0833333333333333
1,"workers",0.0833333333333333
1,"adventures",0.0833333333333333
2,"owie",0.214285714285714
2,"blip.fm",0.0714285714285714
2,"listening",0.0714285714285714
2,"shin",0.0714285714285714
2,"splints",0.0714285714285714
2,"dnyjk",0.0714285714285714
2,"dottie",0.0714285714285714
2,"get",0.0714285714285714
2,"kids",0.0714285714285714
2,"loner",0.0714285714285714
2,"m",0.0714285714285714
2,"rebel",0.0714285714285714
3,"already",0.0714285714285714
3,"done",0.0714285714285714
3,"fall",0.0714285714285714
3,"summer",0.0714285714285714
3,"want",0.0714285714285714
3,"undecided",0.0714285714285714
3,"can",0.0714285714285714
3,"drew",0.0714285714285714
3,"emo",0.0714285714285714
3,"eva",0.0714285714285714
3,"hand",0.0714285714285714
3,"just",0.0714285714285714
3,"picture",0.0714285714285714
3,"way",0.0714285714285714
4,"blip.fm",0.111111111111111
4,"listening",0.111111111111111
4,"armor",0.111111111111111
4,"awkward",0.111111111111111
4,"dli58",0.111111111111111
4,"last",0.111111111111111
4,"lyrics",0.111111111111111
4,"sleep",0.111111111111111
4,"words",0.111111111111111
4,"owie",3.72007597602084e-44
4,"brother",3.72007597602084e-44
4,"geez",3.72007597602084e-44
4,"know",3.72007597602084e-44
4,"least",3.72007597602084e-44
4,"loves",3.72007597602084e-44
4,"already",3.72007597602084e-44
4,"done",3.72007597602084e-44
4,"fall",3.72007597602084e-44
4,"summer",3.72007597602084e-44
4,"argh",3.72007597602084e-44
4,"co",3.72007597602084e-44
4,"hate",3.72007597602084e-44
4,"workers",3.72007597602084e-44
4,"congratulation",3.72007597602084e-44
4,"djeas",3.72007597602084e-44
4,"full",3.72007597602084e-44
4,"katie",3.72007597602084e-44
4,"reggie",3.72007597602084e-44
4,"smack",3.72007597602084e-44
4,"shin",3.72007597602084e-44
4,"splints",3.72007597602084e-44
4,"bouquet",3.72007597602084e-44
4,"come",3.72007597602084e-44
4,"night",3.72007597602084e-44
4,"quit",3.72007597602084e-44
4,"screwing",3.72007597602084e-44
4,"supposed",3.72007597602084e-44
4,"dnyjk",3.72007597602084e-44
4,"dottie",3.72007597602084e-44
