"topic","term","beta"
1,"_newdefualt",0.0568181875568305
1,"lnk.ms",0.0568181875568305
1,"pc4pc",0.0568181875568305
1,"can",0.0340908121823775
1,"playerfive",0.0227272750227322
1,"rt",0.0113636375113661
1,"blown",0.0113636375113661
1,"lidge",0.0113636375113661
1,"save",0.0113636375113661
1,"ugh",0.0113636375113661
1,"vknsh",0.0113636375113661
1,"closer",0.0113636375113661
1,"e0lld",0.0113636375113661
1,"madson",0.0113636375113661
1,"new",0.0113636375113661
1,"3rd",0.0113636375113661
1,"5j6dk",0.0113636375113661
1,"austin",0.0113636375113661
1,"city",0.0113636375113661
1,"dirtyfrankdahmr",0.0113636375113661
1,"jam",0.0113636375113661
1,"limits",0.0113636375113661
1,"oct",0.0113636375113661
1,"pearl",0.0113636375113661
1,"tape",0.0113636375113661
1,"hey",0.0113636375113661
1,"well",0.0113636375113661
1,"developer",0.0113636375113661
1,"plz",0.0113636375113661
1,"site",0.0113636375113661
1,"madden",0.0113636375113661
1,"win",0.0113636375113661
1,"paqf",0.0113636375113661
1,"weird",0.0113636375113661
1,"werth",0.0113636375113661
1,"y",0.0113636375113661
1,"don",0.0113636375113661
1,"just",0.0113636375113661
1,"familiarr",0.0113636375113661
1,"idk",0.0113636375113661
1,"ilook",0.0113636375113661
1,"uhh",0.0113636375113661
1,"ready",0.0113636375113661
1,"0symd",0.0113636375113661
1,"ah",0.0113636375113661
1,"bhe",0.0113636375113661
1,"boys",0.0113636375113661
1,"buh",0.0113636375113661
1,"fo",0.0113636375113661
1,"icrushh",0.0113636375113661
1,"imma",0.0113636375113661
1,"keep",0.0113636375113661
1,"knw",0.0113636375113661
1,"mchh",0.0113636375113661
1,"never",0.0113636375113661
1,"relationshpp",0.0113636375113661
1,"whn",0.0113636375113661
1,"1vlw3",0.0113636375113661
1,"little",0.0113636375113661
1,"things",0.0113636375113661
1,"yah",0.0113636375113661
1,"1vlyl",0.0113636375113661
1,"greatt",0.0113636375113661
1,"hmm",0.0113636375113661
1,"ihts",0.0113636375113661
1,"juss",0.0113636375113661
1,"somethinggg",0.0113636375113661
1,"da",0.0113636375113661
1,"field",0.0113636375113661
1,"hockey",0.0113636375113661
1,"jhen",0.0113636375113661
1,"prince",0.0113636375113661
2,"game",0.0687534209867141
2,"phillies",0.0623273896299975
2,"ot",0.026713691776977
2,"photos",0.026713691776977
2,"men's",0.026713691776977
2,"win",0.026713691776977
2,"end",0.026713691776977
2,"pm",0.0267136916771651
2,"soccer",0.0230852449546737
2,"last",0.017809127851318
2,"still",0.017809127851318
2,"today",0.017809127851318
2,"vs",0.017809127851318
2,"injuries",0.017809127851318
2,"gsoc",0.017809127851318
2,"tied",0.017809127851318
2,"first",0.017809127851318
3,"today",0.0310783541686888
3,"good",0.0207189027791258
3,"back",0.0207189027791258
3,"o",0.0207189027791258
3,"ill",0.0207189027791258
3,"1r1sh_m0nk3y",0.0207189027791258
3,"phils",0.0207189027791258
3,"drawing",0.0207189027791258
3,"pm",0.0207189025788182
3,"game",0.0156585548813173
4,"day",0.0581394639501316
4,"terry",0.0348837235574025
4,"play",0.023255815704935
4,"mr",0.023255815704935
4,"5th",0.023255815704935
4,"annual",0.023255815704935
4,"campus",0.023255815704935
4,"celebration",0.023255815704935
4,"constitution",0.023255815704935
4,"etb",0.023255815704935
4,"featured",0.023255815704935
4,"join",0.023255815704935
4,"mark",0.023255815704935
4,"noon",0.023255815704935
4,"siefert",0.023255815704935
4,"us",0.023255815704935
4,"_newdefualt",0.023255815704935
4,"lnk.ms",0.023255815704935
4,"pc4pc",0.023255815704935
5,"tinychat.com",0.140186916269858
5,"chat",0.0934579441799055
5,"video",0.0934579441799055
5,"ajk4c",0.0934579414549167
5,"joined",0.0467289720899527
5,"just",0.0467289720899527
5,"make",0.0467289720899527
5,"tinychat",0.0467289720899527
5,"done",0.0280373832539717
5,"mazzasaurus_rex",0.0280373832539717
6,"sta",0.0849631376603522
6,"scores",0.051551257055335
6,"bedford",0.0392137558661755
6,"points",0.0326781298884796
6,"somers",0.0326781298884796
6,"left",0.0261425039107837
6,"half",0.0196068779330878
6,"runs",0.0196068779330878
6,"kickoff",0.0196068779330878
6,"td",0.0196068779330878
