"topic","term","beta"
1,"rt",0.0236999346256083
1,"school",0.0163417615495076
1,"just",0.0163417614702171
1,"naples",0.0127102589830233
1,"news",0.0127102589830233
1,"home",0.0127102584996712
1,"photos",0.0108871029907752
1,"twitter",0.00726300513315619
1,"blog",0.00726300513315619
1,"glad",0.00726300513315619
1,"burned",0.00726300513315619
1,"fail",0.00726300513315619
1,"yahoo",0.00726300513315619
1,"atom's",0.00726300513315619
1,"useful",0.00726300513315619
1,"front",0.00726300513315619
2,"gncocmember",0.0218985014040442
2,"website",0.0145990009360295
2,"new",0.0134812851174692
2,"tired",0.0127741258190258
2,"now",0.0127741258190258
2,"day",0.0127741258190258
2,"rt",0.0127057694620445
2,"help",0.0120298290687871
2,"services",0.0109492507020221
2,"chamber",0.0109492507020221
2,"member",0.0109492507020221
2,"random",0.0109492507020221
3,"rt",0.0241645342516266
3,"video",0.0217481261305759
3,"blog",0.0180487417209433
3,"today",0.0176634672387377
3,"new",0.016787866590296
3,"latest",0.0144987934477409
3,"post",0.014498793441301
3,"love",0.0126856447756898
3,"feel",0.012684514664062
3,"free",0.0125792177196213
4,"thanks",0.0203909695653819
4,"rt",0.0136264513967637
4,"ff",0.0136264513967637
4,"community",0.0119231449721683
4,"greading",0.0119231449721682
4,"media",0.0119224713142539
4,"social",0.0119211781405918
4,"tinyurl.com",0.0114560170823394
4,"thank",0.0102198385475728
4,"coffee",0.0102198385475728
4,"ndncoffee",0.0102198385475728
4,"like",0.0102198385475728
5,"can",0.025412671134623
5,"photo",0.0174977104452686
5,"app",0.0160395679081807
5,"away",0.0160395679081703
5,"tumblr.com",0.0159089583935792
5,"one",0.0151455848847691
5,"celebrate",0.0145814253710734
5,"launching",0.0145814253710734
5,"iphone",0.0145814253710734
5,"azomob",0.0145814253710734
5,"dude",0.0145814253710734
5,"dudeappstore",0.0145814253710734
5,"giving",0.0145814253710734
5,"macbook",0.0145814253710734
5,"windudemb",0.0145814253710734
5,"www.tiny.cc",0.0145814253710734
6,"just",0.0490345215216953
6,"spoilertv",0.0308208342002903
6,"follow",0.0231156256501371
6,"oil",0.0231156256404719
6,"olive",0.0230853167744149
6,"win",0.0169514588101596
6,"details",0.0154104171001451
6,"retweet",0.0154104171001451
6,"apple",0.0154104171001451
6,"entered",0.0154104171001451
6,"gb",0.0154104171001451
6,"ipod",0.0154104171001451
6,"nano",0.0154104171001451
6,"umxgk",0.0154104171001451
7,"great",0.0272058929481261
7,"one",0.0194355801144874
7,"rt",0.0161963167620729
7,"need",0.014501223482868
7,"build",0.0129570534096583
7,"2serenity",0.0129570534096583
7,"naples",0.00971779005724371
7,"get",0.00934336322949502
7,"want",0.00866126364468097
7,"congrats",0.00809815838103643
8,"go",0.0246410194727812
8,"next",0.0191695734827336
8,"time",0.0176647261836703
8,"u",0.0126665014061582
8,"rt",0.0103909384281685
8,"game",0.0103220800274401
8,"tonight",0.0103220800274401
8,"gonna",0.010321449824477
8,"going",0.00980541472290698
8,"know",0.009794804487682
9,"rt",0.0331748528465999
9,"immtoday",0.018458140145786
9,"que",0.0138436051204362
9,"celebration",0.0138436051204362
9,"cultures",0.0138436051204362
9,"now",0.0123054267737194
9,"de",0.0107672484270059
9,"brand",0.0107672484270059
9,"florida",0.0107672484270059
9,"immokalee",0.0107672484270059
9,"21st",0.0107672484270059
9,"century",0.0107672484270059
