"topic","term","beta"
1,"asked",0.0666666666666667
1,"big",0.0666666666666667
1,"card",0.0666666666666667
1,"credit",0.0666666666666667
1,"deal",0.0666666666666667
1,"getting",0.0666666666666667
1,"guys",0.0666666666666667
1,"id",0.0666666666666667
1,"loves",0.0666666666666667
1,"old",0.0666666666666667
1,"reason",0.0666666666666667
1,"see",0.0666666666666667
1,"ugh",0.0666666666666667
1,"whats",0.0666666666666667
1,"yelled",0.0666666666666667
2,"play",0.0588235294117647
2,"just",0.0588235294117647
2,"exciting",0.0588235294117647
2,"first",0.0588235294117647
2,"got",0.0588235294117647
2,"jury",0.0588235294117647
2,"mail",0.0588235294117647
2,"summons",0.0588235294117647
2,"sweet",0.0588235294117647
2,"equiptment",0.0588235294117647
2,"excited",0.0588235294117647
2,"lakewood",0.0588235294117647
2,"music",0.0588235294117647
2,"retreat",0.0588235294117647
2,"setting",0.0588235294117647
2,"sound",0.0588235294117647
2,"weekend",0.0588235294117647
3,"class",0.2
3,"work",0.1
3,"good",0.05
3,"mac",0.05
3,"omgosh",0.05
3,"toby",0.05
3,"e",0.05
3,"ew",0.05
3,"hour",0.05
3,"mails",0.05
3,"past",0.05
3,"sending",0.05
3,"tired",0.05
3,"morning",0.05
3,"night",0.05
3,"till",0.05
4,"like",0.0769230769230769
4,"car",0.0769230769230769
4,"game",0.0769230769230769
4,"home",0.0769230769230769
4,"lightning",0.0769230769230769
4,"overtime",0.0769230769230769
4,"sitting",0.0769230769230769
4,"sweet",0.0769230769230769
4,"text",0.0769230769230769
4,"time",0.0769230769230769
4,"way",0.0769230769230769
4,"won",0.0769230769230769
4,"ya",0.0769230769230769
5,"doctors",0.0909090909090909
5,"ive",0.0909090909090909
5,"kids",0.0909090909090909
5,"many",0.0909090909090909
5,"never",0.0909090909090909
5,"office",0.0909090909090909
5,"one",0.0909090909090909
5,"place",0.0909090909090909
5,"seen",0.0909090909090909
5,"sick",0.0909090909090909
5,"swear",0.0909090909090909
6,"love",0.125
6,"done",0.0625
6,"im",0.0625
6,"blehhh",0.0625
6,"day",0.0625
6,"homework",0.0625
6,"hooray",0.0625
6,"long",0.0625
6,"procrastination",0.0625
6,"still",0.0625
6,"2.75",0.0625
6,"orange",0.0625
6,"parks",0.0625
6,"soda",0.0625
6,"theme",0.0625
7,"like",0.111111111111111
7,"american",0.111111111111111
7,"county",0.111111111111111
7,"cownty",0.111111111111111
7,"government",0.111111111111111
7,"instructor",0.111111111111111
7,"lolz",0.111111111111111
7,"moo",0.111111111111111
7,"spelled",0.111111111111111
7,"class",3.72007597602084e-44
7,"body",3.72007597602084e-44
7,"come",3.72007597602084e-44
7,"delta",3.72007597602084e-44
7,"going",3.72007597602084e-44
7,"great",3.72007597602084e-44
7,"hockey",3.72007597602084e-44
7,"play",3.72007597602084e-44
7,"playing",3.72007597602084e-44
7,"shuts",3.72007597602084e-44
7,"skates",3.72007597602084e-44
7,"stick",3.72007597602084e-44
7,"woods",3.72007597602084e-44
7,"anything",3.72007597602084e-44
7,"die",3.72007597602084e-44
7,"done",3.72007597602084e-44
7,"feel",3.72007597602084e-44
7,"hotter",3.72007597602084e-44
7,"im",3.72007597602084e-44
7,"outside",3.72007597602084e-44
7,"apa",3.72007597602084e-44
7,"format",3.72007597602084e-44
7,"just",3.72007597602084e-44
7,"mla",3.72007597602084e-44
7,"thats",3.72007597602084e-44
7,"use",3.72007597602084e-44
7,"uses",3.72007597602084e-44
7,"world",3.72007597602084e-44
7,"wtf",3.72007597602084e-44
7,"blehhh",3.72007597602084e-44
7,"day",3.72007597602084e-44
7,"homework",3.72007597602084e-44
7,"hooray",3.72007597602084e-44
7,"long",3.72007597602084e-44
7,"love",3.72007597602084e-44
7,"procrastination",3.72007597602084e-44
7,"agraceful",3.72007597602084e-44
7,"confide",3.72007597602084e-44
7,"yay",3.72007597602084e-44
7,"good",3.72007597602084e-44
7,"iron",3.72007597602084e-44
7,"life",3.72007597602084e-44
7,"lolcats",3.72007597602084e-44
7,"nilla",3.72007597602084e-44
7,"stevens",3.72007597602084e-44
7,"sufjan",3.72007597602084e-44
7,"tonight",3.72007597602084e-44
7,"wafers",3.72007597602084e-44
7,"wine",3.72007597602084e-44
7,"exciting",3.72007597602084e-44
7,"first",3.72007597602084e-44
7,"got",3.72007597602084e-44
7,"jury",3.72007597602084e-44
7,"mail",3.72007597602084e-44
7,"summons",3.72007597602084e-44
7,"mac",3.72007597602084e-44
7,"omgosh",3.72007597602084e-44
7,"toby",3.72007597602084e-44
7,"2.75",3.72007597602084e-44
7,"orange",3.72007597602084e-44
7,"parks",3.72007597602084e-44
7,"soda",3.72007597602084e-44
7,"theme",3.72007597602084e-44
7,"e",3.72007597602084e-44
7,"ew",3.72007597602084e-44
7,"hour",3.72007597602084e-44
7,"mails",3.72007597602084e-44
7,"past",3.72007597602084e-44
7,"sending",3.72007597602084e-44
7,"tired",3.72007597602084e-44
7,"church",3.72007597602084e-44
7,"drums",3.72007597602084e-44
7,"morning",3.72007597602084e-44
7,"night",3.72007597602084e-44
7,"sweet",3.72007597602084e-44
7,"equiptment",3.72007597602084e-44
7,"excited",3.72007597602084e-44
7,"lakewood",3.72007597602084e-44
7,"music",3.72007597602084e-44
7,"retreat",3.72007597602084e-44
7,"setting",3.72007597602084e-44
7,"sound",3.72007597602084e-44
7,"weekend",3.72007597602084e-44
8,"going",0.08
8,"hockey",0.08
8,"playing",0.08
8,"body",0.04
8,"come",0.04
8,"delta",0.04
8,"great",0.04
8,"play",0.04
8,"shuts",0.04
8,"skates",0.04
8,"stick",0.04
8,"woods",0.04
8,"anything",0.04
8,"die",0.04
8,"done",0.04
8,"feel",0.04
8,"hotter",0.04
8,"im",0.04
8,"like",0.04
8,"outside",0.04
8,"church",0.04
8,"drums",0.04
9,"apa",0.0454545454545454
9,"format",0.0454545454545454
9,"just",0.0454545454545454
9,"mla",0.0454545454545454
9,"thats",0.0454545454545454
9,"use",0.0454545454545454
9,"uses",0.0454545454545454
9,"world",0.0454545454545454
9,"wtf",0.0454545454545454
9,"agraceful",0.0454545454545454
9,"confide",0.0454545454545454
9,"yay",0.0454545454545454
9,"good",0.0454545454545454
9,"iron",0.0454545454545454
9,"life",0.0454545454545454
9,"lolcats",0.0454545454545454
9,"nilla",0.0454545454545454
9,"stevens",0.0454545454545454
9,"sufjan",0.0454545454545454
9,"tonight",0.0454545454545454
9,"wafers",0.0454545454545454
9,"wine",0.0454545454545454
