"topic","term","beta"
1,"voted",0.0246776737493639
1,"work",0.0242507088949524
1,"vote",0.0222099063744272
1,"puffs",0.0197421389994912
1,"just",0.0185545008327221
1,"like",0.0172743716245548
1,"want",0.0147471697213616
1,"life",0.012338836874682
1,"best",0.012338836874682
1,"movie",0.012338836874682
2,"covsf",0.0169746016565752
2,"birthday",0.0148527764495033
2,"god",0.0148527764495033
2,"start",0.0148527595947418
2,"time",0.0138992799866091
2,"church",0.0127309512424314
2,"money",0.0123508849909477
2,"make",0.0109065128634763
2,"good",0.0106091260353595
2,"know",0.0103210145998586
3,"launch",0.0459791020306738
3,"demo",0.0188215459766647
3,"stss",0.0188215459766647
3,"time",0.0188194194768186
3,"today",0.0158381408542869
3,"see",0.0153377279279037
3,"ii",0.0146389802040726
3,"delta",0.0139961770116915
3,"just",0.0129176725973666
3,"want",0.0125476858895599
4,"home",0.0230101445594668
4,"new",0.0207091695357373
4,"tinyurl.com",0.0201755297119069
4,"one",0.0184081495790624
4,"amazing",0.0184081309562981
4,"go",0.0180685266598001
4,"rt",0.0175013772304905
4,"health",0.0115050941874759
4,"wednesday",0.0115050941874759
4,"last",0.011505069566627
5,"2eytyj",0.0414296585615905
5,"id",0.0414296585615905
5,"order",0.0388403049014911
5,"sleep",0.0284828902610935
5,"much",0.0232919667688052
5,"use",0.0207148292807952
5,"weight",0.020714829280795
5,"lose",0.0181254756206958
5,"first",0.012946768300497
5,"artigrius",0.012946768300497
6,"get",0.0456105141137506
6,"u",0.0391396902878458
6,"now",0.0386457278884763
6,"website",0.0156827533761818
6,"fun",0.0142395892596339
6,"pays",0.0138140083369168
6,"early",0.0138140082511637
6,"can",0.0137204010677848
6,"run",0.0115116736140973
6,"find",0.0115116736140973
6,"light",0.0115116736140973
7,"florida",0.0327138756797608
7,"today",0.0326074055616356
7,"man",0.0179602200034873
7,"burglars",0.0157130562324338
7,"another",0.0134701650144333
7,"video",0.0134701650144333
7,"action",0.0134701650144333
7,"ap7g9",0.0134701650144333
7,"cameras",0.0134701650144333
7,"capture",0.0134701650144333
7,"images",0.0134701650144333
8,"just",0.024431831895851
8,"really",0.0166803494948301
8,"wait",0.0145701584054863
8,"fuck",0.012361660185632
8,"rt",0.0108937143490704
8,"aclnk.com",0.0098893281682573
8,"even",0.00988932816825729
8,"wow",0.00988932702813916
8,"yeah",0.009889205021903
8,"knowing",0.00741699612619298
8,"totally",0.00741699612619298
8,"later",0.00741699612619298
8,"tweet",0.00741699612619298
8,"hate",0.00741699612619298
8,"bored",0.00741699612619298
8,"patrick",0.00741699612619298
8,"swayze",0.00741699612619298
8,"psj",0.00741699612619298
9,"twitter",0.0169379212987503
9,"im",0.016937903922397
9,"kanye",0.0145182182403946
9,"pink",0.012098515224007
9,"trader",0.00967881217920559
9,"one",0.00967881217920559
9,"trump",0.00967881217920559
9,"timing_is_everything",0.00967881217920559
9,"free",0.00967881217920468
9,"just",0.00903994113503986
