"topic","term","beta"
1,"is.gd",0.0253737916712436
1,"time",0.0190303437534327
1,"open",0.0190303437533998
1,"pet",0.0126868958356218
1,"getting",0.0126868958356218
1,"sounds",0.0126868958356218
1,"candles",0.0126868958356218
1,"get",0.0126868958356218
1,"want",0.0126868958356218
1,"next",0.0126868958356218
1,"play",0.0126868958356218
1,"work",0.0126868958356218
1,"questions",0.0126868958356218
1,"dog",0.0126868958356218
1,"expert",0.0126868958356218
1,"week's",0.0126868958356218
2,"tinyurl.com",0.0596131627202256
2,"pirates",0.0476905301761805
2,"fb",0.0417292139041579
2,"mcvqf9",0.0417292139041579
2,"zyngapirates",0.0417292139041579
2,"pet",0.0357678976321354
2,"can",0.0357678976320693
2,"just",0.0238452650880902
2,"fight",0.0178839488160677
2,"boost",0.0178839488160677
2,"energy",0.0178839488160677
2,"send",0.0178839488160677
3,"just",0.0799864604544485
3,"day",0.0369168256829014
3,"like",0.0273071764684039
3,"glad",0.0246112186013688
3,"hope",0.0184584139510266
3,"come",0.0184584139510266
3,"see",0.0184584139510266
3,"started",0.0184584139510266
3,"well",0.0184584139510266
3,"qwitter",0.0142719547694176
4,"rt",0.099993802536754
4,"google",0.0544331345486406
4,"book",0.0388808103859957
4,"settlement",0.0311046483135089
4,"books",0.0311046483135089
4,"gbs",0.0233284862351317
4,"digitalkoans",0.0233284862351317
4,"need",0.0155523241567544
4,"ericrumsey",0.0155523241567544
4,"digital",0.0155523241567544
5,"thanks",0.0271443133493839
5,"now",0.0271428030156194
5,"jackgraycnn",0.020358413566917
5,"week",0.020358413566917
5,"dogs",0.013572275711278
5,"rt",0.013572275711278
5,"eccentric",0.013572275711278
5,"opinion",0.013572275711278
5,"plants",0.013572275711278
5,"night",0.013572275711278
5,"birthday",0.013572275711278
5,"happy",0.013572275711278
5,"interesting",0.013572275711278
5,"great",0.013572275711278
5,"fun",0.013572275711278
5,"lelyse",0.013572275711278
5,"fact",0.013572275711278
5,"asleep",0.013572275711278
5,"is.gd",0.013572275711278
6,"rt",0.0283081689147848
6,"oa",0.0212311266860886
6,"sounds",0.020569045745127
6,"hear",0.0141540844573924
6,"keregan",0.0141540844573924
6,"binghamton",0.0141540844573924
6,"sorry",0.0141540844573924
6,"big",0.0141540844573924
6,"better",0.0141540844573924
6,"back",0.0141540844573924
6,"nicolewilde",0.0141540844573924
6,"video",0.0141540844573924
7,"one",0.0343395313739526
7,"is.gd",0.0244552050913517
7,"old",0.0206037188243715
7,"ladies",0.013735812549581
7,"tonight",0.013735812549581
7,"care",0.013735812549581
7,"thoughts",0.013735812549581
7,"new",0.013735812549581
7,"twitter",0.013735812549581
7,"go",0.013735812549581
7,"ny",0.013735812549581
7,"know",0.013735812549581
7,"budget",0.013735812549581
8,"is.gd",0.0299417881841725
8,"think",0.0269780773993191
8,"loving",0.0202345602245418
8,"pretty",0.0202345602245418
8,"like",0.0202345602245418
8,"dogs",0.0134897068163612
8,"ready",0.0134897068163612
8,"feeling",0.0134897068163612
8,"still",0.0134897068163612
8,"tomorrow",0.0134897068163612
8,"watching",0.0134897068163612
8,"people",0.0134897068163612
8,"duhduh",0.0134897068163612
8,"good",0.0134897068163612
8,"class",0.0134897068163612
8,"public",0.0134897068163612
8,"student",0.0134897068163612
9,"rt",0.0382272682836838
9,"is.gd",0.0318560569030698
9,"love",0.0252407719023304
9,"new",0.0191136341418419
9,"dogs",0.0191136341415479
9,"blog",0.0191136340848509
9,"great",0.0127424227612279
9,"bcpubliclibrary",0.0127424227612279
9,"loves",0.0127424227612279
9,"sure",0.0127424227612279
9,"resourceshelf",0.0127424227612279
9,"wish",0.0127424227612279
9,"morning",0.0127424227612279
9,"lelyse",0.0127424227612279
9,"coffee",0.0127424227612279
9,"make",0.0127424227612279
9,"found",0.0127424227612279
9,"work",0.0127424227612279
9,"gov",0.0127424227612279
9,"wednesday",0.0127424227612279
9,"cayuga",0.0127424227612279
9,"heights",0.0127424227612279
9,"easily",0.0127424227612279
9,"prevented",0.0127424227612279
9,"story",0.0127424227612279
9,"tabby",0.0127424227612279
9,"tragedy",0.0127424227612279
