"topic","term","beta"
1,"see",0.0250330218772944
1,"new",0.0227840173414708
1,"like",0.0204526861930282
1,"day",0.0150782262442928
1,"tinyurl.com",0.013558504048321
1,"spherion",0.0128451185919779
1,"jobs",0.0122399801848574
1,"good",0.0118359208974427
1,"rt",0.0100890758537001
1,"today",0.00960896800971981
2,"can",0.0210919532850396
2,"know",0.0150473848490061
2,"lol",0.0130338403381972
2,"really",0.0101677575052889
2,"little",0.0100844544747465
2,"now",0.0100691898866214
2,"like",0.00919595204622229
2,"got",0.00912891823067022
2,"good",0.00911520812954038
2,"thanks",0.00892384976943103
3,"quickbooks",0.0149231029458604
3,"first",0.0124309320368757
3,"real",0.0118142961423575
3,"room",0.0118142961179828
3,"live",0.0117973312420568
3,"looking",0.0105706860193892
3,"world",0.010570023248934
3,"next",0.0089743784943109
3,"free",0.00880317457993571
3,"day",0.00775250044787765
4,"work",0.0259167760797146
4,"free",0.0248682181689437
4,"rt",0.021165036828552
4,"ow.ly",0.0210748463990771
4,"going",0.0205093570416759
4,"tonight",0.0170940489452345
4,"home",0.0116458888903228
4,"back",0.00985499542446941
4,"get",0.0085782294852413
4,"can",0.00822815041597889
5,"u",0.0461000131311819
5,"twitter",0.0311319015866585
5,"say",0.0299351781405271
5,"call",0.0221520318239949
5,"tix",0.0191585140099415
5,"pot",0.0185598104471309
5,"logues",0.0179611068843202
5,"marijuana",0.0179611068843202
5,"offer",0.00957925700497077
5,"retweet",0.00957925700497077
6,"go",0.0127088913114062
6,"well",0.00968611263244203
6,"man",0.00888159177582303
6,"game",0.00837547686923357
6,"cudi",0.00812689318536424
6,"great",0.0078000253201449
6,"year",0.00702519291938203
6,"now",0.00701363550846106
6,"home",0.00687584828793133
6,"today",0.00683031581456301
7,"night",0.0168612692954971
7,"day",0.0135918084665991
7,"last",0.0125471459854123
7,"morning",0.00941975625525654
7,"come",0.00927370086552981
7,"live",0.00849859672590839
7,"love",0.00842853917363966
7,"rt",0.00759163993525083
7,"just",0.00751175715400845
7,"broadcasting",0.00707144569251716
7,"ustre.am",0.00707144569251716
8,"rt",0.0237629643781636
8,"lol",0.0121313846244562
8,"dog",0.0110600230569464
8,"mindpowercoach",0.00875009858937393
8,"best",0.00733386540082585
8,"article",0.0070163175333409
8,"poken",0.00701631753334084
8,"pulse",0.00701631753334077
8,"puppy",0.00701631753333766
8,"go",0.00639098013169149
9,"just",0.0210001069478712
9,"get",0.0132935086181364
9,"rt",0.0127485505926739
9,"need",0.0115305712818217
9,"one",0.0114522441816943
9,"thanks",0.0113860699462426
9,"hope",0.00956927721054871
9,"better",0.00912244628506619
9,"email",0.00902801578774658
9,"new",0.0075594041946791
