"topic","term","beta"
1,"time",0.214285714285714
1,"raw",0.0714285714285714
1,"wwe",0.0714285714285714
1,"chelsea",0.0714285714285714
1,"lovin",0.0714285714285714
1,"manchester",0.0714285714285714
1,"party",0.0714285714285714
1,"result",0.0714285714285714
1,"table",0.0714285714285714
1,"top",0.0714285714285714
1,"united",0.0714285714285714
1,"wigan",0.0714285714285714
2,"night",0.111111111111111
2,"behind",0.0555555555555556
2,"chinese",0.0555555555555556
2,"far",0.0555555555555556
2,"unreal",0.0555555555555556
2,"gr8",0.0555555555555556
2,"6am",0.0555555555555556
2,"last",0.0555555555555556
2,"laughter",0.0555555555555556
2,"perfect",0.0555555555555556
2,"random",0.0555555555555556
2,"shit",0.0555555555555556
2,"bought",0.0555555555555556
2,"class",0.0555555555555556
2,"karoake",0.0555555555555556
2,"mic",0.0555555555555556
2,"sesh",0.0555555555555556
3,"2.0",0.0833333333333333
3,"best",0.0833333333333333
3,"got",0.0833333333333333
3,"gr8",0.0833333333333333
3,"jade",0.0833333333333333
3,"keisha",0.0833333333333333
3,"really",0.0833333333333333
3,"sugababes",0.0833333333333333
3,"thisissuganet",0.0833333333333333
3,"version",0.0833333333333333
3,"voice",0.0833333333333333
3,"without",0.0833333333333333
4,"go",0.0909090909090909
4,"s",0.0454545454545454
4,"bass",0.0454545454545454
4,"asked",0.0454545454545454
4,"away",0.0454545454545454
4,"believe",0.0454545454545454
4,"boy",0.0454545454545454
4,"chickened",0.0454545454545454
4,"doesnt",0.0454545454545454
4,"likes",0.0454545454545454
4,"meet",0.0454545454545454
4,"shyness",0.0454545454545454
4,"easy",0.0454545454545454
4,"r",0.0454545454545454
4,"tabs",0.0454545454545454
4,"wants",0.0454545454545454
4,"2nd",0.0454545454545454
4,"evening",0.0454545454545454
4,"parents",0.0454545454545454
4,"revving",0.0454545454545454
4,"year",0.0454545454545454
5,"rockstar",0.0869565217391304
5,"learnt",0.0434782608695652
5,"american",0.0434782608695652
5,"bit",0.0434782608695652
5,"bridge",0.0434782608695652
5,"home",0.0434782608695652
5,"idiot",0.0434782608695652
5,"lunch",0.0434782608695652
5,"psychology",0.0434782608695652
5,"made",0.0434782608695652
5,"make",0.0434782608695652
5,"twitpic.com",0.0434782608695652
5,"archeology",0.0434782608695652
5,"coursework",0.0434782608695652
5,"dated",0.0434782608695652
5,"first",0.0434782608695652
5,"happening",0.0434782608695652
5,"jdjj9",0.0434782608695652
5,"joy",0.0434782608695652
5,"southport",0.0434782608695652
5,"station",0.0434782608695652
5,"x",0.0434782608695652
6,"bass",0.153846153846154
6,"can",0.153846153846154
6,"play",0.153846153846154
6,"army",0.0769230769230769
6,"buzzin",0.0769230769230769
6,"nation",0.0769230769230769
6,"bar",0.0769230769230769
6,"gay",0.0769230769230769
6,"needs",0.0769230769230769
6,"woop",0.0769230769230769
7,"learnt",0.0555555555555556
7,"bass",0.0555555555555556
7,"evening",0.0555555555555556
7,"parents",0.0555555555555556
7,"182s",0.0555555555555556
7,"2day",0.0555555555555556
7,"blink",0.0555555555555556
7,"days",0.0555555555555556
7,"happy",0.0555555555555556
7,"imensely",0.0555555555555556
7,"ive",0.0555555555555556
7,"miss",0.0555555555555556
7,"nothing",0.0555555555555556
7,"pfft",0.0555555555555556
7,"tunes",0.0555555555555556
7,"u",0.0555555555555556
7,"woo",0.0555555555555556
7,"worry",0.0555555555555556
8,"home",0.0588235294117647
8,"brandon",0.0588235294117647
8,"eyed",0.0588235294117647
8,"eyes",0.0588235294117647
8,"lee",0.0588235294117647
8,"listening",0.0588235294117647
8,"makes",0.0588235294117647
8,"r.i.p",0.0588235294117647
8,"teary",0.0588235294117647
8,"cant",0.0588235294117647
8,"cold",0.0588235294117647
8,"cup",0.0588235294117647
8,"dreary",0.0588235294117647
8,"steaming",0.0588235294117647
8,"tea",0.0588235294117647
8,"wait",0.0588235294117647
8,"walk",0.0588235294117647
9,"o",0.133333333333333
9,"arse",0.0666666666666667
9,"guitar",0.0666666666666667
9,"laughed",0.0666666666666667
9,"learnt",0.0666666666666667
9,"lesson",0.0666666666666667
9,"s",0.0666666666666667
9,"ziltch",0.0666666666666667
9,"awww",0.0666666666666667
9,"bubzbeauty",0.0666666666666667
9,"cute",0.0666666666666667
9,"jdf1r",0.0666666666666667
9,"sooo",0.0666666666666667
9,"twitpic.com",0.0666666666666667
