"topic","term","beta"
1,"alta",0.1236294157374
1,"new",0.1236294157374
1,"video",0.1236294157374
1,"acreage",0.113195580278401
1,"iowa",0.113187841334225
1,"just",0.0936547918305859
1,"tour",0.0618147078687
1,"finished",0.0618147078687
1,"listing",0.0618147078687
1,"listings.html",0.0618147078687
1,"www.slrealtycheck.com",0.0618147078687
2,"1gnnuk",0.0476190476190476
2,"chan",0.0476190476190476
2,"crs",0.0476190476190476
2,"given",0.0476190476190476
2,"great",0.0476190476190476
2,"instructor",0.0476190476190476
2,"knows",0.0476190476190476
2,"markgiven",0.0476190476190476
2,"mrtweet",0.0476190476190476
2,"recommended",0.0476190476190476
2,"talking",0.0476190476190476
2,"house",0.0476190476190476
2,"friend",0.0476190476190476
2,"get",0.0476190476190476
2,"give",0.0476190476190476
2,"homeowners",0.0476190476190476
2,"insurance",0.0476190476190476
2,"look",0.0476190476190476
2,"quote",0.0476190476190476
2,"us",0.0476190476190476
2,"waiting",0.0476190476190476
3,"today",0.0526315789473684
3,"new",0.0526315789473684
3,"b9sk7y",0.0526315789473684
3,"followfriday",0.0526315789473684
3,"searched",0.0526315789473684
3,"tinyurl.com",0.0526315789473684
3,"twitter",0.0526315789473684
3,"26le40",0.0526315789473684
3,"big",0.0526315789473684
3,"fastest",0.0526315789473684
3,"flip",0.0526315789473684
3,"house",0.0526315789473684
3,"justinrazmus",0.0526315789473684
3,"make",0.0526315789473684
3,"money",0.0526315789473684
3,"post",0.0526315789473684
3,"rt",0.0526315789473684
3,"su.pr",0.0526315789473684
3,"way",0.0526315789473684
4,"checklist",0.111111111111111
4,"inc",0.111111111111111
4,"izme",0.111111111111111
4,"linkedin",0.111111111111111
4,"magazine",0.111111111111111
4,"messagemedium",0.111111111111111
4,"ow.ly",0.111111111111111
4,"profile",0.111111111111111
4,"use",0.111111111111111
4,"great",3.72007597602084e-44
4,"mrtweet",3.72007597602084e-44
4,"recommended",3.72007597602084e-44
4,"day",3.72007597602084e-44
4,"iowa",3.72007597602084e-44
4,"today",3.72007597602084e-44
4,"acreage",3.72007597602084e-44
4,"new",3.72007597602084e-44
4,"tour",3.72007597602084e-44
4,"b9sk7y",3.72007597602084e-44
4,"followfriday",3.72007597602084e-44
4,"searched",3.72007597602084e-44
4,"tinyurl.com",3.72007597602084e-44
4,"twitter",3.72007597602084e-44
4,"house",3.72007597602084e-44
4,"get",3.72007597602084e-44
4,"forward",3.72007597602084e-44
4,"found",3.72007597602084e-44
4,"jbern",3.72007597602084e-44
4,"looking",3.72007597602084e-44
4,"tweets",3.72007597602084e-44
4,"siouxlndchamber",3.72007597602084e-44
4,"hgtvfrontdoor",3.72007597602084e-44
4,"builderonline",3.72007597602084e-44
4,"another",3.72007597602084e-44
4,"lake",3.72007597602084e-44
4,"sale",3.72007597602084e-44
4,"storm",3.72007597602084e-44
4,"15,000",3.72007597602084e-44
4,"credit",3.72007597602084e-44
4,"proposed",3.72007597602084e-44
4,"raised",3.72007597602084e-44
4,"tax",3.72007597602084e-44
4,"dates",3.72007597602084e-44
4,"guidelines",3.72007597602084e-44
4,"impact",3.72007597602084e-44
4,"reporting",3.72007597602084e-44
5,"new",0.117590646918614
5,"great",0.0587953234593069
5,"mrtweet",0.0587953234593069
5,"get",0.0587953234593069
5,"click",0.0587953234593069
5,"improved",0.0587953234593069
5,"mrtweet.com",0.0587953234593069
5,"one",0.0587953234593069
5,"people",0.0587953234593069
5,"recommendations",0.0587953234593069
5,"tried",0.0587953234593069
5,"v",0.0587953234593069
5,"dates",0.0587953234593069
5,"guidelines",0.0587953234593069
5,"impact",0.0587953234593069
5,"reporting",0.0587953234593069
6,"activerain.com",0.128817955273975
6,"t",0.128817955273974
6,"posted",0.12881795527395
6,"activerain",0.128817955273865
6,"just",0.115547409628392
6,"credit",0.051317068925638
6,"iowa",0.03011550764824
6,"acreage",0.0301122821538581
6,"another",0.0257635910548108
6,"lake",0.0257635910548108
6,"sale",0.0257635910548108
6,"storm",0.0257635910548108
6,"15,000",0.0257635910548108
6,"proposed",0.0257635910548108
6,"raised",0.0257635910548108
6,"tax",0.0257635910548108
6,"houses",0.0257635910548108
6,"open",0.0257635910548108
7,"mrtweet",0.166666666666667
7,"forward",0.166666666666667
7,"found",0.166666666666667
7,"looking",0.166666666666667
7,"tweets",0.166666666666667
7,"jbern",0.0416666666666667
7,"siouxlndchamber",0.0416666666666667
7,"hgtvfrontdoor",0.0416666666666667
7,"builderonline",0.0416666666666667
7,"great",3.72007597602084e-44
7,"iowa",3.72007597602084e-44
7,"just",3.72007597602084e-44
7,"new",3.72007597602084e-44
7,"houses",3.72007597602084e-44
7,"open",3.72007597602084e-44
8,"great",0.1
8,"day",0.1
8,"iowa",0.1
8,"today",0.1
8,"almost",0.1
8,"done",0.1
8,"door",0.1
8,"main",0.1
8,"sanding",0.1
8,"st",0.1
9,"mrtweet",0.0625
9,"recommended",0.0625
9,"background",0.0625
9,"brad",0.0625
9,"change",0.0625
9,"easy",0.0625
9,"monthly",0.0625
9,"photographs",0.0625
9,"pretty",0.0625
9,"taken",0.0625
9,"1hrxf3",0.0625
9,"excel",0.0625
9,"love",0.0625
9,"mmangen",0.0625
9,"stuff",0.0625
9,"wow",0.0625
