"topic","term","beta"
1,"humble",0.0689655172413793
1,"works",0.0689655172413793
1,"new",0.0344827586206896
1,"appreciated",0.0344827586206896
1,"certain",0.0344827586206896
1,"downshoredrift",0.0344827586206896
1,"greatly",0.0344827586206896
1,"kind",0.0344827586206896
1,"man",0.0344827586206896
1,"response",0.0344827586206896
1,"baptism",0.0344827586206896
1,"blog",0.0344827586206896
1,"civil",0.0344827586206896
1,"coming",0.0344827586206896
1,"debate",0.0344827586206896
1,"legitimate",0.0344827586206896
1,"sbcvoices",0.0344827586206896
1,"soon",0.0344827586206896
1,"starting",0.0344827586206896
1,"things",0.0344827586206896
1,"27crye",0.0344827586206896
1,"abstinence",0.0344827586206896
1,"babies",0.0344827586206896
1,"education",0.0344827586206896
1,"makes",0.0344827586206896
1,"mean",0.0344827586206896
1,"sex",0.0344827586206896
2,"get",0.107142857142857
2,"192ham",0.0357142857142857
2,"enough",0.0357142857142857
2,"paul",0.0357142857142857
2,"washer",0.0357142857142857
2,"colorado",0.0357142857142857
2,"new",0.0357142857142857
2,"washington",0.0357142857142857
2,"man",0.0357142857142857
2,"love",0.0357142857142857
2,"birthday",0.0357142857142857
2,"bottle",0.0357142857142857
2,"celebrate",0.0357142857142857
2,"folk",0.0357142857142857
2,"going",0.0357142857142857
2,"joel_gehringer",0.0357142857142857
2,"lincoln",0.0357142857142857
2,"music",0.0357142857142857
2,"outta",0.0357142857142857
2,"play",0.0357142857142857
2,"whiskey",0.0357142857142857
2,"work",0.0357142857142857
2,"mom",0.0357142857142857
2,"bj's",0.0357142857142857
2,"commenting",0.0357142857142857
2,"film",0.0357142857142857
3,"see",0.0434782608695652
3,"huskers",0.0434782608695652
3,"blame",0.0434782608695652
3,"laughing",0.0434782608695652
3,"txnrw",0.0434782608695652
3,"chicken",0.0434782608695652
3,"1eh9j0",0.0434782608695652
3,"best",0.0434782608695652
3,"black",0.0434782608695652
3,"bloopers",0.0434782608695652
3,"cock",0.0434782608695652
3,"fucker",0.0434782608695652
3,"news",0.0434782608695652
3,"still",0.0434782608695652
3,"though",0.0434782608695652
3,"adam_gehringer",0.0434782608695652
3,"aww",0.0434782608695652
