"topic","term","beta"
1,"d",0.0357142797279082
1,"topchef",0.0285714237823265
1,"blkbird",0.0214285678367449
1,"get",0.0214285678367449
1,"lillyj",0.0214285678367449
1,"twitpic.com",0.0214285678367449
1,"call",0.0142857118911633
1,"talk",0.0142857118911633
1,"makes",0.00714285594558163
1,"food",0.00714285594558163
1,"people",0.00714285594558163
1,"hail",0.00714285594558163
1,"southern",0.00714285594558163
1,"game",0.00714285594558163
1,"all's",0.00714285594558163
1,"can",0.00714285594558163
1,"expect",0.00714285594558163
1,"gsu's",0.00714285594558163
1,"radio",0.00714285594558163
1,"well",0.00714285594558163
1,"whew",0.00714285594558163
1,"drinking",0.00714285594558163
1,"good",0.00714285594558163
1,"gsu",0.00714285594558163
1,"reason",0.00714285594558163
1,"student's",0.00714285594558163
1,"aurelia_hughes",0.00714285594558163
1,"special",0.00714285594558163
1,"wrong",0.00714285594558163
1,"never",0.00714285594558163
1,"much",0.00714285594558163
1,"something",0.00714285594558163
1,"want",0.00714285594558163
1,"next",0.00714285594558163
1,"one",0.00714285594558163
1,"today",0.00714285594558163
1,"moving",0.00714285594558163
1,"messages",0.00714285594558163
1,"class",0.00714285594558163
1,"eat",0.00714285594558163
1,"now",0.00714285594558163
1,"politely",0.00714285594558163
1,"pr",0.00714285594558163
1,"practicum",0.00714285594558163
1,"prca3711",0.00714285594558163
1,"rid",0.00714285594558163
1,"talked",0.00714285594558163
1,"tom",0.00714285594558163
1,"us",0.00714285594558163
1,"worth",0.00714285594558163
1,"rt",0.00714285594558163
1,"ascot",0.00714285594558163
1,"every",0.00714285594558163
1,"go",0.00714285594558163
1,"knifes",0.00714285594558163
1,"mattin",0.00714285594558163
1,"pack",0.00714285594558163
1,"padma",0.00714285594558163
1,"paid",0.00714285594558163
1,"penny",0.00714285594558163
1,"please",0.00714285594558163
1,"say",0.00714285594558163
1,"backwards",0.00714285594558163
1,"draw",0.00714285594558163
1,"guy",0.00714285594558163
1,"hat",0.00714285594558163
1,"understood",0.00714285594558163
1,"wear",0.00714285594558163
1,"miles",0.00714285594558163
1,"months",0.00714285594558163
1,"need",0.00714285594558163
1,"thestew",0.00714285594558163
1,"visit",0.00714285594558163
1,"darn",0.00714285594558163
1,"families",0.00714285594558163
1,"glad",0.00714285594558163
1,"maybe",0.00714285594558163
1,"week",0.00714285594558163
1,"last",0.00714285594558163
1,"hair",0.00714285594558163
1,"direct",0.00714285594558163
1,"plz",0.00714285594558163
1,"already",0.00714285594558163
1,"bandwidth",0.00714285594558163
1,"i79ri",0.00714285594558163
1,"picture",0.00714285594558163
1,"since",0.00714285594558163
1,"taken",0.00714285594558163
1,"time",0.00714285594558163
1,"l'shana",0.00714285594558163
1,"tova",0.00714285594558163
1,"first",0.00714285594558163
1,"ib5d7",0.00714285594558163
1,"impressed",0.00714285594558163
1,"fish",0.00714285594558163
1,"ibgl9",0.00714285594558163
1,"laura's",0.00714285594558163
1,"elephant",0.00714285594558163
1,"interesting",0.00714285594558163
1,"room",0.00714285594558163
1,"stuff",0.00714285594558163
1,"uandrews",0.00714285594558163
1,"grassroots",0.00714285594558163
1,"fgoyo",0.00714285594558163
1,"promoters",0.00714285594558163
1,"dolcedebbie",0.00714285594558163
1,"everytime",0.00714285594558163
1,"guys",0.00714285594558163
1,"hear",0.00714285594558163
1,"hungry",0.00714285594558163
1,"mcmedia",0.00714285594558163
1,"producergirl",0.00714285594558163
1,"sooooo",0.00714285594558163
1,"bones",0.00714285594558163
1,"brains",0.00714285594558163
1,"called",0.00714285594558163
1,"fraternity",0.00714285594558163
1,"jake_ryan",0.00714285594558163
1,"kill",0.00714285594558163
1,"secret",0.00714285594558163
1,"skull",0.00714285594558163
1,"deep",0.00714285594558163
1,"kstaps",0.00714285594558163
2,"ayyv",0.0325183982689453
2,"remember",0.024388798701709
2,"much",0.024388798701709
2,"something",0.024388798701709
2,"just",0.0162591991344726
2,"oh",0.0162591991344726
2,"find",0.0162591991344726
2,"twitpic.com",0.0162591991344726
2,"thanks",0.0162591991344726
2,"show",0.0162591991344726
2,"havent",0.0162591991344726
3,"got",0.0344827586206874
3,"finally",0.0258620689655155
3,"see",0.0258620689655155
3,"gnome",0.0172413793103437
3,"working",0.0172413793103437
3,"icon",0.0172413793103437
3,"bbq",0.0172413793103437
3,"running",0.0172413793103437
3,"make",0.0172413793103437
3,"like",0.0172413793103437
3,"coconut",0.0172413793103437
3,"look",0.0172413793103437
3,"bagel",0.0172413793103437
3,"curry",0.0172413793103437
3,"milk",0.0172413793103437
3,"red",0.0172413793103437
4,"can",0.0381241802922496
4,"topchef",0.0228745081754792
4,"one",0.0163961484546094
4,"championship",0.0152496721169861
4,"horseshoe",0.0152496721169861
4,"player",0.0152496721169861
4,"way",0.0152496721169861
4,"almost",0.0152496721169861
4,"friday",0.0152496721169861
4,"office",0.0152496721169861
4,"watching",0.0152496721169861
4,"long",0.0152496721169861
5,"twitpic.com",0.0423728897829451
5,"just",0.0338981129567919
5,"clockwisedc",0.0254237338697671
5,"hair",0.0254237338618277
5,"closing",0.016949155913178
5,"part",0.016949155913178
5,"food",0.016949155913178
5,"rt",0.016949155913178
5,"need",0.016949155913178
5,"rfn",0.016949155913178
5,"scruffy",0.016949155913178
5,"address",0.016949155913178
5,"email",0.016949155913178
5,"preferred",0.016949155913178
6,"win",0.0246205078596129
6,"years",0.0164136719064086
6,"just",0.0164136719064086
6,"wish",0.0164136719064086
6,"today",0.0164136719064086
6,"bill",0.0164136719064086
6,"mental",0.0164136719064086
6,"um",0.0164136719064086
6,"family",0.0164136719064086
6,"watch",0.0164136719064086
6,"yes",0.0164136719064086
6,"love",0.0164136719064086
6,"health",0.0164136719064086
7,"tweet",0.0232571329421689
7,"going",0.0232571329421689
7,"get",0.0232571329421689
7,"land",0.0232570909701597
7,"higher",0.02325704876914
7,"peace",0.023257046392054
7,"decent",0.0155047552947793
7,"thing",0.0155047552947793
7,"weekend",0.0155047552947793
7,"wish",0.0155047552947793
7,"next",0.0155047552947793
7,"ever",0.0155047552947793
7,"far",0.0155047552947793
7,"plushie136",0.0155047552947793
7,"hours",0.0155047552947793
7,"film",0.0155047552947793
8,"today",0.0241935430340571
8,"praying",0.0161290286893714
8,"diamond",0.0161290286893714
8,"hope",0.0161290286893714
8,"just",0.0161290286893714
8,"crappy",0.0161290286893714
8,"soon",0.0161290286893714
8,"wow",0.0161290286893714
8,"may",0.0161290286893714
8,"went",0.0161290286893714
8,"downloaded",0.0161290286893714
8,"coming",0.0161290286893714
9,"know",0.0500000000000032
9,"kenlieter",0.0333333333333355
9,"book",0.0250000000000016
9,"new",0.0250000000000016
9,"twitpic.com",0.0250000000000016
9,"andycorrea",0.0250000000000016
9,"topchef",0.0166666666666677
9,"time",0.0166666666666677
9,"first",0.0166666666666677
9,"yeah",0.0166666666666677
