"topic","term","beta"
1,"gop",0.0339545952333525
1,"tporg",0.0339545952333525
1,"tlot",0.0339545952333525
1,"go",0.0282489194212669
1,"rt",0.0221400666973258
1,"paul",0.0207500304203819
1,"day",0.0205124207143736
1,"ron",0.0188636640185257
1,"now",0.0103747325760734
1,"home",0.00963585346692962
2,"rt",0.0140367541676687
2,"tonight",0.0124770185181906
2,"asheville",0.0122075783170702
2,"better",0.0108041344917077
2,"love",0.0107368882933126
2,"thank",0.00914983750386384
2,"everyone",0.00914983750386383
2,"awesome",0.00748623068488442
2,"guess",0.00742945884773646
2,"hope",0.00742240209814255
3,"just",0.0274199272436126
3,"sheilakay",0.0104018913605429
3,"day",0.0097973252026729
3,"ready",0.00945439488076397
3,"time",0.00884358384656433
3,"getting",0.00873525963229597
3,"way",0.00848841242690343
3,"one",0.00780457198971336
3,"conference",0.00720131010839174
3,"ladies",0.00720131010839174
4,"good",0.0202631575739651
4,"work",0.015242645805269
4,"back",0.0147876315053866
4,"supermom",0.0116594162060958
4,"says",0.00904932247967573
4,"rt",0.00858996485122178
4,"s",0.00837917149718033
4,"just",0.00800569599792351
4,"asheville",0.00785575389254943
4,"w",0.00745627192774919
5,"new",0.0276064331006841
5,"live",0.0205790025613532
5,"now",0.0185311303794529
5,"rt",0.0128612979008204
5,"video",0.0111566535573902
5,"ever",0.00975506403909825
5,"going",0.00796315231291474
5,"check",0.00755132100003039
5,"us",0.00751281679586326
5,"india",0.0075127154916033
6,"time",0.014331299077888
6,"good",0.00763914930150388
6,"reading",0.0074244670196806
6,"w4m",0.0074244670196806
6,"pick",0.0074244670196806
6,"morning",0.0074244656944028
6,"going",0.00738209012059481
6,"asheville",0.00707761211245734
6,"rt",0.00665552229489132
6,"downtown",0.00649640864222053
7,"u",0.0545017738946102
7,"get",0.0513049511417924
7,"djaaries",0.0396376537415347
7,"game",0.0287040815106718
7,"people",0.0277463546654397
7,"follow",0.0257669389868685
7,"lot",0.0247735335581528
7,"knows",0.024773533539416
7,"want",0.0236164996412816
7,"artist",0.0198188268707673
7,"da",0.0198188268707673
7,"famous",0.0198188268707673
7,"www.twitter.com",0.0198188268707673
8,"hot",0.0173582729868135
8,"great",0.0122487213663967
8,"m4w",0.0104149638013884
8,"real_djames",0.0104134116728483
8,"like",0.00978799792999335
8,"media",0.00781122283625759
8,"sociallifeavl",0.0069433092003905
8,"feel",0.00694330776894204
8,"rt",0.00644204248379935
8,"etip",0.00607539555080992
8,"wec",0.00607539555080992
9,"m4w",0.0403997472502293
9,"see",0.021069761994844
9,"till",0.0151786884267366
9,"say",0.0118813946336542
9,"can",0.0102439784702755
9,"near",0.00918176075741298
9,"long",0.00908144180247767
9,"good",0.00750688066321711
9,"today",0.0073763644948885
9,"w4m",0.00734540860593039
9,"wine",0.00734540860593039
