"topic","term","beta"
1,"samyoonformayor",0.026239711550726
1,"bostonelection",0.026239711550726
1,"vote",0.0254105484998398
1,"boston",0.0157438269168933
1,"just",0.0157437327524265
1,"want",0.0152229914482799
1,"go",0.013119855775363
1,"know",0.0114985307476551
1,"rt",0.0104958846202904
1,"square",0.0104958846202904
1,"back",0.0104958846202904
1,"polls",0.0104958846202904
2,"rock",0.0453385495847437
2,"sat",0.0373369838231654
2,"week",0.0320036820598191
2,"thurs",0.0293367085548342
2,"tues",0.0293367085548342
2,"fri",0.0293367085548175
2,"weds",0.0266697350498492
2,"blues",0.0186688145348945
2,"folk",0.0186688145348945
2,"new",0.0175313617937939
3,"free",0.0250860048623096
3,"show",0.019592979062842
3,"get",0.0193330580844836
3,"can",0.0183892330236607
3,"use",0.0167939820143085
3,"cake",0.0139949850448871
3,"peach",0.0139949850448871
3,"arrive",0.0139949850448871
3,"admission",0.0111959880359097
3,"text",0.0111959880359097
3,"10pm",0.0111959880359097
3,"must",0.0111959880359097
3,"username",0.0111959880359097
4,"just",0.0136748215876008
4,"like",0.0114460451889429
4,"h",0.0109398572700807
4,"ever",0.0109398572700807
4,"happy",0.0109398572700807
4,"took",0.0109398572700807
4,"tweet",0.0109398572700807
4,"awesome",0.0109398570074042
4,"thought",0.0109397486243011
4,"minutes",0.0082048929525605
4,"work",0.0082048929525605
4,"job",0.0082048929525605
4,"since",0.0082048929525605
4,"going",0.0082048929525605
5,"rt",0.0303306889715617
5,"day",0.0143862384982874
5,"know",0.012256658081507
5,"read",0.0116656496052738
5,"change",0.0116656496052737
5,"let",0.0116656494958229
5,"news",0.0116656282166379
5,"somerville",0.0116656233333819
5,"try",0.00933251968421901
5,"go",0.00933251968421901
5,"call",0.00933251968421901
5,"need",0.00933251968421901
5,"samyoonformayor",0.00933251968421901
5,"doughnuts",0.00933251968421901
6,"rt",0.0157743509218485
6,"tubgoddess",0.0157743509218485
6,"love",0.0157743509218463
6,"msfraust",0.0157741599818044
6,"wish",0.0131452924348738
6,"stop",0.0131452924348738
6,"iphone",0.010516233947899
6,"ass",0.00788717546092426
6,"person",0.00788717546092426
6,"re",0.00788717546092426
6,"tweeting",0.00788717546092426
6,"old",0.00788717546092426
6,"cicii3",0.00788717546092426
6,"eshea",0.00788717546092426
6,"goodcookdoris",0.00788717546092426
7,"feels",0.0133571304948164
7,"three",0.0133571304948163
7,"just",0.0123031718805761
7,"like",0.0106857043958531
7,"people",0.0106857043958531
7,"new",0.00846050576627355
7,"things",0.00801427829688983
7,"good",0.00801427829688983
7,"piacocco",0.00801427829688983
7,"hear",0.00801427829688983
7,"today",0.00801427829688983
8,"line",0.0340240640918381
8,"green",0.0311063666374592
8,"think",0.0141787051773298
8,"also",0.0141787051756055
8,"oh",0.0133690325230132
8,"come",0.0113429641418638
8,"yes",0.0113429641418638
8,"funding",0.00850722310639788
8,"transportation",0.00850722310639788
8,"life",0.00850722310639788
9,"new",0.0713299926721064
9,"post",0.0323445152989648
9,"uw",0.0294041048172407
9,"just",0.0224691067972338
9,"getting",0.0128215724332608
9,"first",0.0117616419268963
9,"time",0.0117616419268963
9,"like",0.0117616419268963
9,"ow",0.00882123144517221
9,"one",0.00882123144517221
