"topic","term","beta"
1,"lol",0.0206226016876631
1,"made",0.0205088367530202
1,"today",0.0160891623201801
1,"think",0.0142946662416654
1,"always",0.0141985178655599
1,"ready",0.0138501260097105
1,"home",0.0126202687625664
1,"people",0.0110432919323417
1,"bored",0.0107826794622374
1,"see",0.00999885208460615
2,"one",0.0201894784986781
2,"love",0.0181497378655116
2,"seen",0.0147156593083594
2,"ericthesheriff",0.0119536182922797
2,"now",0.010037458529053
2,"fun",0.00886984411329931
2,"work",0.00825605272210687
2,"girl",0.00816808773319578
2,"much",0.00739872601618848
2,"watching",0.00739153676108276
3,"just",0.0251818668767928
3,"going",0.0248863579808306
3,"go",0.0241240581578709
3,"got",0.0152598490199576
3,"teacherhalleigh",0.0138968290183835
3,"big",0.00930728296148065
3,"want",0.00848860383729967
3,"concert",0.00775606913456709
3,"great",0.00769726069945446
3,"tweet",0.00769068583867859
4,"like",0.0242813100703944
4,"twitpic.com",0.0155652652381305
4,"fairy_claudine",0.0124522122406275
4,"twitter",0.0124522116607847
4,"though",0.010895685710549
4,"lover",0.00933915918047061
4,"really",0.00915540461161046
4,"vampiremagister",0.00830190858361345
4,"now",0.008194187978001
4,"temptress",0.00778263265039218
5,"time",0.0196717494894705
5,"can",0.0188954718962387
5,"much",0.0171827676753923
5,"get",0.0128024094193593
5,"indigo_vamp",0.0121727762226716
5,"long",0.0121541731884533
5,"sure",0.0119629565374439
5,"party",0.0108202455312636
5,"avengingangel1",0.0108202455312636
5,"u",0.0108202455312635
6,"lnk.ms",0.016078042422183
6,"text",0.0160765428930887
6,"rt",0.0139619086924519
6,"big",0.0112546714687673
6,"new",0.0111140896615107
6,"1hotmammaof3",0.00964686128007014
6,"enough",0.0094929553417993
6,"ericslighttight",0.0080390510599135
6,"em",0.00803904185372351
6,"get",0.00652740795901777
7,"just",0.0190443492481315
7,"like",0.0189179140823133
7,"get",0.0157935571003376
7,"year",0.0110354498816272
7,"around",0.011035448550137
7,"old",0.010661642315178
7,"love",0.0101093173644643
7,"day",0.00945895669839072
7,"watch",0.00940103314226738
7,"hope",0.00910875025273995
8,"fangs",0.0185375265989182
8,"sookeh",0.0171652141497967
8,"yes",0.0170160581197187
8,"night",0.0169687319161381
8,"last",0.0148533373020641
8,"blood",0.0136574129246581
8,"feel",0.0124307481033243
8,"day",0.011161378644725
8,"good",0.0100025866294486
8,"way",0.00970587593762209
9,"good",0.0430926178273952
9,"well",0.0223437907537433
9,"winks",0.0164059489686294
9,"thank",0.0156943695768493
9,"laughs",0.0128517765990714
9,"evening",0.0126892514033697
9,"know",0.0126223650639598
9,"back",0.0125043192185028
9,"rt",0.0122099154374248
9,"happy",0.0119316434416027
