"topic","term","beta"
1,"army",0.106885119311915
1,"ball",0.0667402503270569
1,"state",0.0583977190361748
1,"football",0.0375413908024997
1,"woot",0.0333701251635285
1,"knights",0.0284116813845007
1,"black",0.0284113602503006
1,"inside",0.0250275938726463
1,"back",0.0234368746545721
1,"blog",0.0208563282272053
2,"fun",0.0424585849110642
2,"good",0.0424585849090397
2,"tonite",0.0363930727809122
2,"bro",0.024262048520608
2,"finally",0.0242488218323806
2,"big",0.0181965363904561
2,"tour",0.0181965363904561
2,"loud",0.0181965363904561
2,"luck",0.0181965363904561
2,"6stringhero",0.0181965363727232
3,"army",0.0345151773937783
3,"first",0.0345151773937783
3,"lead",0.0230101182625189
3,"min",0.0172575886968892
3,"run",0.0172575886968892
3,"bks",0.0172575886968892
3,"timeout",0.0172575886968892
3,"heymoonsays",0.0172575886968892
3,"just",0.0153740295068619
3,"wp",0.0115050591312594
3,"rec",0.0115050591312594
3,"game",0.0115050591312594
3,"things",0.0115050591312594
3,"thursssdaay",0.0115050591312594
3,"divorce",0.0115050591312594
3,"accent",0.0115050591312594
3,"now",0.0115050591312594
3,"finished",0.0115050591312594
3,"team",0.0115050591312594
3,"haha",0.0115050591312594
3,"calls",0.0115050591312594
3,"made",0.0115050591312594
3,"st",0.0115050591312594
3,"second",0.0115050591312594
3,"morgan",0.0115050591312594
3,"hitting",0.0115050591312594
3,"leading",0.0115050591312594
3,"collegiate",0.0115050591312594
3,"freshman",0.0115050591312594
3,"makes",0.0115050591312594
3,"binghamton",0.0115050591312594
4,"mypict.me",0.0260924944114519
4,"city",0.0260924944114519
4,"ocean",0.0260924944114519
4,"pa",0.019569370808589
4,"season",0.019569370808589
4,"just",0.019569370808589
4,"swim",0.019569370808589
4,"come",0.0195693708024842
4,"go",0.0159010717750549
4,"strong",0.015900856958875
5,"jsdc",0.0200328923993091
5,"nyobzoo04",0.0200328923993091
5,"good",0.0187579307203055
5,"time",0.0165972154833526
5,"today",0.0150246692994818
5,"baby",0.0150246692994818
5,"days",0.0150246692994818
5,"augusta",0.0150246692994818
5,"hartford",0.0150246692994818
5,"soccer",0.0150246692994818
5,"women's",0.0150246692994818
5,"extralife",0.0150246692994818
6,"army",0.0802771176478055
6,"official",0.0461352375813248
6,"site",0.0461352369871073
6,"black",0.0356901770918381
6,"knights",0.035689733110775
6,"west",0.0346014343649462
6,"point",0.03460143408049
6,"iphone",0.0173007173104072
6,"tri",0.0141465757811818
6,"h",0.0115338115402715
6,"go",0.0115338115402715
6,"mms",0.0115338115402715
6,"died",0.0115338115402715
6,"john",0.0115338115402715
6,"june",0.0115338115402715
6,"mitchell",0.0115338115402715
7,"kills",0.0371528999376599
7,"army",0.0275893959078683
7,"like",0.0263099990590085
7,"digs",0.0247685999584399
7,"way",0.0185764499688299
7,"takes",0.0185764499688299
7,"bannon",0.0185764499688299
7,"strong",0.0158666788791721
7,"go",0.0158664749624465
7,"dropping",0.01238429997922
7,"flies",0.01238429997922
7,"palidova",0.01238429997922
7,"thompson",0.01238429997922
7,"final",0.01238429997922
7,"h",0.01238429997922
7,"ht",0.01238429997922
7,"1st",0.01238429997922
7,"dun",0.01238429997922
7,"rachel",0.01238429997922
7,"rowell",0.01238429997922
7,"mo",0.01238429997922
7,"mcentee",0.01238429997922
7,"minute",0.01238429997922
8,"day",0.0330391007758212
8,"love",0.0308658467873551
8,"watching",0.026431280620657
8,"great",0.0198234604654927
8,"training",0.0198234604654927
8,"people",0.0198234604654927
8,"trying",0.0198234604654927
8,"eat",0.0198234604654927
8,"weekend",0.0198234604654927
8,"william",0.0198234604654927
9,"home",0.0341634492008428
9,"boop",0.0273307593606743
9,"girls",0.0273307593606743
9,"catielangill",0.0273307593606481
9,"know",0.0273293262446643
9,"get",0.026770855086129
9,"might",0.0204980695205057
9,"thanks",0.0204980695205057
9,"way",0.0204980695205057
9,"best",0.0204980695205057
9,"well",0.0204980695205057
