"topic","term","beta"
1,"wife",0.0517241379310882
1,"happy",0.0344827586207255
1,"eat",0.0344827586207255
1,"fuji",0.0344827586207255
1,"hannah",0.0344827586207255
1,"kat",0.0344827586207255
1,"liz",0.0344827586207255
1,"relax",0.0344827586207255
1,"takin",0.0344827586207255
1,"weekend",0.0344827586207255
1,"b",0.0344827586207255
2,"like",0.0957447323895705
2,"f",0.0851064287907293
2,"feels",0.0744681251918882
2,"charles",0.0744678961640451
2,"lake",0.0744678159286616
2,"day",0.063829821593047
2,"forecast",0.063829821593047
2,"lakecharles.com",0.063829821593047
2,"weather",0.063829821593047
2,"fair",0.0319149107965235
3,"say",0.088235294117647
3,"just",0.0588235294117647
3,"lemons",0.0294117647058823
3,"f",0.0294117647058823
3,"flu",0.0294117647058823
3,"shot",0.0294117647058823
3,"new",0.0147058823529412
3,"good",0.0147058823529412
3,"night",0.0147058823529412
3,"bail",0.0147058823529412
3,"gives",0.0147058823529412
3,"life",0.0147058823529412
3,"im",0.0147058823529412
3,"lbetj",0.0147058823529412
3,"meet",0.0147058823529412
3,"ms",0.0147058823529412
3,"neely",0.0147058823529412
3,"peek",0.0147058823529412
3,"sneek",0.0147058823529412
3,"working",0.0147058823529412
3,"bunny",0.0147058823529412
3,"durgs",0.0147058823529412
3,"goddess",0.0147058823529412
3,"ing",0.0147058823529412
3,"nooooooo",0.0147058823529412
3,"people",0.0147058823529412
3,"please",0.0147058823529412
3,"telling",0.0147058823529412
3,"turst",0.0147058823529412
3,"thought",0.0147058823529412
3,"better",0.0147058823529412
3,"get",0.0147058823529412
3,"20x30",0.0147058823529412
3,"always",0.0147058823529412
3,"bigger",0.0147058823529412
3,"canvas",0.0147058823529412
3,"canvases",0.0147058823529412
3,"large",0.0147058823529412
3,"office",0.0147058823529412
3,"ordered",0.0147058823529412
3,"see",0.0147058823529412
3,"wait",0.0147058823529412
3,"chance",0.0147058823529412
3,"chances",0.0147058823529412
3,"isnt",0.0147058823529412
3,"taking",0.0147058823529412
3,"year",0.0147058823529412
3,"idea",0.0147058823529412
3,"loving",0.0147058823529412
3,"picturing",0.0147058823529412
3,"pjs",0.0147058823529412
3,"glee",0.0147058823529412
3,"last",0.0147058823529412
3,"pretty",0.0147058823529412
3,"show",0.0147058823529412
3,"watched",0.0147058823529412
4,"guide",0.0999999494006923
4,"event",0.0599999696404154
4,"lakecharles",0.0599999696404154
4,"bessette",0.0399999797602769
4,"c",0.0399999797602769
4,"estate",0.0399999797602769
4,"real",0.0399999797602769
4,"realty",0.0399999797602769
4,"westlake",0.0299999848202077
4,"w",0.0199999898801385
4,"dr",0.0199999898801385
4,"live",0.0199999898801385
4,"music",0.0199999898801385
4,"september",0.0199999898801385
4,"44r1tc",0.0199999898801385
4,"chef",0.0199999898801385
4,"cookin",0.0199999898801385
4,"cure",0.0199999898801385
4,"folse",0.0199999898801385
4,"john",0.0199999898801385
5,"baby",0.05
5,"petition",0.0333333333333333
5,"awesome",0.0333333333333333
5,"yo",0.0333333333333333
5,"test",0.0166666666666667
5,"bout",0.0166666666666667
5,"chicken",0.0166666666666667
5,"eat",0.0166666666666667
5,"grilled",0.0166666666666667
5,"wifey",0.0166666666666667
5,"right",0.0166666666666667
5,"think",0.0166666666666667
5,"hit",0.0166666666666667
5,"night",0.0166666666666667
5,"help",0.0166666666666667
5,"can",0.0166666666666667
5,"different",0.0166666666666667
5,"going",0.0166666666666667
5,"internet",0.0166666666666667
5,"looking",0.0166666666666667
5,"nothing",0.0166666666666667
5,"one",0.0166666666666667
5,"place's",0.0166666666666667
5,"wicked",0.0166666666666667
5,"work",0.0166666666666667
5,"changes",0.0166666666666667
5,"days",0.0166666666666667
5,"fun",0.0166666666666667
5,"next",0.0166666666666667
5,"stay",0.0166666666666667
5,"store",0.0166666666666667
5,"tuned",0.0166666666666667
5,"daily",0.0166666666666667
5,"dimensions",0.0166666666666667
5,"dynamic",0.0166666666666667
5,"dyndim",0.0166666666666667
5,"fitness",0.0166666666666667
5,"follow",0.0166666666666667
5,"nutrition",0.0166666666666667
5,"tips",0.0166666666666667
5,"better",0.0166666666666667
5,"haha",0.0166666666666667
5,"joleber",0.0166666666666667
5,"probably",0.0166666666666667
5,"procrastination",0.0166666666666667
5,"route",0.0166666666666667
5,"sleep",0.0166666666666667
5,"gamertag",0.0166666666666667
5,"jedi",0.0166666666666667
5,"play",0.0166666666666667
5,"sometime",0.0166666666666667
5,"want",0.0166666666666667
5,"xbox360",0.0166666666666667
5,"joelmchale",0.0166666666666667
5,"yumm",0.0166666666666667
6,"day",0.0895522420113037
6,"job",0.0298507473371015
6,"playing",0.0298507473371015
6,"need",0.0298507473371015
6,"fathers",0.0149253736685508
6,"happy",0.0149253736685508
6,"mothers",0.0149253736685508
6,"yo",0.0149253736685508
6,"weekend",0.0149253736685508
6,"guitar",0.0149253736685508
6,"home",0.0149253736685508
6,"setting",0.0149253736685508
6,"finally",0.0149253736685508
6,"pic",0.0149253736685508
6,"uploaded",0.0149253736685508
6,"beans",0.0149253736685508
6,"downtown",0.0149253736685508
6,"sitting",0.0149253736685508
6,"stellar",0.0149253736685508
6,"anyone",0.0149253736685508
6,"back",0.0149253736685508
6,"body",0.0149253736685508
6,"hiring",0.0149253736685508
6,"hit",0.0149253736685508
6,"know",0.0149253736685508
6,"call",0.0149253736685508
6,"damn",0.0149253736685508
6,"duty",0.0149253736685508
6,"girlfriend",0.0149253736685508
6,"head",0.0149253736685508
6,"help",0.0149253736685508
6,"hours",0.0149253736685508
6,"hurts",0.0149253736685508
6,"six",0.0149253736685508
6,"straight",0.0149253736685508
6,"address",0.0149253736685508
6,"burnrourk",0.0149253736685508
6,"ever",0.0149253736685508
6,"find",0.0149253736685508
6,"shop",0.0149253736685508
6,"sign",0.0149253736685508
6,"talking",0.0149253736685508
6,"bday",0.0149253736685508
6,"card",0.0149253736685508
6,"things",0.0149253736685508
6,"thinking",0.0149253736685508
6,"write",0.0149253736685508
6,"charger",0.0149253736685508
6,"phone",0.0149253736685508
6,"tard",0.0149253736685508
6,"ew",0.0149253736685508
6,"mackenzie",0.0149253736685508
6,"phillips",0.0149253736685508
6,"story",0.0149253736685508
6,"friday",0.0149253736685508
6,"hump",0.0149253736685508
6,"m",0.0149253736685508
6,"mio",0.0149253736685508
7,"new",0.0597014925373135
7,"blogs",0.0298507462686567
7,"orleans",0.0149253731343284
7,"crazy",0.0149253731343284
7,"drunks",0.0149253731343284
7,"gras",0.0149253731343284
7,"mardi",0.0149253731343284
7,"museum",0.0149253731343284
7,"parade",0.0149253731343284
7,"without",0.0149253731343284
7,"well",0.0149253731343284
7,"ad",0.0149253731343284
