"topic","term","beta"
1,"que",0.0825925869011983
1,"y",0.0454957573856504
1,"de",0.0367078707726139
1,"el",0.0367078707726139
1,"al",0.0275309030794604
1,"los",0.0183539353863069
1,"se",0.0183539353863069
1,"gallardón",0.0183539353863069
1,"está",0.0183539353863069
1,"ya",0.0183539353863069
1,"lo",0.0183539353863069
1,"vaya",0.0183539353863069
2,"para",0.0568271085631476
2,"de",0.048231654692976
2,"que",0.0413414183082651
2,"y",0.0399047330167125
2,"en",0.0344511819235543
2,"el",0.0213179011771508
2,"la",0.0206707091541326
2,"un",0.0206707091541326
2,"hora",0.0137804727694217
2,"al",0.0137804727694217
2,"usar",0.0137804727694217
2,"vuelos",0.0137804727694217
2,"es",0.0137804727694217
2,"va",0.0137804727694217
2,"polonia",0.0137804727694217
2,"eurobasket",0.0137804727694217
2,"mi",0.0137804727694217
2,"ver",0.0137804727694217
3,"el",0.0860272913226435
3,"en",0.0540333264058556
3,"que",0.0468417207996254
3,"y",0.0422625628802195
3,"las",0.0408782392591922
3,"de",0.0271340659881912
3,"un",0.0256606599317936
3,"la",0.0229732439701374
3,"se",0.02007499663094
3,"con",0.0134486690214228
4,"de",0.0762309639467927
4,"por",0.0571806062121953
4,"en",0.0465019400223731
4,"la",0.0396844118522268
4,"que",0.0382841688327521
4,"un",0.0285903031060977
4,"los",0.0214427273295733
4,"españa",0.0214427273295733
4,"acto",0.0142951515530488
4,"es",0.0142951515530488
4,"qué",0.0142951515530488
4,"bueno",0.0142951515530488
4,"espera",0.0142951515530488
4,"miguel",0.0142951515530488
4,"sebastián",0.0142951515530488
5,"tumblr.com",0.11026376636843
5,"photo",0.104460725249905
5,"via",0.0327247590066107
5,"y",0.0246077711732296
5,"el",0.0228296485041955
5,"como",0.0185860844439653
5,"de",0.0179928215085651
5,"en",0.0174101208749842
5,"los",0.0120385501500159
5,"la",0.0116067472499895
5,"al",0.0116067472499895
5,"soulrhadamanthys",0.0116067472499895
5,"cita",0.0116067472499895
6,"de",0.066477760912093
6,"vuelos",0.042251912573936
6,"salamanca",0.042251912573936
6,"tinyurl.com",0.042251912573936
6,"slm",0.0362159250633737
6,"euros",0.0297980115418755
6,"espana",0.0241439500422492
6,"con",0.0239200654001068
6,"las",0.0228947299269024
6,"precios",0.0181079625316869
6,"montevideo",0.0181079625316869
6,"mvd",0.0181079625316869
6,"estambul",0.0181079625316869
6,"ist",0.0181079625316869
7,"nrnaeth",0.0488779936709846
7,"photos",0.0488779936709846
7,"photostream",0.0488779936709846
7,"www.flickr.com",0.0488779936709846
7,"que",0.0254427744855576
7,"la",0.0227802788707632
7,"el",0.0226099192055377
7,"al",0.0209477115732791
7,"video",0.0209477115732791
7,"favorited",0.0209477115732791
7,"youtube",0.0209477115732791
8,"de",0.0509341978139922
8,"en",0.04294247221283
8,"vuelos",0.034353977770264
8,"las",0.034353977770264
8,"el",0.0332665288566093
8,"la",0.025765483327698
8,"los",0.025765483327698
8,"ahora",0.025765483327698
8,"más",0.025765483327698
8,"tinyurl.com",0.025765483327698
9,"de",0.061037747845052
9,"y",0.0600185204486509
9,"van",0.0488301982760416
9,"una",0.0488301982760416
9,"el",0.0244150991380208
9,"se",0.0244150991380208
9,"vuelos",0.0244150991380208
9,"del",0.0244150991380208
9,"emiliocaballero",0.0244150991380208
9,"vamos",0.0244150991380208
9,"entre",0.0244150991380208
9,"septiembre",0.0244150991380208
9,"anunció",0.0244150991380208
9,"aviación",0.0244150991380208
9,"desde",0.0244150991380208
9,"estos",0.0244150991380208
9,"guatemala",0.0244150991380208
9,"mexicana",0.0244150991380208
9,"méxico",0.0244150991380208
9,"nueva",0.0244150991380208
9,"ocupación",0.0244150991380208
9,"ruta",0.0244150991380208
9,"tienen",0.0244150991380208
