"topic","term","beta"
1,"today",0.0249055261391869
1,"get",0.0227614313375781
1,"day",0.0217828918790843
1,"work",0.0150477900032496
1,"see",0.0140472070824915
1,"night",0.0124939812379013
1,"weekend",0.0124939812379013
1,"back",0.012492257125057
1,"go",0.0111984563173633
1,"last",0.0107090938111561
2,"state",0.093950430532501
2,"pa",0.0713888815415356
2,"college",0.0677279132573558
2,"f",0.0622364608310838
2,"iu.htm",0.0622364608310838
2,"s1z.us",0.0622364608310838
2,"winds",0.0622364608310838
2,"humidity",0.0585754925469024
2,"kt",0.0512535559785396
2,"mph",0.0512535559785396
3,"news",0.0271647020271184
3,"local",0.0176031267570999
3,"psu",0.0176031266809294
3,"getting",0.017602894284035
3,"drizzle",0.0132023450843369
3,"fd.htm",0.0132023450843369
3,"rain",0.0132023450843369
3,"s3z.us",0.0132023450843369
3,"ready",0.0132023450842803
3,"sun",0.0110019542369475
4,"life",0.0155459528176873
4,"need",0.0136027087154764
4,"feel",0.0136027087154584
4,"win",0.0136027083813109
4,"football",0.0116594646132655
4,"want",0.0114816273254788
4,"way",0.0111126627887159
4,"go",0.00918346741184385
4,"news",0.00904502599243827
4,"love",0.00848677559423159
5,"iphone",0.0267944522833385
5,"just",0.0257248023501172
5,"ipodtouch",0.0248805628345287
5,"free",0.0247347529229799
5,"time",0.0239638272974307
5,"try",0.0153111155904792
5,"love",0.0153090997716338
5,"new",0.0127376159986188
5,"good",0.01128840004823
5,"well",0.00956944724404948
5,"limited",0.00956944724404948
6,"lol",0.0149000142287713
6,"like",0.01443815427884
6,"see",0.0111840970747389
6,"robin2go",0.00932008089561574
6,"show",0.00932008089561574
6,"night",0.00932008089559591
6,"can",0.00745606471649259
6,"still",0.00745606471649259
6,"um",0.00745606471649259
6,"giving",0.00745606471649259
6,"twitter",0.00745606471649259
6,"needs",0.00745606471649259
6,"flickr",0.00745606471649259
6,"thing",0.00745606471649259
6,"tomorrow",0.00745606471649259
6,"egwee",0.00745606471649259
6,"better",0.00745606471649259
7,"day",0.0435998253976069
7,"long",0.0191485681118365
7,"two",0.0171402071930733
7,"happy",0.0149787673134022
7,"know",0.0134144808517472
7,"just",0.0133626788941256
7,"new",0.0121585861201117
7,"things",0.0114981264443547
7,"let",0.00958177203696229
7,"call",0.00958177203696229
8,"penn",0.0145759152514397
8,"twitpic.com",0.0145759152501816
8,"state",0.0138429450462859
8,"going",0.0136215029918213
8,"just",0.0118033294660783
8,"now",0.0114269010408477
8,"u",0.0104113680367428
8,"put",0.0104113659619369
8,"right",0.0102372903943962
8,"b",0.00985030940653831
9,"like",0.0191460469661124
9,"one",0.0172924061812792
9,"get",0.0144356724657606
9,"oh",0.0122369592070762
9,"just",0.0118523154536333
9,"new",0.0101974660058969
9,"first",0.0101974660058969
9,"realize",0.0101974660058969
9,"people",0.0101973681613476
9,"time",0.0100704299330124
