"topic","term","beta"
1,"saw",0.0169522840148676
1,"life",0.0169522840148676
1,"possible",0.0169522840148676
1,"can",0.0169522840148676
1,"brilliant",0.0169522840148673
1,"just",0.0127142130111507
1,"hear",0.0127142130111507
1,"remedy",0.0127142130111507
1,"great",0.0127142130109423
1,"book",0.00847614200743382
1,"cotton",0.00847614200743382
1,"wool",0.00847614200743382
1,"man",0.00847614200743382
1,"get",0.00847614200743382
1,"2aemec",0.00847614200743382
1,"bernanke",0.00847614200743382
1,"likely",0.00847614200743382
1,"recession",0.00847614200743382
1,"says",0.00847614200743382
1,"page",0.00847614200743382
1,"country",0.00847614200743382
1,"fists",0.00847614200743382
1,"j_tucker_16",0.00847614200743382
1,"oa0li",0.00847614200743382
1,"save",0.00847614200743382
1,"smashing",0.00847614200743382
1,"sons",0.00847614200743382
1,"travels",0.00847614200743382
1,"trying",0.00847614200743382
1,"wood",0.00847614200743382
1,"dennis_ketterer",0.00847614200743382
1,"dry",0.00847614200743382
1,"find",0.00847614200743382
1,"qgpde",0.00847614200743382
1,"rainy",0.00847614200743382
1,"times",0.00847614200743382
1,"tune",0.00847614200743382
1,"weekend",0.00847614200743382
1,"cuts",0.00847614200743382
1,"face",0.00847614200743382
1,"furloughs",0.00847614200743382
1,"pay",0.00847614200743382
1,"vq7fp",0.00847614200743382
1,"wicomico",0.00847614200743382
1,"workers",0.00847614200743382
1,"bloody",0.00847614200743382
1,"hole",0.00847614200743382
1,"program",0.00847614200743382
1,"wall",0.00847614200743382
1,"gods",0.00847614200743382
1,"parents",0.00847614200743382
1,"private",0.00847614200743382
1,"sake",0.00847614200743382
1,"ready",0.00847614200743382
1,"wait",0.00847614200743382
1,"sunday",0.00847614200743382
1,"rt",0.00847614200743382
1,"ryanweaver",0.00847614200743382
1,"church",0.00847614200743382
1,"service",0.00847614200743382
1,"heart",0.00847614200743382
2,"new",0.0499002889485744
2,"ha",0.0332761984335362
2,"realjimbob",0.0332761984335362
2,"go",0.0166380992167681
2,"see",0.0159029143795093
2,"man",0.0124785744125761
2,"still",0.0124785744125761
2,"like",0.0124785744125761
2,"rt",0.0124785744125761
2,"flu",0.0100259335691998
3,"good",0.0332768376018083
3,"going",0.0207980227057457
3,"twitter",0.0205268305801843
3,"fitz84",0.0178692845703576
3,"story",0.0166384188009041
3,"rt",0.0166384188009041
3,"hear",0.0124788141006781
3,"think",0.0124788141006781
3,"now",0.00831920940045207
3,"using",0.00831920940045207
3,"14hoar",0.00831920940045207
3,"cigarette",0.00831920940045207
3,"get",0.00831920940045207
3,"probation",0.00831920940045207
3,"trafficking",0.00831920940045207
3,"va",0.00831920940045207
3,"j_tucker_16",0.00831920940045207
3,"everyone",0.00831920940045207
3,"great",0.00831920940045207
3,"30c1r5",0.00831920940045207
3,"farmers",0.00831920940045207
3,"local",0.00831920940045207
3,"networking",0.00831920940045207
3,"produce",0.00831920940045207
3,"sell",0.00831920940045207
3,"sites",0.00831920940045207
3,"social",0.00831920940045207
3,"whole",0.00831920940045207
3,"back",0.00831920940045207
3,"bloody",0.00831920940045207
3,"daughters",0.00831920940045207
3,"drunk",0.00831920940045207
3,"endless",0.00831920940045207
3,"eng",0.00831920940045207
3,"films",0.00831920940045207
3,"horror",0.00831920940045207
3,"latest",0.00831920940045207
3,"teacher",0.00831920940045207
3,"tho",0.00831920940045207
3,"watches",0.00831920940045207
3,"pics",0.00831920940045207
3,"exciting",0.00831920940045207
3,"emmcurrie",0.00831920940045207
3,"mend",0.00831920940045207
3,"hello",0.00831920940045207
3,"mood",0.00831920940045207
3,"finally",0.00831920940045207
3,"took",0.00831920940045207
3,"thats",0.00831920940045207
3,"storm",0.00831920940045207
3,"ryanweaver",0.00831920940045207
3,"blackberry",0.00831920940045207
3,"bestyboop",0.00831920940045207
3,"drummer",0.00831920940045207
3,"jenledger",0.00831920940045207
3,"wapnn",0.00831920940045207
4,"mega",0.0421940848511007
4,"one",0.0210970424257726
4,"mate",0.0168776339406181
4,"attacked",0.0168776339406181
4,"rawritspippin",0.0168776339406181
4,"woman",0.0126582254554636
4,"s",0.0126582254554636
4,"happy",0.0126582254554636
4,"take",0.0126582254554635
4,"really",0.0126582254554625
5,"events",0.0383643143918775
5,"football",0.01705080639639
5,"bus",0.0127881047972925
5,"girl",0.0127881047972925
5,"car",0.0127881047972925
5,"awesome",0.008525403198195
5,"fennablue",0.008525403198195
5,"mac's",0.008525403198195
5,"really",0.008525403198195
5,"people",0.008525403198195
5,"h1n1",0.008525403198195
5,"3sajck",0.008525403198195
5,"approves",0.008525403198195
5,"fda",0.008525403198195
5,"vaccine",0.008525403198195
5,"345sbm",0.008525403198195
5,"daughter",0.008525403198195
5,"fop",0.008525403198195
5,"money",0.008525403198195
5,"officer",0.008525403198195
5,"raise",0.008525403198195
5,"slain",0.008525403198195
5,"david_lynch",0.008525403198195
5,"dress",0.008525403198195
5,"photograph",0.008525403198195
5,"red",0.008525403198195
5,"velvet",0.008525403198195
5,"weirdly",0.008525403198195
5,"meet",0.008525403198195
5,"fitz84",0.008525403198195
5,"xonainaixo",0.008525403198195
5,"rt",0.008525403198195
5,"notebook",0.008525403198195
5,"prep",0.008525403198195
5,"groundbreaking",0.008525403198195
5,"delaware",0.008525403198195
6,"much",0.0233948769058461
6,"getting",0.0162968483818409
6,"perfect",0.0162968483818409
6,"find",0.0122226362863807
6,"different",0.0122226362863807
6,"win",0.0122226362863807
6,"lost",0.0122226362863807
6,"petition",0.00814842419092044
6,"book",0.00814842419092044
6,"pie",0.00814842419092044
6,"realjimbob",0.00814842419092044
6,"crossed",0.00814842419092044
6,"fingers",0.00814842419092044
6,"keep",0.00814842419092044
6,"sounds",0.00814842419092044
6,"area",0.00814842419092044
6,"wee",0.00814842419092044
6,"new",0.00814842419092044
6,"sports",0.00814842419092044
6,"comp",0.00814842419092044
6,"work",0.00814842419092044
6,"deiknuo",0.00814842419092044
6,"oi",0.00814842419092044
6,"pics",0.00814842419092044
6,"colours",0.00814842419092044
