"topic","term","beta"
1,"rt",0.0215279289695618
1,"tech",0.0165002764096382
1,"call",0.0148767046937783
1,"last",0.0123860120990916
1,"game",0.0123108231244588
1,"vegan",0.0111575285218083
1,"hours",0.0111575285218083
1,"great",0.0111575284333357
1,"miami",0.0111575282269564
1,"nebraska",0.00972989610704987
2,"virginia",0.0788702316778898
2,"tech",0.0706256150754592
2,"va",0.058523456142259
2,"airport",0.0558014349267769
2,"f",0.0544404243188067
2,"kl.htm",0.0544404243188067
2,"s1z.us",0.0544404243188067
2,"winds",0.0544404243188067
2,"humidity",0.0530794137108365
2,"mph",0.0435523394550454
3,"night",0.0166075393367527
3,"love",0.0166075392341785
3,"today",0.0120663903455775
3,"great",0.0111884924841533
3,"nturnage",0.00968677503497574
3,"got",0.00955176893065755
3,"never",0.00830376967048714
3,"day",0.00830376967048714
3,"wild",0.00830376967048714
3,"back",0.00830233606187673
4,"back",0.0262850018518111
4,"just",0.0135052404555178
4,"cross",0.0123937718207042
4,"country",0.0108423980369796
4,"school",0.00982289503298936
4,"grade",0.00929535531088492
4,"know",0.0087134091992463
4,"8th",0.00774612942573744
4,"full",0.00774612942573744
4,"big",0.00774612942573744
4,"year",0.00774612942573744
5,"tech",0.0234989129179274
5,"virginia",0.0231334572784984
5,"jobs",0.0188166385185546
5,"apply",0.0159217710541615
5,"twurl.nl",0.0159217710541615
5,"job",0.0130141775758554
5,"rt",0.0122690491671715
5,"want",0.0101320361253755
5,"one",0.00994213117956804
5,"so_delicious",0.00868460239317903
6,"time",0.0191520339324787
6,"like",0.0177933963430802
6,"can",0.0158788452560795
6,"new",0.0148292478310979
6,"right",0.0125168210617214
6,"jylshaffer",0.0109522080097384
6,"cool",0.0109404996050146
6,"anyone",0.0109392031339463
6,"rt",0.00955019068937178
6,"td",0.00938761579629105
7,"limestone",0.0270579748817144
7,"college",0.0241023708513775
7,"team",0.0159322484249784
7,"s.c",0.0148818861850134
7,"like",0.0135289874409261
7,"football",0.0118896744154423
7,"go",0.00947029120864829
7,"women’s",0.00947029120864789
7,"nice",0.00946995051091431
7,"volleyball",0.00919029432430073
8,"rt",0.05155994725923
8,"vegan",0.0299172890192036
8,"hey",0.0168284750698985
8,"sure",0.0112189833822014
8,"now",0.0112189828270214
8,"menu",0.0112183347970828
8,"love",0.00934915281850113
8,"fed",0.00934915281850113
8,"pretty",0.00934915281850113
8,"salad",0.00824084068322545
9,"rt",0.0211038589244703
9,"just",0.0195528036333423
9,"now",0.0135972347219879
9,"vegan",0.012086431082679
9,"ow.ly",0.012086431082679
9,"thanks",0.0100998695512738
9,"weekend",0.00904469372887347
9,"get",0.00892686148555153
9,"chocolate",0.00755401942667439
9,"wanted",0.00755401942667439
