"topic","term","beta"
1,"job",0.09375
1,"start",0.09375
1,"asst",0.0625
1,"dept",0.0625
1,"excited",0.0625
1,"ohp",0.0625
1,"school",0.0625
1,"tech",0.0625
1,"tomorrow",0.0625
1,"vbs",0.0625
2,"first",0.1
2,"brewforia",0.1
2,"time",0.0666666666666667
2,"today",0.0333333333333333
2,"cable",0.0333333333333333
2,"cat5e",0.0333333333333333
2,"cloned",0.0333333333333333
2,"computers",0.0333333333333333
2,"made",0.0333333333333333
2,"something",0.0333333333333333
2,"alpenfest",0.0333333333333333
2,"heard",0.0333333333333333
2,"grainey's",0.0333333333333333
2,"idea",0.0333333333333333
2,"mentioned",0.0333333333333333
2,"night",0.0333333333333333
2,"play",0.0333333333333333
2,"rick",0.0333333333333333
2,"talking",0.0333333333333333
2,"thom",0.0333333333333333
2,"bands",0.0333333333333333
2,"etc",0.0333333333333333
2,"hours",0.0333333333333333
2,"location",0.0333333333333333
2,"many",0.0333333333333333
3,"going",0.0769230769230769
3,"now",0.0769230769230769
3,"im",0.0384615384615385
3,"family",0.0384615384615385
3,"show",0.0384615384615385
3,"tractor",0.0384615384615385
3,"built",0.0384615384615385
3,"computer",0.0384615384615385
3,"core",0.0384615384615385
3,"drivers",0.0384615384615385
3,"getting",0.0384615384615385
3,"latest",0.0384615384615385
3,"quad",0.0384615384615385
3,"running",0.0384615384615385
3,"tuesday",0.0384615384615385
3,"windows",0.0384615384615385
3,"working",0.0384615384615385
3,"bed",0.0384615384615385
3,"play",0.0384615384615385
3,"bug666",0.0384615384615385
3,"kids",0.0384615384615385
3,"nice",0.0384615384615385
3,"y'hear",0.0384615384615385
3,"soon",0.0384615384615385
4,"re",0.076923076923077
4,"done",0.0512820512820513
4,"hp's",0.0512820512820513
4,"imaging",0.0512820512820513
4,"back",0.0256410256410256
4,"camp",0.0256410256410256
4,"church",0.0256410256410256
4,"great",0.0256410256410256
4,"hills",0.0256410256410256
4,"revolution",0.0256410256410256
4,"scioto",0.0256410256410256
4,"sciotohillscamp",0.0256410256410256
4,"week",0.0256410256410256
4,"start",0.0256410256410256
4,"tomorrow",0.0256410256410256
4,"work",0.0256410256410256
4,"last",0.0256410256410256
4,"left",0.0256410256410256
4,"new",0.0256410256410256
4,"something",0.0256410256410256
4,"almost",0.0256410256410256
4,"completely",0.0256410256410256
4,"fix",0.0256410256410256
4,"hps",0.0256410256410256
4,"image",0.0256410256410256
4,"laptop",0.0256410256410256
4,"screens",0.0256410256410256
4,"w",0.0256410256410256
4,"murphymedia",0.0256410256410256
4,"alphabetically",0.0256410256410256
4,"echofon",0.0256410256410256
4,"iphone",0.0256410256410256
4,"lists",0.0256410256410256
4,"pro",0.0256410256410256
5,"today",0.103448275862069
5,"work",0.103448275862069
5,"laptops",0.0689655172413793
5,"doodleannie",0.0689655172413793
5,"cant",0.0344827586206896
5,"chrome",0.0344827586206896
5,"comes",0.0344827586206896
5,"google",0.0344827586206896
5,"os",0.0344827586206896
5,"till",0.0344827586206896
5,"wait",0.0344827586206896
5,"friend",0.0344827586206896
5,"hp",0.0344827586206896
5,"like",0.0344827586206896
5,"reimaged",0.0344827586206896
5,"reimaging",0.0344827586206896
5,"kristenvegas",0.0344827586206896
5,"eh",0.0344827586206896
5,"get",0.0344827586206896
5,"pated",0.0344827586206896
5,"trying",0.0344827586206896
5,"twitter",0.0344827586206896
