"topic","term","beta"
1,"hope",0.037037037037037
1,"babies",0.037037037037037
1,"bigger",0.037037037037037
1,"brynn303",0.037037037037037
1,"emily",0.037037037037037
1,"get",0.037037037037037
1,"little",0.037037037037037
1,"maybe",0.037037037037037
1,"old",0.037037037037037
1,"sustainer",0.037037037037037
1,"great",0.037037037037037
1,"atouchofbliss",0.037037037037037
1,"kerri",0.037037037037037
1,"rt",0.037037037037037
1,"running",0.037037037037037
1,"video",0.037037037037037
1,"wow",0.037037037037037
1,"www.touchofblisseven",0.037037037037037
1,"fun",0.037037037037037
1,"last",0.037037037037037
1,"night",0.037037037037037
1,"andrewschaef",0.037037037037037
1,"catch",0.037037037037037
1,"jessica",0.037037037037037
1,"may",0.037037037037037
1,"thing",0.037037037037037
1,"works",0.037037037037037
2,"hee",0.0833333333333333
2,"awesome",0.0833333333333333
2,"day",0.0416666666666667
2,"great",0.0416666666666667
2,"rt",0.0416666666666667
2,"blog",0.0416666666666667
2,"funny",0.0416666666666667
2,"planningforever",0.0416666666666667
2,"akhaydon",0.0416666666666667
2,"eye",0.0416666666666667
2,"guys",0.0416666666666667
2,"keep",0.0416666666666667
2,"rocknrollbride",0.0416666666666667
2,"enjoy",0.0416666666666667
2,"make",0.0416666666666667
2,"sapphireangie",0.0416666666666667
2,"commented",0.0416666666666667
2,"f",0.0416666666666667
2,"just",0.0416666666666667
2,"sfszc",0.0416666666666667
2,"start",0.0416666666666667
2,"woken",0.0416666666666667
3,"event",0.0625
3,"greg",0.0625
3,"hope",0.0625
3,"journey",0.0625
3,"journeyofhopeconcert.org",0.0625
3,"mortenson",0.0625
3,"outreach",0.0625
3,"peace",0.0625
3,"pennies",0.0625
3,"red",0.0625
3,"rocks",0.0625
3,"sept",0.0625
3,"spread",0.0625
3,"w",0.0625
3,"word",0.0625
3,"youth",0.0625
4,"marthaweddings",0.0909090909090909
4,"wow",0.0454545454545454
4,"see",0.0454545454545454
4,"can",0.0454545454545454
4,"guidelines",0.0454545454545454
4,"submission",0.0454545454545454
4,"best",0.0454545454545454
4,"early",0.0454545454545454
4,"exquisite",0.0454545454545454
4,"fall",0.0454545454545454
4,"menu",0.0454545454545454
4,"mountaintop",0.0454545454545454
4,"newly",0.0454545454545454
4,"overall",0.0454545454545454
4,"recept",0.0454545454545454
4,"renovated",0.0454545454545454
4,"site",0.0454545454545454
4,"submit",0.0454545454545454
4,"telluride",0.0454545454545454
4,"way",0.0454545454545454
4,"wedding",0.0454545454545454
5,"yadda",0.105263157894737
5,"see",0.105263157894737
5,"hope",0.0526315789473684
5,"denver",0.0526315789473684
5,"going",0.0526315789473684
5,"ises",0.0526315789473684
5,"tonight",0.0526315789473684
5,"tweeps",0.0526315789473684
5,"fun",0.0526315789473684
5,"come",0.0526315789473684
5,"direct",0.0526315789473684
5,"djpaula",0.0526315789473684
5,"logos",0.0526315789473684
5,"mail",0.0526315789473684
5,"paula",0.0526315789473684
5,"shy",0.0526315789473684
5,"talk",0.0526315789473684
6,"meet",0.125
6,"last",0.125
6,"night",0.125
6,"nice",0.0625
6,"floralgoddess",0.0625
6,"julia",0.0625
6,"pleasure",0.0625
6,"yes",0.0625
6,"company",0.0625
6,"jasongphoto",0.0625
6,"logo",0.0625
6,"logosauce",0.0625
6,"mentioned",0.0625
7,"greg",0.0588235294117647
7,"mortenson",0.0588235294117647
7,"red",0.0588235294117647
7,"rocks",0.0588235294117647
7,"cups",0.0588235294117647
7,"day",0.0588235294117647
7,"good",0.0588235294117647
7,"hero",0.0588235294117647
7,"kids",0.0588235294117647
7,"modern",0.0588235294117647
7,"next",0.0588235294117647
7,"read",0.0588235294117647
7,"sunday",0.0588235294117647
7,"support",0.0588235294117647
7,"tea",0.0588235294117647
7,"things",0.0588235294117647
7,"three",0.0588235294117647
8,"brynn303",0.0833333333333333
8,"aloha",0.0833333333333333
8,"great",0.0833333333333333
8,"day",0.0416666666666667
8,"hawaii",0.0416666666666667
8,"mouth",0.0416666666666667
8,"shut",0.0416666666666667
8,"time",0.0416666666666667
8,"andyschaef",0.0416666666666667
8,"blog",0.0416666666666667
8,"climb",0.0416666666666667
8,"cross",0.0416666666666667
8,"holy",0.0416666666666667
8,"mt",0.0416666666666667
8,"post",0.0416666666666667
8,"shots",0.0416666666666667
8,"stunning",0.0416666666666667
8,"brynn",0.0416666666666667
8,"like",0.0416666666666667
8,"perfect",0.0416666666666667
8,"sounds",0.0416666666666667
9,"awesome",0.0434782608695652
9,"ises",0.0434782608695652
9,"boo",0.0434782608695652
9,"check",0.0434782608695652
9,"dvr",0.0434782608695652
9,"especially",0.0434782608695652
9,"fun",0.0434782608695652
9,"gon",0.0434782608695652
9,"meet",0.0434782608695652
9,"nice",0.0434782608695652
9,"run",0.0434782608695652
9,"schedule",0.0434782608695652
9,"sidneystoper",0.0434782608695652
9,"weekly",0.0434782608695652
9,"cool",0.0434782608695652
9,"couple",0.0434782608695652
9,"looking",0.0434782608695652
9,"photos",0.0434782608695652
9,"really",0.0434782608695652
9,"rocknrollbride",0.0434782608695652
9,"sharing",0.0434782608695652
9,"stop",0.0434782608695652
9,"thanks",0.0434782608695652
