"topic","term","beta"
1,"first",0.0448158683765861
1,"montana",0.039792710354879
1,"goes",0.0224477885775742
1,"nau",0.0223603147708077
1,"just",0.0197456823041855
1,"time",0.0191128854864661
1,"three",0.0187064904813119
1,"yard",0.0187064904813119
1,"field",0.0187064904813119
1,"goal",0.0187064904813119
2,"u",0.0393286289109639
2,"davesalmoni",0.0295294287177455
2,"good",0.0295117690742612
2,"today",0.0221470217526388
2,"r",0.01604154245677
2,"day",0.015995543189649
2,"can",0.0147647012232515
2,"morning",0.0110735357691546
2,"happy",0.0110735357691546
2,"tymanbert",0.0110735357691546
2,"working",0.0110735357691546
2,"thebarnmom",0.0110735357691546
2,"safe",0.0110735357691546
2,"horses",0.0110735357691546
3,"get",0.0379259036358271
3,"just",0.0325079356896256
3,"naan",0.0325079356896256
3,"now",0.0270899464080212
3,"work",0.0270899464080179
3,"jordanrizzieri",0.0216719571264171
3,"home",0.0216719571264171
3,"hi",0.0216719571264171
3,"make",0.0216719571264171
3,"going",0.0184813040078071
4,"hudson",0.0267079694447872
4,"sex",0.021366379794683
4,"life",0.021366379794683
4,"god",0.0160247848460122
4,"weekend",0.0160247848460122
4,"kill",0.0106831898973415
4,"tonight",0.0106831898973415
4,"dress",0.0106831898973415
4,"january",0.0106831898973415
4,"joke",0.0106831898973415
4,"jones",0.0106831898973415
4,"design",0.0106831898973415
4,"changed",0.0106831898973415
4,"heh",0.0106831898973415
4,"lottery",0.0106831898973415
4,"tempurpedic",0.0106831898973415
4,"winner",0.0106831898973415
4,"annoying",0.0106831898973415
4,"mockney",0.0106831898973415
4,"john",0.0106831898973415
4,"getting",0.0106831898973415
4,"rock",0.0106831898973415
4,"rt",0.0106831898973415
4,"wire",0.0106831898973415
4,"twugs",0.0106831898973415
4,"imagine",0.0106831898973415
5,"keithbarker",0.0197690195247977
5,"cookies",0.0197690195247977
5,"good",0.0197690195247977
5,"got",0.0197690195247977
5,"just",0.0192132704392322
5,"speak",0.0148267646435983
5,"twitter",0.0148267646435983
5,"us",0.0148267646435983
5,"great",0.0148267646435983
5,"personality",0.0148267646435983
5,"quiz",0.0148267646435983
5,"took",0.0148267646435983
6,"buddies",0.0193480388721696
6,"know",0.0193480388721696
6,"pbc",0.0193480388721696
6,"week",0.0193480388721696
6,"going",0.0145110291541272
6,"fucking",0.0145110291541272
6,"im",0.0145110291541272
6,"now",0.0145110291541272
6,"missing",0.0145110291541272
6,"pretty",0.0145110291541272
6,"get",0.0145110291541272
6,"think",0.0145110291541272
7,"go",0.0223321655398066
7,"nau",0.0219544147066137
7,"twitpic.com",0.0191691496110368
7,"seatao",0.0191691496110368
7,"montana",0.0161209169134407
7,"get",0.0143768622082776
7,"love",0.0143768622082776
7,"new",0.0143768622082776
7,"gonna",0.0143768622082776
7,"ron",0.0143768622082776
7,"_nooneknows_",0.0143768622082776
7,"yard",0.0143768622082776
7,"herrick",0.0143768622082776
7,"game",0.0143768622082776
8,"made",0.0245430853696107
8,"hudson",0.0245430853696105
8,"u",0.0212892519793473
8,"watching",0.0196344682956885
8,"yum",0.0147258512217664
8,"mustangs",0.0147258512217664
8,"b_miller",0.0147258512217664
8,"lol",0.0147257817534617
8,"first",0.00981723414784427
8,"like",0.00981723414784427
8,"ninja",0.00981723414784427
8,"time",0.00981723414784427
8,"warrior",0.00981723414784427
8,"year",0.00981723414784427
8,"just",0.00981723414784427
8,"spirit",0.00981723414784427
8,"article",0.00981723414784427
8,"cool",0.00981723414784427
8,"jwvdf",0.00981723414784427
8,"bean",0.00981723414784427
8,"black",0.00981723414784427
8,"soup",0.00981723414784427
8,"amazing",0.00981723414784427
8,"maggieholland",0.00981723414784427
8,"thank",0.00981723414784427
8,"wonderful",0.00981723414784427
8,"still",0.00981723414784427
8,"thanks",0.00981723414784427
8,"twugz",0.00981723414784427
8,"free",0.00981723414784427
8,"pass",0.00981723414784427
8,"set",0.00981723414784427
8,"wild",0.00981723414784427
9,"himym",0.116680845041365
9,"one",0.0265183738730375
9,"north",0.02121469909843
9,"point",0.02121469909843
9,"us",0.0159110243238225
9,"bad",0.0159110243238225
9,"degree",0.0159110243238225
9,"rt",0.0159110243238225
9,"tymanbert",0.0150681996218504
9,"time",0.010607349549215
9,"subjectivity",0.010607349549215
9,"duty",0.010607349549215
9,"fuck",0.010607349549215
9,"jury",0.010607349549215
9,"headache",0.010607349549215
9,"chicago",0.010607349549215
9,"city",0.010607349549215
9,"ever",0.010607349549215
9,"furthest",0.010607349549215
9,"hmm",0.010607349549215
9,"lake",0.010607349549215
9,"nyc",0.010607349549215
9,"salt",0.010607349549215
9,"yaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaay",0.010607349549215
9,"c.s",0.010607349549215
9,"lewis",0.010607349549215
9,"death",0.010607349549215
9,"feeling",0.010607349549215
9,"sick",0.010607349549215
