"topic","term","beta"
1,"u",0.0599673077829399
1,"corymartine",0.0399782026227092
1,"rt",0.0337962592554894
1,"thank",0.0239869233776167
1,"lol",0.0239862677060735
1,"appreciate",0.0199891028147619
1,"look",0.0199891026587467
1,"genius",0.0159912822518095
1,"mention",0.0159912822518095
1,"tinyurl.com",0.0159912822518095
1,"bomb",0.0159912822518095
1,"choice",0.0159912822518095
1,"explode",0.0159912822518095
2,"primary",0.0253100598268685
2,"republican",0.0216943369944587
2,"rt",0.0180786141620489
2,"highway",0.0144628913296391
2,"superintendent",0.014462891329639
2,"can",0.0108471684972293
2,"twitter",0.0108471684972293
2,"water",0.0108471684972293
2,"directory",0.0108471684972293
2,"profile",0.0108471684972293
2,"jude",0.0108471684972293
3,"join",0.0210621199156078
3,"today",0.0175517665963398
3,"great",0.0175517665963398
3,"news",0.0175517665963398
3,"update",0.0175517665963398
3,"just",0.0157482019041263
3,"yards",0.0140414132770719
3,"get",0.0140414132770719
3,"jefferson",0.0140414132770719
3,"video",0.0105310599578039
3,"new",0.0105310599578039
3,"party",0.0105310599578039
3,"u.s",0.0105310599578039
3,"tea",0.0105310599578039
3,"mturner91",0.0105310599578039
3,"parade",0.0105310599578039
4,"think",0.0284647966716675
4,"probably",0.0142335771749505
4,"around",0.0142335771749505
4,"lilpecan",0.0142335771749505
4,"tech",0.0142335771749505
4,"rt",0.0106751828812128
4,"legs",0.0106751828812128
4,"news",0.0106751828812128
4,"senate",0.00711678858747523
4,"terror",0.00711678858747523
4,"shitt",0.00711678858747523
4,"mostly",0.00711678858747523
4,"diemcclane",0.00711678858747523
4,"welcome",0.00711678858747523
4,"stuff",0.00711678858747523
4,"rts",0.00711678858747523
4,"software",0.00711678858747523
4,"talked",0.00711678858747523
4,"dolores",0.00711678858747523
4,"needs",0.00711678858747523
4,"o'riordan",0.00711678858747523
4,"throw",0.00711678858747523
4,"one",0.00711678858747523
4,"made",0.00711678858747523
4,"video",0.00711678858747523
4,"free",0.00711678858747523
4,"easy",0.00711678858747523
4,"op",0.00711678858747523
4,"pfft",0.00711678858747523
4,"phantasms",0.00711678858747523
4,"whiskerwing",0.00711678858747523
4,"every",0.00711678858747523
4,"juliustheorange",0.00711678858747523
4,"keep",0.00711678858747523
4,"od",0.00711678858747523
4,"rewatching",0.00711678858747523
4,"someone",0.00711678858747523
4,"time",0.00711678858747523
4,"ask",0.00711678858747523
4,"handful",0.00711678858747523
4,"people",0.00711678858747523
4,"put",0.00711678858747523
4,"questions",0.00711678858747523
4,"wanting",0.00711678858747523
4,"lot",0.00711678858747523
4,"60k",0.00711678858747523
4,"alexa",0.00711678858747523
4,"coastal",0.00711678858747523
4,"cs",0.00711678858747523
4,"engin",0.00711678858747523
4,"finance",0.00711678858747523
4,"higher",0.00711678858747523
4,"jobs",0.00711678858747523
4,"skewed",0.00711678858747523
4,"starts",0.00711678858747523
4,"undergrad",0.00711678858747523
4,"advice",0.00711678858747523
4,"intent",0.00711678858747523
4,"offer",0.00711678858747523
4,"passionate",0.00711678858747523
4,"elizaeffect",0.00711678858747523
4,"even",0.00711678858747523
4,"excited",0.00711678858747523
4,"fact",0.00711678858747523
4,"interested",0.00711678858747523
4,"rip",0.00711678858747523
4,"runner",0.00711678858747523
4,"anngaff",0.00711678858747523
4,"voted",0.00711678858747523
4,"update",0.00711678858747523
4,"dick",0.00711678858747523
4,"jordynvjames",0.00711678858747523
4,"bless",0.00711678858747523
4,"god",0.00711678858747523
4,"jenevalynne",0.00711678858747523
5,"years",0.025982826285008
5,"just",0.0204662430904792
5,"wind",0.0185591616321486
5,"avg",0.0148473293057188
5,"backyard",0.0148473293057188
5,"current",0.0148473293057188
5,"f",0.0148473293057188
5,"humidity",0.0148473293057188
5,"mph",0.0148473293057188
5,"pct",0.0148473293057188
5,"rick's",0.0148473293057188
5,"temp",0.0148473293057188
5,"weather",0.0148473293057188
5,"making",0.0148473293057188
5,"news",0.0148473293057188
5,"update",0.0148473293057188
6,"now",0.0203524533523717
6,"w",0.0169603777936431
6,"can",0.0135683022349145
6,"talked",0.0135683022349145
6,"figure",0.0135683022349145
6,"going",0.0135683022349145
6,"chrissyisms",0.0135683022328124
6,"c",0.0135683022321841
6,"morning",0.0103496270869784
6,"rt",0.0101762266761859
6,"well",0.0101762266761859
6,"twitter",0.0101762266761859
6,"party",0.0101762266761859
6,"tonight",0.0101762266761859
6,"levels",0.0101762266761859
6,"see",0.0101762266761859
7,"r",0.0256522494476231
7,"wayne",0.0205217995580985
7,"primary",0.0205217995580985
7,"republican",0.0205217995580985
7,"town",0.0179565746133362
7,"edition",0.0153913496685433
7,"print",0.015391349668491
7,"today's",0.0153913496683387
7,"ogochocinco",0.0128261247238115
7,"well",0.0102608997790492
7,"thx",0.0102608997790492
7,"peyton",0.0102608997790492
7,"supervisor",0.0102608997790492
7,"top",0.0102608997790492
7,"two",0.0102608997790492
8,"rt",0.0690385808198461
8,"ff",0.0325226519214787
8,"ty",0.024392002731003
8,"fl",0.016261335154002
8,"move",0.016261335154002
8,"gt",0.016261335154002
8,"three_ten",0.016261335154002
8,"webselling4u",0.016261335154002
8,"want",0.0121960013655015
8,"u",0.00813066757700099
8,"corymartine",0.00813066757700099
8,"kids",0.00813066757700099
8,"running",0.00813066757700099
8,"ball",0.00813066757700099
8,"baseball",0.00813066757700099
8,"catches",0.00813066757700099
8,"dad",0.00813066757700099
8,"daughter's",0.00813066757700099
8,"game",0.00813066757700099
8,"little",0.00813066757700099
8,"mike_stelzner",0.00813066757700099
8,"priceless",0.00813066757700099
8,"response",0.00813066757700099
8,"seen",0.00813066757700099
8,"zfvyw",0.00813066757700099
8,"b",0.00813066757700099
8,"elocio",0.00813066757700099
8,"ericsvonk",0.00813066757700099
8,"flowersophy",0.00813066757700099
8,"gift_tours",0.00813066757700099
8,"jennifertice",0.00813066757700099
8,"joycecherrier",0.00813066757700099
8,"kountrintuitiv",0.00813066757700099
8,"mapher",0.00813066757700099
8,"sarahhorvat",0.00813066757700099
8,"barbaraduke",0.00813066757700099
8,"tl2u",0.00813066757700099
8,"amberalert",0.00813066757700099
8,"lostnmissing",0.00813066757700099
8,"please",0.00813066757700099
