"topic","term","beta"
1,"u",0.0638297872340426
1,"get",0.0638297872340426
1,"n",0.0638297872340426
1,"cheated",0.0425531914893617
1,"da",0.0425531914893617
1,"chillin",0.0425531914893617
1,"bout",0.0425531914893617
1,"car",0.0425531914893617
1,"haircut",0.0425531914893617
1,"106andpark",0.0212765957446809
1,"betrayed",0.0212765957446809
1,"feel",0.0212765957446809
1,"heart",0.0212765957446809
1,"hurts",0.0212765957446809
1,"loved",0.0212765957446809
1,"one",0.0212765957446809
1,"really",0.0212765957446809
1,"ya",0.0212765957446809
1,"mr.magiq",0.0212765957446809
1,"alive",0.0212765957446809
1,"awake",0.0212765957446809
1,"phone",0.0212765957446809
1,"around",0.0212765957446809
1,"layzin",0.0212765957446809
1,"lnk.ms",0.0212765957446809
1,"0yjp0",0.0212765957446809
1,"call",0.0212765957446809
1,"cell",0.0212765957446809
1,"lookn",0.0212765957446809
1,"txt",0.0212765957446809
1,"wifey",0.0212765957446809
1,"girl",0.0212765957446809
1,"better",0.0212765957446809
1,"little",0.0212765957446809
1,"right",0.0212765957446809
2,"nasty",0.104166666666377
2,"need",0.0624999999998263
2,"wood",0.0416666666665509
2,"mind",0.0416666666665509
2,"fuckin",0.0416666666665509
2,"get",0.0208333333332754
2,"yo",0.0208333333332754
2,"go",0.0208333333332754
2,"chase",0.0208333333332754
2,"dang",0.0208333333332754
2,"kb",0.0208333333332754
2,"self",0.0208333333332754
2,"sugarcoating",0.0208333333332754
2,"broken",0.0208333333332754
2,"twitter",0.0208333333332754
2,"cyn",0.0208333333332754
2,"funni",0.0208333333332754
2,"lolz",0.0208333333332754
2,"might",0.0208333333332754
2,"real",0.0208333333332754
2,"turn",0.0208333333332754
2,"stop",0.0208333333332754
2,"thats",0.0208333333332754
2,"kno",0.0208333333332754
2,"black",0.0208333333332754
2,"boots",0.0208333333332754
2,"knocked",0.0208333333332754
2,"endings",0.0208333333332754
2,"happy",0.0208333333332754
2,"april",0.0208333333332754
2,"ass",0.0208333333332754
2,"business",0.0208333333332754
2,"elizabeth",0.0208333333332754
2,"else",0.0208333333332754
2,"les",0.0208333333332754
2,"piece",0.0208333333332754
2,"suggs",0.0208333333332754
2,"worry",0.0208333333332754
3,"back",0.0192307692307693
3,"106andpark",0.0192307692307693
3,"album",0.0192307692307693
3,"another",0.0192307692307693
3,"ghosts",0.0192307692307693
3,"loves",0.0192307692307693
3,"said",0.0192307692307693
3,"soon",0.0192307692307693
3,"tr",0.0192307692307693
3,"already",0.0192307692307693
