"topic","term","beta"
1,"stephenlbenton",0.0816818817838378
1,"morning",0.0544545878558919
1,"college",0.0544545878558919
1,"make",0.0544545878558919
1,"football",0.0470447125218921
1,"get",0.0272272939279459
1,"work",0.0272272939279459
1,"lay",0.0272272939279459
1,"much",0.0272272939279459
1,"needed",0.0272272939279459
1,"rest",0.0272272939279459
1,"happy",0.0272272939279459
1,"hope",0.0272272939279459
1,"ap",0.0272272939279459
1,"lq9iz",0.0272272939279459
1,"update",0.0272272939279459
1,"longest",0.0272272939279459
1,"name",0.0272272939279459
1,"norway's",0.0272272939279459
1,"q90m1",0.0272272939279459
1,"back",0.0272272939279459
1,"better",0.0272272939279459
1,"feels",0.0272272939279459
1,"anything",0.0272272939279459
1,"sense",0.0272272939279459
1,"wishes",0.0272272939279459
1,"hahaha",0.0272272939279459
1,"smooth",0.0272272939279459
1,"die",0.0272272939279459
1,"super",0.0272272939279459
1,"heart",0.0272272939279459
2,"know",0.0571428571428572
2,"get",0.0285714285714286
2,"come",0.0285714285714286
2,"ago",0.0285714285714286
2,"best",0.0285714285714286
2,"families",0.0285714285714286
2,"reflecting",0.0285714285714286
2,"regards",0.0285714285714286
2,"rip",0.0285714285714286
2,"today",0.0285714285714286
2,"years",0.0285714285714286
2,"back",0.0285714285714286
2,"kidding",0.0285714285714286
2,"let",0.0285714285714286
2,"either",0.0285714285714286
2,"feel",0.0285714285714286
2,"kind",0.0285714285714286
2,"like",0.0285714285714286
2,"screaming",0.0285714285714286
2,"throwing",0.0285714285714286
2,"way",0.0285714285714286
2,"ya",0.0285714285714286
2,"confused",0.0285714285714286
2,"fucking",0.0285714285714286
2,"end",0.0285714285714286
2,"haunt",0.0285714285714286
2,"sins",0.0285714285714286
2,"us",0.0285714285714286
2,"drunk",0.0285714285714286
2,"electricity",0.0285714285714286
2,"hurts",0.0285714285714286
2,"lesson",0.0285714285714286
2,"life",0.0285714285714286
2,"still",0.0285714285714286
3,"right",0.0697674418578574
3,"things",0.0465116279052383
3,"today",0.0465116279052383
3,"106andpark",0.0232558139526191
3,"go",0.0232558139526191
3,"kids",0.0232558139526191
3,"know",0.0232558139526191
3,"sometimes",0.0232558139526191
3,"support",0.0232558139526191
3,"wished",0.0232558139526191
3,"working",0.0232558139526191
3,"now",0.0232558139526191
3,"drucker",0.0232558139526191
3,"effectiveness",0.0232558139526191
3,"efficiency",0.0232558139526191
3,"peter",0.0232558139526191
3,"away",0.0232558139526191
3,"brand",0.0232558139526191
3,"cancer",0.0232558139526191
3,"myles",0.0232558139526191
3,"ncaa",0.0232558139526191
3,"pancreatic",0.0232558139526191
3,"passed",0.0232558139526191
3,"president",0.0232558139526191
3,"bears",0.0232558139526191
3,"bryanbrinkman",0.0232558139526191
3,"gummy",0.0232558139526191
3,"hilarious",0.0232558139526191
3,"see",0.0232558139526191
3,"well",0.0232558139526191
3,"went",0.0232558139526191
3,"throwing",0.0232558139526191
3,"leaning",0.0232558139526191
3,"meh",0.0232558139526191
3,"toward",0.0232558139526191
4,"watching",0.105263157894737
4,"espn",0.0789473684210527
4,"tech",0.0789473684210527
4,"vs",0.0789473684210527
4,"miami",0.0526315789473684
4,"georgia",0.0526315789473684
4,"great",0.0263157894736842
4,"got",0.0263157894736842
4,"people",0.0263157894736842
4,"america's",0.0263157894736842
4,"talent",0.0263157894736842
4,"watch",0.0263157894736842
4,"maury",0.0263157894736842
4,"everything",0.0263157894736842
4,"alabama",0.0263157894736842
4,"game",0.0263157894736842
4,"halftime",0.0263157894736842
4,"virginia",0.0263157894736842
4,"clemson",0.0263157894736842
4,"half",0.0263157894736842
4,"dvr",0.0263157894736842
4,"else",0.0263157894736842
4,"house",0.0263157894736842
4,"thinkgeek",0.0263157894736842
4,"1v4gbt",0.0263157894736842
4,"memory",0.0263157894736842
4,"super",0.0263157894736842
5,"get",0.0526315789473684
5,"watching",0.0526315789473684
5,"2moro",0.0526315789473684
5,"sitting",0.0526315789473684
5,"now",0.0526315789473684
5,"goodnight",0.0526315789473684
5,"right",0.0263157894736842
5,"waiting",0.0263157894736842
5,"mentally",0.0263157894736842
5,"prepare",0.0263157894736842
5,"relax",0.0263157894736842
5,"tired",0.0263157894736842
5,"work",0.0263157894736842
5,"watch",0.0263157894736842
5,"tv",0.0263157894736842
5,"lmn",0.0263157894736842
5,"resting",0.0263157894736842
5,"rest",0.0263157894736842
5,"good",0.0263157894736842
5,"lifetime",0.0263157894736842
5,"ol",0.0263157894736842
5,"relaxing",0.0263157894736842
