"topic","term","beta"
1,"can",0.026551707094925
1,"twitter",0.0162951269282586
1,"hey",0.0158440222037832
1,"live",0.0148837781046037
1,"show",0.0139387292447427
1,"thanks",0.0130795111214748
1,"us",0.0115453384043764
1,"rt",0.0114171511506804
1,"free",0.00996131071467173
1,"new",0.00928853618712773
2,"rt",0.0387969520082558
2,"time",0.016241201641272
2,"good",0.0153997824867675
2,"morning",0.0130258444394208
2,"life",0.0126571862795129
2,"keepitreal",0.0111825677013288
2,"tweet",0.00983082487376603
2,"follow",0.00816301859151823
2,"love",0.00737325212972496
2,"talking",0.0071273508425747
3,"de",0.0234586151507719
3,"que",0.0223415382388304
3,"la",0.0182921324103377
3,"en",0.0135445575572908
3,"y",0.012567115259342
3,"el",0.0104725960494517
3,"o",0.0099140204772864
3,"rt",0.00832009367875304
3,"los",0.00781953838359064
3,"mi",0.00740063454161258
4,"miami",0.0611508893212005
4,"fuckjayz",0.0208679452970562
4,"dolphins",0.0180093226536238
4,"fl",0.0128638018954456
4,"next",0.0113169658571987
4,"thank",0.00971921066486785
4,"one",0.00888138947043791
4,"beach",0.00657483203321866
4,"looking",0.00579783316920125
4,"come",0.00547746974771016
5,"just",0.0251913355738935
5,"video",0.0249672817157371
5,"day",0.0202797048223716
5,"make",0.0127510194825503
5,"chat",0.0123523145295496
5,"tinychat.com",0.0113229549854204
5,"new",0.0112015405119445
5,"miss",0.0104278040432268
5,"haha",0.00823486261000984
5,"ow.ly",0.00749961953575993
6,"twitpic.com",0.0259795196777095
6,"game",0.0210440139118631
6,"now",0.0141127199586998
6,"happy",0.013436614458984
6,"smartphone",0.00890905958727957
6,"unlocked",0.00876300943011105
6,"s",0.00871958291447394
6,"cam",0.00847090911577401
6,"big",0.00803275864313696
6,"birthday",0.00774065832993143
7,"u",0.0440521928829449
7,"love",0.0188513537236722
7,"lol",0.0183281078890541
7,"get",0.0142136048451493
7,"got",0.013832541371897
7,"lmao",0.0120314591178686
7,"just",0.00980097042746948
7,"much",0.00907031502514313
7,"can",0.00774863340504554
7,"im",0.007733763230861
8,"night",0.0150477159731893
8,"like",0.0142374162285424
8,"good",0.0118451302907069
8,"new",0.0117933284136515
8,"just",0.0106122235955936
8,"going",0.00930162846689231
8,"really",0.00797683761384885
8,"first",0.00760470757781948
8,"great",0.00664925271453514
8,"always",0.00657789595262012
9,"lol",0.034643378778663
9,"go",0.0210931469840392
9,"rt",0.020758176988384
9,"know",0.0170758934963319
9,"like",0.0125171402967319
9,"right",0.0110623394670818
9,"see",0.0102778371880805
9,"work",0.00961778337004127
9,"get",0.00891508282350535
9,"dont",0.00890612133074523
