"topic","term","beta"
1,"moving",0.0307692307692308
1,"watch",0.0307692307692308
1,"gotta",0.0153846153846154
1,"just",0.0153846153846154
1,"let",0.0153846153846154
1,"long",0.0153846153846154
1,"rt",0.0153846153846154
1,"details",0.0153846153846154
1,"15p",0.0153846153846154
1,"area",0.0153846153846154
1,"closures",0.0153846153846154
1,"comal",0.0153846153846154
1,"county",0.0153846153846154
1,"flash",0.0153846153846154
1,"flood",0.0153846153846154
1,"kgnb",0.0153846153846154
1,"kgnb.am",0.0153846153846154
1,"steet",0.0153846153846154
1,"well",0.0153846153846154
1,"cathyscott",0.0153846153846154
1,"theantfarm",0.0153846153846154
1,"legal",0.0153846153846154
1,"stevehuff",0.0153846153846154
1,"angiedled",0.0153846153846154
1,"bjmuntain",0.0153846153846154
1,"marystringer",0.0153846153846154
1,"thankyousunday",0.0153846153846154
1,"thetrialwarrior",0.0153846153846154
1,"boston",0.0153846153846154
1,"dave_in_sa",0.0153846153846154
1,"lock",0.0153846153846154
1,"sf",0.0153846153846154
1,"thanks",0.0153846153846154
1,"tip",0.0153846153846154
1,"try",0.0153846153846154
1,"layover",0.0153846153846154
1,"3hr",0.0153846153846154
1,"best",0.0153846153846154
1,"chi",0.0153846153846154
1,"impersonation",0.0153846153846154
1,"jackson",0.0153846153846154
1,"michael",0.0153846153846154
1,"midway",0.0153846153846154
1,"part",0.0153846153846154
1,"sidewalk",0.0153846153846154
1,"avoided",0.0153846153846154
1,"baby",0.0153846153846154
1,"bag",0.0153846153846154
1,"bro",0.0153846153846154
1,"considered",0.0153846153846154
1,"emil285",0.0153846153846154
1,"joke",0.0153846153846154
1,"knows",0.0153846153846154
1,"record",0.0153846153846154
1,"reflect",0.0153846153846154
1,"safe",0.0153846153846154
1,"went",0.0153846153846154
1,"wife",0.0153846153846154
1,"claws",0.0153846153846154
1,"cornhole",0.0153846153846154
1,"hey",0.0153846153846154
1,"landed",0.0153846153846154
1,"lobsters",0.0153846153846154
2,"rt",0.0277777777777778
2,"carribugbee",0.0277777777777778
2,"airport",0.0277777777777778
2,"ass",0.0277777777777778
2,"playing",0.0138888888888889
2,"just",0.0138888888888889
2,"see",0.0138888888888889
2,"100,000",0.0138888888888889
2,"approximately",0.0138888888888889
2,"buds",0.0138888888888889
2,"catfish",0.0138888888888889
2,"knew",0.0138888888888889
2,"taste",0.0138888888888889
2,"stuff",0.0138888888888889
2,"d.c",0.0138888888888889
2,"make",0.0138888888888889
2,"metro",0.0138888888888889
2,"party",0.0138888888888889
2,"protest",0.0138888888888889
2,"protesters",0.0138888888888889
2,"service",0.0138888888888889
2,"tea",0.0138888888888889
2,"vuy5g",0.0138888888888889
2,"16lk2h",0.0138888888888889
2,"catching",0.0138888888888889
2,"elusive",0.0138888888888889
2,"foolproof",0.0138888888888889
2,"liars",0.0138888888888889
2,"shylohg",0.0138888888888889
2,"still",0.0138888888888889
2,"test",0.0138888888888889
2,"day",0.0138888888888889
2,"cracking",0.0138888888888889
2,"follow",0.0138888888888889
2,"genes_ghost",0.0138888888888889
2,"reading",0.0138888888888889
2,"starting",0.0138888888888889
2,"theantfarm",0.0138888888888889
2,"updates",0.0138888888888889
2,"bob",0.0138888888888889
2,"hungry",0.0138888888888889
2,"actually",0.0138888888888889
2,"aus",0.0138888888888889
2,"brutal",0.0138888888888889
2,"jazz",0.0138888888888889
2,"major",0.0138888888888889
2,"p.a",0.0138888888888889
2,"solo",0.0138888888888889
2,"sucked",0.0138888888888889
2,"xylophone",0.0138888888888889
2,"beaten",0.0138888888888889
2,"bidness",0.0138888888888889
2,"clean",0.0138888888888889
2,"death",0.0138888888888889
2,"hurried",0.0138888888888889
2,"quiet",0.0138888888888889
2,"rarely",0.0138888888888889
2,"restroom",0.0138888888888889
2,"bastage",0.0138888888888889
2,"dallas",0.0138888888888889
2,"delta",0.0138888888888889
2,"dodd",0.0138888888888889
2,"flight",0.0138888888888889
2,"lose",0.0138888888888889
2,"poor",0.0138888888888889
2,"seat",0.0138888888888889
2,"left",0.0138888888888889
2,"writeontime",0.0138888888888889
3,"rt",0.0418053245023088
3,"matt_king",0.0418053245023088
3,"know",0.0278702163348725
3,"live",0.0278702163348725
3,"lol",0.0278702163348725
3,"studio",0.0278702163291616
3,"stopping",0.0278702141385004
3,"zackwalther",0.0278702097480463
3,"interview",0.0245423427554731
3,"check",0.0139351081674363
3,"unravelmedesign",0.0139351081674363
3,"cat",0.0139351081674363
3,"knbt",0.0139351081674363
3,"performance",0.0139351081674363
3,"s",0.0139351081674363
3,"stuff",0.0139351081674363
3,"today",0.0139351081674363
3,"4p",0.0139351081674363
3,"bring",0.0139351081674363
3,"cool",0.0139351081674363
3,"musically",0.0139351081674363
3,"sure",0.0139351081674363
3,"table",0.0139351081674363
3,"canceled",0.0139351081674363
3,"unfortunately",0.0139351081674363
3,"update",0.0139351081674363
3,"quote",0.0139351081674363
3,"bea's",0.0139351081674363
3,"beatricebitcher",0.0139351081674363
3,"cartoonish",0.0139351081674363
3,"cathyscott",0.0139351081674363
3,"comic",0.0139351081674363
3,"ff",0.0139351081674363
3,"job",0.0139351081674363
3,"mock",0.0139351081674363
3,"pair",0.0139351081674363
3,"prickman",0.0139351081674363
3,"quite",0.0139351081674363
3,"relief",0.0139351081674363
3,"richardprickman",0.0139351081674363
3,"love",0.0139351081674363
3,"bach",0.0139351081674363
