"topic","term","beta"
1,"gonna",0.0555555555555556
1,"hope",0.037037037037037
1,"old",0.037037037037037
1,"im",0.037037037037037
1,"take",0.037037037037037
1,"oradventurist",0.037037037037037
1,"week",0.037037037037037
1,"like",0.0185185185185185
1,"bus",0.0185185185185185
1,"thanks",0.0185185185185185
1,"geocaching",0.0185185185185185
1,"see",0.0185185185185185
1,"get",0.0185185185185185
1,"costumes",0.0185185185185185
1,"donates",0.0185185185185185
1,"gaga",0.0185185185185185
1,"homeless",0.0185185185185185
1,"lady",0.0185185185185185
1,"shelters",0.0185185185185185
1,"wtf",0.0185185185185185
1,"cuz",0.0185185185185185
1,"haha",0.0185185185185185
1,"fml",0.0185185185185185
1,"lksd",0.0185185185185185
1,"school",0.0185185185185185
1,"ugh",0.0185185185185185
1,"waitibg",0.0185185185185185
1,"yes",0.0185185185185185
1,"friends",0.0185185185185185
1,"thoer",0.0185185185185185
1,"weekend",0.0185185185185185
1,"twitter",0.0185185185185185
1,"boss",0.0185185185185185
1,"gqotd",0.0185185185185185
1,"thebadcop",0.0185185185185185
1,"3amsuf",0.0185185185185185
1,"child",0.0185185185185185
1,"fit",0.0185185185185185
1,"make",0.0185185185185185
1,"outside",0.0185185185185185
1,"perfect",0.0185185185185185
1,"plans",0.0185185185185185
1,"via",0.0185185185185185
1,"btw",0.0185185185185185
1,"ff",0.0185185185185185
1,"last",0.0185185185185185
2,"travelcoosbay",0.0638297872340426
2,"just",0.0425531914893617
2,"session",0.0425531914893617
2,"love",0.0425531914893617
2,"coffee",0.0212765957446809
2,"brag",0.0212765957446809
2,"conference",0.0212765957446809
2,"esto09",0.0212765957446809
2,"geocache",0.0212765957446809
2,"geocacheor",0.0212765957446809
2,"got",0.0212765957446809
2,"locals",0.0212765957446809
2,"mention",0.0212765957446809
2,"niche",0.0212765957446809
2,"sat",0.0212765957446809
2,"thx4",0.0212765957446809
2,"geocaching",0.0212765957446809
2,"highlights",0.0212765957446809
2,"see",0.0212765957446809
2,"group",0.0212765957446809
2,"anytime",0.0212765957446809
2,"forward",0.0212765957446809
2,"geo",0.0212765957446809
2,"geocoin",0.0212765957446809
2,"hearing",0.0212765957446809
2,"join",0.0212765957446809
2,"look",0.0212765957446809
2,"progress",0.0212765957446809
2,"project",0.0212765957446809
2,"want",0.0212765957446809
2,"advertise",0.0212765957446809
2,"get",0.0212765957446809
2,"go",0.0212765957446809
2,"iff",0.0212765957446809
2,"lil",0.0212765957446809
2,"lol",0.0212765957446809
2,"paid",0.0212765957446809
2,"people",0.0212765957446809
2,"place",0.0212765957446809
2,"sal_aka_playz",0.0212765957446809
2,"thing",0.0212765957446809
2,"yea",0.0212765957446809
3,"next",0.0540540540540541
3,"good",0.0540540540540541
3,"already",0.027027027027027
3,"bookmarked",0.027027027027027
3,"day",0.027027027027027
3,"gpsfix",0.027027027027027
3,"perusing",0.027027027027027
3,"thanks",0.027027027027027
3,"wiki",0.027027027027027
3,"sitting",0.027027027027027
3,"cuz",0.027027027027027
3,"fat",0.027027027027027
3,"ass",0.027027027027027
3,"german",0.027027027027027
3,"girl",0.027027027027027
3,"haha",0.027027027027027
3,"hes",0.027027027027027
3,"hot",0.027027027027027
3,"kid",0.027027027027027
3,"lawl",0.027027027027027
3,"now",0.027027027027027
3,"pissed",0.027027027027027
3,"retard",0.027027027027027
3,"sit",0.027027027027027
3,"use",0.027027027027027
3,"via",0.027027027027027
3,"also",0.027027027027027
3,"blog",0.027027027027027
3,"fire",0.027027027027027
3,"odf",0.027027027027027
3,"rrsnf",0.027027027027027
3,"swofire",0.027027027027027
3,"swofire.blogspot.com",0.027027027027027
3,"twitters",0.027027027027027
3,"update",0.027027027027027
4,"like",0.0625
4,"gonna",0.0208333333333333
4,"love",0.0208333333333333
4,"get",0.0208333333333333
4,"imma",0.0208333333333333
4,"catalog",0.0208333333333333
4,"https",0.0208333333333333
4,"index.aspx",0.0208333333333333
4,"us",0.0208333333333333
4,"zunestore.net",0.0208333333333333
4,"bitch",0.0208333333333333
4,"celebrity",0.0208333333333333
4,"dont",0.0208333333333333
4,"feel",0.0208333333333333
4,"know",0.0208333333333333
4,"dick",0.0208333333333333
4,"barack",0.0208333333333333
4,"barackobama",0.0208333333333333
4,"following",0.0208333333333333
4,"isnt",0.0208333333333333
4,"obama",0.0208333333333333
4,"twitter.com",0.0208333333333333
4,"annoying",0.0208333333333333
4,"ass",0.0208333333333333
4,"earlier",0.0208333333333333
4,"fucken",0.0208333333333333
4,"g",0.0208333333333333
4,"guh",0.0208333333333333
4,"morning",0.0208333333333333
4,"walki",0.0208333333333333
4,"twitpic.com",0.0208333333333333
4,"b",0.0208333333333333
4,"dark",0.0208333333333333
4,"happens",0.0208333333333333
4,"ibd92",0.0208333333333333
4,"little",0.0208333333333333
4,"set",0.0208333333333333
4,"straight",0.0208333333333333
4,"t",0.0208333333333333
4,"teardrop",0.0208333333333333
4,"trailer",0.0208333333333333
4,"avatar",0.0208333333333333
4,"back",0.0208333333333333
4,"background",0.0208333333333333
4,"hey",0.0208333333333333
4,"twitter",0.0208333333333333
5,"coffee",0.0638297872340426
5,"new",0.0425531914893617
5,"400t",0.0212765957446809
5,"far",0.0212765957446809
5,"finally",0.0212765957446809
5,"garmin",0.0212765957446809
5,"loving",0.0212765957446809
5,"oregon",0.0212765957446809
5,"pulled",0.0212765957446809
5,"trigger",0.0212765957446809
5,"day",0.0212765957446809
5,"bay",0.0212765957446809
5,"coos",0.0212765957446809
5,"cruzin",0.0212765957446809
5,"stretchin",0.0212765957446809
5,"turner",0.0212765957446809
5,"want",0.0212765957446809
5,"10pm",0.0212765957446809
5,"8pm",0.0212765957446809
5,"hd",0.0212765957446809
5,"realworld",0.0212765957446809
5,"reunion",0.0212765957446809
5,"today",0.0212765957446809
5,"watch",0.0212765957446809
5,"shouldnt",0.0212765957446809
5,"smoke",0.0212765957446809
5,"wovmy",0.0212765957446809
5,"aie",0.0212765957446809
5,"car",0.0212765957446809
5,"moms",0.0212765957446809
5,"tweeting",0.0212765957446809
5,"way",0.0212765957446809
5,"23nte",0.0212765957446809
5,"bridge",0.0212765957446809
5,"celebrate",0.0212765957446809
5,"estuaries",0.0212765957446809
5,"geocaches",0.0212765957446809
5,"hunt",0.0212765957446809
5,"national",0.0212765957446809
5,"several",0.0212765957446809
5,"slough",0.0212765957446809
5,"south",0.0212765957446809
5,"trail",0.0212765957446809
5,"trunc.it",0.0212765957446809
6,"oregon",0.0454545454545455
6,"geocaching",0.0454545454545455
6,"is.gd",0.0454545454545455
6,"theres",0.0227272727272727
6,"want",0.0227272727272727
6,"bitch",0.0227272727272727
6,"anyone",0.0227272727272727
6,"going",0.0227272727272727
6,"help",0.0227272727272727
6,"im",0.0227272727272727
6,"run",0.0227272727272727
6,"seat",0.0227272727272727
6,"sitting",0.0227272727272727
6,"train",0.0227272727272727
6,"wtf",0.0227272727272727
6,"3lmor",0.0227272727272727
6,"along",0.0227272727272727
6,"coast",0.0227272727272727
6,"issue",0.0227272727272727
6,"mentioned",0.0227272727272727
6,"oradventurist",0.0227272727272727
6,"sept",0.0227272727272727
6,"3q57y",0.0227272727272727
6,"activities",0.0227272727272727
6,"check",0.0227272727272727
6,"forum",0.0227272727272727
6,"great",0.0227272727272727
6,"paddlers",0.0227272727272727
6,"resource",0.0227272727272727
6,"southern",0.0227272727272727
6,"alfred",0.0227272727272727
6,"chetco",0.0227272727272727
6,"getaway",0.0227272727272727
6,"ibcty",0.0227272727272727
6,"loeb",0.0227272727272727
6,"park",0.0227272727272727
6,"photography",0.0227272727272727
6,"river",0.0227272727272727
6,"state",0.0227272727272727
6,"twitpic.com",0.0227272727272727
6,"weekend",0.0227272727272727
7,"theres",0.0454545454545455
7,"lol",0.0454545454545455
7,"hot",0.0454545454545455
7,"geocaching",0.0227272727272727
7,"get",0.0227272727272727
7,"people",0.0227272727272727
7,"bunch",0.0227272727272727
7,"calls",0.0227272727272727
7,"imma",0.0227272727272727
7,"random",0.0227272727272727
7,"shit",0.0227272727272727
7,"seat",0.0227272727272727
7,"akward",0.0227272727272727
7,"cuz",0.0227272727272727
7,"everyones",0.0227272727272727
7,"makes",0.0227272727272727
7,"ruin",0.0227272727272727
7,"seats",0.0227272727272727
7,"take",0.0227272727272727
7,"things",0.0227272727272727
7,"now",0.0227272727272727
7,"school",0.0227272727272727
7,"bitchs",0.0227272727272727
7,"come",0.0227272727272727
7,"grossmont",0.0227272727272727
7,"obviously",0.0227272727272727
7,"something",0.0227272727272727
7,"stuck",0.0227272727272727
7,"thier",0.0227272727272727
7,"yes",0.0227272727272727
7,"great",0.0227272727272727
7,"via",0.0227272727272727
7,"application",0.0227272727272727
7,"currently",0.0227272727272727
7,"exposure",0.0227272727272727
7,"iphone",0.0227272727272727
7,"itunes",0.0227272727272727
7,"kudos",0.0227272727272727
7,"listed",0.0227272727272727
7,"locuslingua",0.0227272727272727
7,"sweet",0.0227272727272727
8,"dog",0.0512820512820513
8,"fucking",0.0512820512820513
8,"like",0.0256410256410256
8,"geocaching",0.0256410256410256
8,"around",0.0256410256410256
8,"bfek6b",0.0256410256410256
8,"brookings",0.0256410256410256
8,"campfire",0.0256410256410256
8,"fun",0.0256410256410256
8,"group",0.0256410256410256
8,"loads",0.0256410256410256
8,"schmap.me",0.0256410256410256
8,"dick",0.0256410256410256
8,"jmiles_90",0.0256410256410256
8,"size",0.0256410256410256
8,"bored",0.0256410256410256
8,"cube",0.0256410256410256
8,"give",0.0256410256410256
8,"rubix",0.0256410256410256
8,"waiting",0.0256410256410256
8,"fat",0.0256410256410256
8,"fuck",0.0256410256410256
8,"hoes",0.0256410256410256
8,"alfred",0.0256410256410256
8,"chetco",0.0256410256410256
8,"river",0.0256410256410256
8,"twitpic.com",0.0256410256410256
8,"sp",0.0256410256410256
8,"derby",0.0256410256410256
8,"duck",0.0256410256410256
8,"exciting",0.0256410256410256
8,"iheio",0.0256410256410256
8,"loab",0.0256410256410256
8,"rivers",0.0256410256410256
8,"watching",0.0256410256410256
8,"wild",0.0256410256410256
8,"wildly",0.0256410256410256
9,"bus",0.08
9,"schmap.me",0.04
9,"cajon",0.04
9,"el",0.04
9,"gotta",0.04
9,"min",0.04
9,"sdsu",0.04
9,"ten",0.04
9,"wait",0.04
9,"loeb",0.04
9,"barnacle",0.04
9,"beach",0.04
9,"bistro",0.04
9,"bride",0.04
9,"catch",0.04
9,"dinner",0.04
9,"early",0.04
9,"gold",0.04
9,"hoping",0.04
9,"pics",0.04
9,"returning",0.04
9,"sp",0.04
9,"sunset",0.04
9,"tvq7d8",0.04
