"topic","term","beta"
1,"dentist",0.0588235294117647
1,"going",0.0588235294117647
1,"morning",0.0588235294117647
1,"tomorrow",0.0588235294117647
1,"apart",0.0588235294117647
1,"blessed",0.0588235294117647
1,"church",0.0588235294117647
1,"great",0.0588235294117647
1,"hillside",0.0588235294117647
1,"ministries",0.0588235294117647
1,"night",0.0588235294117647
1,"tonight",0.0588235294117647
1,"heaven",0.0588235294117647
1,"jesus",0.0588235294117647
1,"know",0.0588235294117647
1,"loves",0.0588235294117647
1,"way",0.0588235294117647
2,"plan",0.19047619047619
2,"always",0.0952380952380952
2,"better",0.0952380952380952
2,"church",0.0476190476190476
2,"go's",0.0476190476190476
2,"god's",0.0476190476190476
2,"sermon",0.0476190476190476
2,"challenge",0.0476190476190476
2,"finished",0.0476190476190476
2,"forward",0.0476190476190476
2,"live",0.0476190476190476
2,"looking",0.0476190476190476
2,"month",0.0476190476190476
2,"one",0.0476190476190476
2,"weekend",0.0476190476190476
2,"wide",0.0476190476190476
3,"lampasa",0.1
3,"101.9",0.1
3,"dawgs",0.1
3,"eagles",0.1
3,"fm",0.1
3,"getting",0.1
3,"kdhpressbox.com",0.1
3,"radio",0.1
3,"ready",0.1
3,"tune",0.1
4,"city",0.0714285714285714
4,"club",0.0714285714285714
4,"coming",0.0714285714285714
4,"copperas",0.0714285714285714
4,"cove's",0.0714285714285714
4,"good",0.0714285714285714
4,"heard",0.0714285714285714
4,"just",0.0714285714285714
4,"lions",0.0714285714285714
4,"looks",0.0714285714285714
4,"meeting",0.0714285714285714
4,"new",0.0714285714285714
4,"police",0.0714285714285714
4,"station",0.0714285714285714
5,"today",0.153846153846154
5,"changes",0.0769230769230769
5,"finishing",0.0769230769230769
5,"god",0.0769230769230769
5,"preparation",0.0769230769230769
5,"sermon",0.0769230769230769
5,"unless",0.0769230769230769
5,"differently",0.0769230769230769
5,"daughter",0.0769230769230769
5,"doctors",0.0769230769230769
5,"office",0.0769230769230769
5,"stephanie",0.0769230769230769
6,"lampasas",0.153846153846154
6,"tonight",0.0769230769230769
6,"cove",0.0769230769230769
6,"game",0.0769230769230769
6,"gatesville",0.0769230769230769
6,"half",0.0769230769230769
6,"play",0.0769230769230769
6,"watching",0.0769230769230769
6,"thangggggggggggg",0.0769230769230769
6,"tryin",0.0769230769230769
6,"twiitter",0.0769230769230769
6,"whole",0.0769230769230769
7,"baylor",0.176470588235294
7,"robert",0.117647058823529
7,"husband",0.0588235294117647
7,"long",0.0588235294117647
7,"mssing",0.0588235294117647
7,"now",0.0588235294117647
7,"wont",0.0588235294117647
7,"game",0.0588235294117647
7,"ucon",0.0588235294117647
7,"allowing",0.0588235294117647
7,"finally",0.0588235294117647
7,"griffen",0.0588235294117647
7,"griffin",0.0588235294117647
7,"scored",0.0588235294117647
8,"fun",0.272727272727273
8,"going",0.0909090909090909
8,"jesus",0.0909090909090909
8,"apple",0.0909090909090909
8,"store",0.0909090909090909
8,"today",0.0909090909090909
8,"love",0.0909090909090909
8,"fam",0.0909090909090909
8,"lovin",0.0909090909090909
8,"dentist",3.72007597602084e-44
8,"morning",3.72007597602084e-44
8,"tomorrow",3.72007597602084e-44
8,"always",3.72007597602084e-44
8,"better",3.72007597602084e-44
8,"go's",3.72007597602084e-44
8,"god's",3.72007597602084e-44
8,"cove",3.72007597602084e-44
8,"game",3.72007597602084e-44
8,"lampasa",3.72007597602084e-44
8,"ucon",3.72007597602084e-44
8,"differently",3.72007597602084e-44
8,"3rd",3.72007597602084e-44
8,"quarter",3.72007597602084e-44
9,"cove",0.15
9,"ellison",0.15
9,"killeen",0.1
9,"half",0.05
9,"eagles",0.05
9,"1st",0.05
9,"bulldawgs",0.05
9,"left",0.05
9,"buckley",0.05
9,"leo",0.05
9,"stadium",0.05
9,"time",0.05
9,"tx",0.05
9,"3rd",0.05
9,"quarter",0.05
