"topic","term","beta"
1,"shazam",0.255319148936172
1,"used",0.127659574468086
1,"discover",0.127659574468086
1,"yo",0.0425531914893559
1,"ne",0.0319148936170215
1,"feat",0.0319148936170215
1,"slow",0.021276595744681
1,"usher",0.021276595744681
1,"mad",0.021276595744681
1,"lil",0.021276595744681
2,"called",0.0540540540540541
2,"new",0.0540540540540541
2,"make",0.0540540540540541
2,"video",0.027027027027027
2,"bullet",0.027027027027027
2,"check",0.027027027027027
2,"etcr8",0.027027027027027
2,"magic",0.027027027027027
2,"twitpic.com",0.027027027027027
2,"bodies",0.027027027027027
2,"channels",0.027027027027027
2,"episode",0.027027027027027
2,"flipping",0.027027027027027
2,"found",0.027027027027027
2,"kids",0.027027027027027
2,"lol",0.027027027027027
2,"pajanimals",0.027027027027027
2,"show",0.027027027027027
2,"tired",0.027027027027027
2,"6,000",0.027027027027027
2,"blobstudios",0.027027027027027
2,"might",0.027027027027027
2,"play",0.027027027027027
2,"subscribers",0.027027027027027
2,"yoda",0.027027027027027
2,"going",0.027027027027027
2,"ktlovesddub",0.027027027027027
2,"better",0.027027027027027
2,"enjoying",0.027027027027027
2,"feel",0.027027027027027
2,"gym",0.027027027027027
2,"hurt",0.027027027027027
2,"lie",0.027027027027027
2,"ww",0.027027027027027
3,"twugs",0.140350877224174
3,"donniewahlberg",0.0701754383898487
3,"go",0.0526315789590652
3,"love",0.0526315789590652
3,"day",0.0350877193060434
3,"donniedollgirl",0.0350877193060434
3,"twisses",0.0350877193060434
3,"video",0.0175438596530217
3,"lol",0.0175438596530217
3,"tired",0.0175438596530217
3,"today",0.0175438596530217
3,"averyring",0.0175438596530217
3,"channel",0.0175438596530217
3,"done",0.0175438596530217
3,"info",0.0175438596530217
3,"user",0.0175438596530217
3,"www.youtube.com",0.0175438596530217
3,"take",0.0175438596530217
3,"tweet",0.0175438596530217
3,"girl",0.0175438596530217
3,"thank",0.0175438596530217
3,"care",0.0175438596530217
3,"babes",0.0175438596530217
3,"donnie",0.0175438596530217
3,"muah",0.0175438596530217
3,"bbl",0.0175438596530217
3,"folks",0.0175438596530217
3,"want",0.0175438596530217
3,"find",0.0175438596530217
3,"stored",0.0175438596530217
3,"us",0.0175438596530217
3,"wait",0.0175438596530217
3,"cause",0.0175438596530217
3,"coming",0.0175438596530217
3,"die",0.0175438596530217
3,"friday",0.0175438596530217
3,"lots",0.0175438596530217
3,"twove",0.0175438596530217
3,"way",0.0175438596530217
3,"woo",0.0175438596530217
4,"night",0.0625000352517057
4,"got",0.0625000163520927
4,"just",0.0624994901240279
4,"donniedollgirl",0.0416666901678038
4,"tweet",0.0416666901678038
4,"school",0.0208333450839019
4,"get",0.0208333450839019
4,"early",0.0208333450839019
4,"hate",0.0208333450839019
4,"used",0.0208333450839019
4,"waking",0.0208333450839019
4,"one",0.0208333450839019
4,"another",0.0208333450839019
4,"bloody",0.0208333450839019
4,"nose",0.0208333450839019
4,"third",0.0208333450839019
4,"week",0.0208333450839019
4,"fl",0.0208333450839019
4,"loopt.us",0.0208333450839019
4,"sanford",0.0208333450839019
4,"made",0.0208333450839019
4,"w",0.0208333450839019
4,"54svsa.t",0.0208333450839019
4,"5am",0.0208333450839019
4,"angel",0.0208333450839019
4,"awake",0.0208333450839019
4,"bed",0.0208333450839019
4,"cuz",0.0208333450839019
4,"fall",0.0208333450839019
4,"hog",0.0208333450839019
4,"sleeping",0.0208333450839019
4,"hey",0.0208333450839019
4,"missed",0.0208333450839019
4,"nope",0.0208333450839019
4,"ya",0.0208333450839019
4,"wonderful",0.0208333450839019
4,"can",0.0208333450839019
4,"graveyard",0.0208333450839019
4,"kill",0.0208333450839019
4,"shift",0.0208333450839019
5,"today",0.0888888354108081
5,"force",0.0666666265581061
5,"video",0.044444417705404
5,"gonna",0.044444417705404
5,"lose",0.044444417705404
5,"script",0.044444417705404
5,"writing",0.044444417705404
5,"called",0.022222208852702
5,"day",0.022222208852702
5,"except",0.022222208852702
5,"get",0.022222208852702
5,"like",0.022222208852702
5,"use",0.022222208852702
5,"lol",0.022222208852702
5,"went",0.022222208852702
5,"audio",0.022222208852702
5,"darth",0.022222208852702
5,"finished",0.022222208852702
5,"now",0.022222208852702
5,"o_o",0.022222208852702
5,"tough",0.022222208852702
5,"vader",0.022222208852702
5,"voice",0.022222208852702
5,"phone",0.022222208852702
5,"3oh3",0.022222208852702
5,"alarms",0.022222208852702
