"topic","term","beta"
1,"now",0.0525779496858049
1,"get",0.0435290242537163
1,"rock",0.0259887136907957
1,"vote",0.0240515504877184
1,"music",0.0239895818684118
1,"metal",0.0219904500460579
1,"alternative",0.0179921864013201
1,"friends",0.0142262023433
1,"soul",0.013993922756582
1,"download",0.0119947909342134
2,"national",0.0225473789670127
2,"news",0.0195039152845951
2,"need",0.0149180391991228
2,"rt",0.0109766536271686
2,"flood",0.00980332693236116
2,"matthewfarr",0.00980332693236116
2,"think",0.00947888046231114
2,"take",0.00879546328915639
2,"added",0.00784266154588893
2,"alert",0.00686232885265281
3,"wrcbtraffic",0.0173698740079018
3,"water",0.0173698731157978
3,"much",0.0125449003921925
3,"rd",0.0106149230047789
3,"closed",0.0105330178772185
3,"hwy",0.00964993000438989
3,"think",0.00787110841818059
3,"co",0.00771985020550817
3,"sick",0.00771984087031084
3,"really",0.00760629188769721
4,"new",0.0160645143852594
4,"love",0.014590354928327
4,"check",0.010089498185652
4,"like",0.00865677683703695
4,"mind",0.0081403913322118
4,"big",0.00766955946121705
4,"flooding",0.00712284287261672
4,"wow",0.00712284287098637
4,"site",0.00712284286417645
4,"working",0.00712210583794069
5,"rt",0.045499877663392
5,"ow.ly",0.0275832247518212
5,"u",0.014267783380908
5,"brittanygates",0.0133165817888845
5,"re",0.0123654122714166
5,"know",0.0114766694362824
5,"today",0.00948141081120315
5,"consumerfinance",0.00856067003478742
5,"gezzi",0.00832631917895915
5,"go",0.00770513999361031
6,"can",0.0291919097061656
6,"just",0.0245824542330595
6,"now",0.0208560362720634
6,"make",0.0160550370697362
6,"get",0.0145571135206485
6,"sure",0.0107044185787672
6,"one",0.009428156347232
6,"stop",0.00802831477176566
6,"come",0.00795023787262905
6,"pm",0.00713627979712503
7,"day",0.0165311571417844
7,"rain",0.0162401702856216
7,"last",0.0127613614486867
7,"chattanooga",0.0126319821917603
7,"free",0.0126038010558777
7,"back",0.0116240765807364
7,"going",0.0110775456386247
7,"times",0.010827414429013
7,"good",0.0104538152461458
7,"ass",0.0103994581856748
8,"rt",0.01349848344182
8,"day",0.0129681699158609
8,"freelilboosie",0.00951379468505166
8,"tonight",0.00845670638671259
8,"one",0.0083391035789355
8,"old",0.00712537646234497
8,"tweets",0.00634252979003443
8,"stokely706",0.00634252978742468
8,"find",0.00634252978244102
8,"miss",0.00634251585380912
9,"f",0.0336917892273926
9,"chattanooga",0.0254391880481938
9,"cloudy",0.0240655637338518
9,"tn",0.0240642668472326
9,"pressure",0.0221403181263034
9,"field",0.0211776960857896
9,"lovell",0.0202150735364355
9,"cy.htm",0.0192524509870815
9,"s1z.us",0.0192524509870815
9,"winds",0.0192524509870815
