"topic","term","beta"
1,"stop",0.117647058823529
1,"rt",0.0882352941176471
1,"supporting",0.0588235294117647
1,"circus",0.0588235294117647
1,"pizzahut",0.0588235294117647
1,"1kk0dg",0.0294117647058823
1,"action4ifaw",0.0294117647058823
1,"city",0.0294117647058823
1,"dogs",0.0294117647058823
1,"hanzhong",0.0294117647058823
1,"ifaw",0.0294117647058823
1,"killing",0.0294117647058823
1,"urges",0.0294117647058823
1,"act.ly",0.0294117647058823
1,"actly",0.0294117647058823
1,"beating",0.0294117647058823
1,"dk",0.0294117647058823
1,"elephant",0.0294117647058823
1,"officialpeta",0.0294117647058823
1,"petition",0.0294117647058823
1,"ringling’s",0.0294117647058823
1,"sign",0.0294117647058823
1,"sponsoring",0.0294117647058823
1,"abuse",0.0294117647058823
1,"animal",0.0294117647058823
1,"ringling's",0.0294117647058823
2,"scarlettwinterr",0.0526315789473684
2,"g1",0.0526315789473684
2,"get",0.0526315789473684
2,"omg",0.0263157894736842
2,"interesting",0.0263157894736842
2,"come",0.0263157894736842
2,"begining",0.0263157894736842
2,"everything",0.0263157894736842
2,"gotten",0.0263157894736842
2,"mo",0.0263157894736842
2,"t",0.0263157894736842
2,"lol",0.0263157894736842
2,"tmobile",0.0263157894736842
2,"things",0.0263157894736842
2,"gonna",0.0263157894736842
2,"hell",0.0263157894736842
2,"peaks",0.0263157894736842
2,"picked",0.0263157894736842
2,"time",0.0263157894736842
2,"twin",0.0263157894736842
2,"blackittyblack",0.0263157894736842
2,"cinncinati",0.0263157894736842
2,"detriot",0.0263157894736842
2,"south",0.0263157894736842
2,"turn",0.0263157894736842
2,"apple",0.0263157894736842
2,"anyday",0.0263157894736842
2,"anytime",0.0263157894736842
2,"phone",0.0263157894736842
2,"short",0.0263157894736842
2,"triumphs",0.0263157894736842
2,"ask",0.0263157894736842
2,"dare",0.0263157894736842
2,"much",0.0263157894736842
2,"pay",0.0263157894736842
3,"bmarie82",0.032258064516129
3,"alex",0.032258064516129
3,"ate",0.032258064516129
3,"call",0.032258064516129
3,"coaxing",0.032258064516129
3,"food",0.032258064516129
3,"going",0.032258064516129
3,"little",0.032258064516129
3,"needs",0.032258064516129
3,"still",0.032258064516129
3,"today",0.032258064516129
3,"tomorrow",0.032258064516129
3,"vet",0.032258064516129
3,"gnight",0.032258064516129
3,"cult",0.032258064516129
3,"excited",0.032258064516129
3,"joining",0.032258064516129
3,"omg",0.032258064516129
3,"twitterberry",0.032258064516129
3,"www.crackberry.com",0.032258064516129
3,"cranky",0.032258064516129
3,"eyes",0.032258064516129
3,"lil",0.032258064516129
3,"look",0.032258064516129
3,"mileycyrus",0.032258064516129
3,"puppy",0.032258064516129
3,"smile",0.032258064516129
3,"someone",0.032258064516129
3,"kstephenserc",0.032258064516129
3,"good",0.032258064516129
3,"luck",0.032258064516129
4,"owe",0.049999999851284
4,"us",0.049999999851284
4,"sounds",0.049999999851284
4,"rt",0.024999999925642
4,"animals",0.024999999925642
4,"community",0.024999999925642
4,"help",0.024999999925642
4,"jdbff",0.024999999925642
4,"missionorange",0.024999999925642
4,"ways",0.024999999925642
4,"god",0.024999999925642
4,"awww",0.024999999925642
4,"happened",0.024999999925642
