"topic","term","beta"
1,"blue",0.125
1,"dreary",0.125
1,"feeling",0.125
1,"little",0.125
1,"monday",0.125
1,"funk",0.125
1,"sinus",0.125
1,"sucks",0.125
1,"1.0",3.72007597602084e-44
1,"3uov9j",3.72007597602084e-44
1,"check",3.72007597602084e-44
1,"swidget",3.72007597602084e-44
1,"w",3.72007597602084e-44
1,"wbx.me",3.72007597602084e-44
1,"widgetbox",3.72007597602084e-44
1,"half",3.72007597602084e-44
1,"dreamland",3.72007597602084e-44
1,"feel",3.72007597602084e-44
1,"hopefully",3.72007597602084e-44
1,"productive",3.72007597602084e-44
1,"tomorrow",3.72007597602084e-44
1,"3usm04",3.72007597602084e-44
1,"work",3.72007597602084e-44
1,"jonnye",3.72007597602084e-44
1,"refer",3.72007597602084e-44
1,"www.swagbucks.com",3.72007597602084e-44
1,"3v777h",3.72007597602084e-44
1,"commute",3.72007597602084e-44
1,"dropped",3.72007597602084e-44
1,"kids",3.72007597602084e-44
1,"long",3.72007597602084e-44
1,"now",3.72007597602084e-44
2,"bag",0.2
2,"grab",0.2
2,"listening",0.2
2,"nutsie.com",0.2
2,"uj2es",0.2
2,"tell",3.20005979663866e-91
2,"teppsercize",3.20005979663866e-91
2,"1.0",1.9990824182394e-91
2,"check",1.99908241823923e-91
2,"swidget",1.99908241823923e-91
3,"half",0.166666666666667
3,"hour",0.166666666666667
3,"longer",0.166666666666667
3,"needed",0.166666666666667
3,"stay",0.166666666666667
3,"work",0.166666666666667
3,"day",3.72007597602084e-44
3,"momma's",3.72007597602084e-44
3,"rest",3.72007597602084e-44
3,"taking",3.72007597602084e-44
3,"tired",3.72007597602084e-44
3,"dreamland",3.72007597602084e-44
3,"feel",3.72007597602084e-44
3,"hopefully",3.72007597602084e-44
3,"productive",3.72007597602084e-44
3,"tomorrow",3.72007597602084e-44
3,"blue",3.72007597602084e-44
3,"dreary",3.72007597602084e-44
3,"feeling",3.72007597602084e-44
3,"little",3.72007597602084e-44
3,"monday",3.72007597602084e-44
3,"breakfast",3.72007597602084e-44
3,"burrito",3.72007597602084e-44
3,"great",3.72007597602084e-44
3,"idea",3.72007597602084e-44
3,"onions",3.72007597602084e-44
3,"jonnye",3.72007597602084e-44
3,"refer",3.72007597602084e-44
3,"www.swagbucks.com",3.72007597602084e-44
3,"3v777h",3.72007597602084e-44
3,"commute",3.72007597602084e-44
3,"dropped",3.72007597602084e-44
3,"kids",3.72007597602084e-44
3,"long",3.72007597602084e-44
3,"now",3.72007597602084e-44
4,"day",0.125
4,"half",0.125
4,"momma's",0.125
4,"rest",0.125
4,"taking",0.125
4,"tired",0.125
4,"tell",0.125
4,"teppsercize",0.125
4,"1.0",3.72007597602084e-44
4,"3uov9j",3.72007597602084e-44
4,"check",3.72007597602084e-44
4,"swidget",3.72007597602084e-44
4,"w",3.72007597602084e-44
4,"wbx.me",3.72007597602084e-44
4,"widgetbox",3.72007597602084e-44
4,"dreamland",3.72007597602084e-44
4,"feel",3.72007597602084e-44
4,"hopefully",3.72007597602084e-44
4,"productive",3.72007597602084e-44
4,"tomorrow",3.72007597602084e-44
4,"3usm04",3.72007597602084e-44
4,"work",3.72007597602084e-44
4,"blue",3.72007597602084e-44
4,"dreary",3.72007597602084e-44
4,"feeling",3.72007597602084e-44
4,"little",3.72007597602084e-44
4,"monday",3.72007597602084e-44
4,"jonnye",3.72007597602084e-44
4,"refer",3.72007597602084e-44
4,"www.swagbucks.com",3.72007597602084e-44
4,"3v777h",3.72007597602084e-44
4,"commute",3.72007597602084e-44
4,"dropped",3.72007597602084e-44
4,"kids",3.72007597602084e-44
4,"long",3.72007597602084e-44
4,"now",3.72007597602084e-44
4,"funk",3.72007597602084e-44
4,"sinus",3.72007597602084e-44
4,"sucks",3.72007597602084e-44
5,"dreamland",0.0909090909090909
5,"feel",0.0909090909090909
5,"hopefully",0.0909090909090909
5,"productive",0.0909090909090909
5,"tomorrow",0.0909090909090909
5,"work",0.0909090909090909
5,"commute",0.0909090909090909
5,"dropped",0.0909090909090909
5,"kids",0.0909090909090909
5,"long",0.0909090909090909
5,"now",0.0909090909090909
6,"breakfast",0.2
6,"burrito",0.2
6,"great",0.2
6,"idea",0.2
6,"onions",0.2
6,"day",3.72007597602084e-44
6,"half",3.72007597602084e-44
6,"momma's",3.72007597602084e-44
6,"rest",3.72007597602084e-44
6,"taking",3.72007597602084e-44
6,"tired",3.72007597602084e-44
6,"dreamland",3.72007597602084e-44
6,"feel",3.72007597602084e-44
6,"hopefully",3.72007597602084e-44
6,"productive",3.72007597602084e-44
6,"tomorrow",3.72007597602084e-44
6,"blue",3.72007597602084e-44
6,"dreary",3.72007597602084e-44
6,"feeling",3.72007597602084e-44
6,"little",3.72007597602084e-44
6,"monday",3.72007597602084e-44
6,"jonnye",3.72007597602084e-44
6,"refer",3.72007597602084e-44
6,"www.swagbucks.com",3.72007597602084e-44
6,"3v777h",3.72007597602084e-44
6,"commute",3.72007597602084e-44
6,"dropped",3.72007597602084e-44
6,"kids",3.72007597602084e-44
6,"long",3.72007597602084e-44
6,"now",3.72007597602084e-44
7,"widgetbox",0.150000000000002
7,"wbx.me",0.15
7,"1.0",0.15
7,"swidget",0.15
7,"check",0.149999999999999
7,"w",0.149999999999998
7,"3uov9j",0.0500000000000008
7,"3usm04",0.0500000000000008
7,"3v777h",2.23029244343773e-28
7,"bag",3.72007597602084e-44
7,"uj2es",3.72007597602084e-44
7,"tell",3.72007597602084e-44
7,"teppsercize",3.72007597602084e-44
8,"jonnye",0.333333333333333
8,"refer",0.333333333333333
8,"www.swagbucks.com",0.333333333333333
8,"day",3.72007597602084e-44
8,"momma's",3.72007597602084e-44
8,"rest",3.72007597602084e-44
8,"taking",3.72007597602084e-44
8,"tired",3.72007597602084e-44
8,"dreamland",3.72007597602084e-44
8,"hopefully",3.72007597602084e-44
8,"productive",3.72007597602084e-44
8,"hour",3.72007597602084e-44
8,"longer",3.72007597602084e-44
8,"needed",3.72007597602084e-44
8,"stay",3.72007597602084e-44
8,"blue",3.72007597602084e-44
8,"dreary",3.72007597602084e-44
8,"feeling",3.72007597602084e-44
8,"little",3.72007597602084e-44
8,"monday",3.72007597602084e-44
8,"breakfast",3.72007597602084e-44
8,"burrito",3.72007597602084e-44
8,"great",3.72007597602084e-44
8,"idea",3.72007597602084e-44
8,"onions",3.72007597602084e-44
8,"commute",3.72007597602084e-44
8,"dropped",3.72007597602084e-44
8,"kids",3.72007597602084e-44
8,"long",3.72007597602084e-44
8,"now",3.72007597602084e-44
9,"3v777h",0.999999999999674
9,"w",8.61483292681134e-14
9,"check",7.64139564780758e-14
9,"swidget",5.6609250355684e-14
9,"1.0",5.24506748873297e-14
9,"wbx.me",4.11073772627957e-14
9,"widgetbox",1.28677105385684e-14
9,"bag",9.87147932760229e-265
9,"grab",9.87147932760229e-265
9,"listening",9.87147932760229e-265
9,"nutsie.com",9.87147932760229e-265
9,"uj2es",9.87147932760229e-265
