"topic","term","beta"
1,"bad",0.0268677757209021
1,"brainerdlakesrealtorrandy.blogspot.com",0.0268677757209021
1,"nothing",0.0179118504806014
1,"check",0.0179118504806014
1,"even",0.0179118504806014
1,"depending",0.0179118504806014
1,"look",0.0179118504806014
1,"might",0.0179118504806014
1,"goes",0.0179118504806014
1,"thanks",0.0179118504806014
1,"tomandmary",0.0179118504806014
1,"can",0.0179118504806014
2,"rt",0.0384615278946907
2,"oh",0.028846145921018
2,"filmmaking",0.0192307639473454
2,"one",0.0192307639473454
2,"totally",0.0192307639473454
2,"typhoidannie",0.0192307639473454
2,"ya",0.0192307639473454
2,"2daysfilmschool",0.0192307639473454
2,"2htsrt",0.0192307639473454
2,"experts",0.0192307639473454
2,"indie",0.0192307639473454
2,"tips",0.0192307639473454
2,"mad",0.0192307639473454
2,"men",0.0192307639473454
2,"mjodirector",0.0192307639473454
2,"time",0.0192307639473454
2,"watch",0.0192307639473454
2,"thanks",0.0192307639473454
2,"list",0.0192307639473454
2,"game",0.0192307639473454
2,"new",0.0192307639473454
3,"gator",0.0227275731928946
3,"really",0.0227275731928946
3,"woodpecker",0.0227275731928946
3,"enjoy",0.0227275731928946
3,"hope",0.0227275731928946
3,"best",0.0227275731928946
3,"twitgoo.com",0.0227275731928946
3,"yard",0.0227275731928946
3,"way",0.0227275731928946
3,"rt",0.0113637865964473
3,"one",0.0113637865964473
3,"great",0.0113637865964473
3,"got",0.0113637865964473
3,"says",0.0113637865964473
3,"think",0.0113637865964473
3,"saw",0.0113637865964473
3,"4th",0.0113637865964473
3,"anyone",0.0113637865964473
3,"family",0.0113637865964473
3,"friends",0.0113637865964473
3,"july",0.0113637865964473
3,"life",0.0113637865964473
3,"precious",0.0113637865964473
3,"promised",0.0113637865964473
3,"safe",0.0113637865964473
3,"tomorrow",0.0113637865964473
3,"earlier",0.0113637865964473
3,"tonight",0.0113637865964473
3,"anything",0.0113637865964473
3,"espn_michelle",0.0113637865964473
3,"face",0.0113637865964473
3,"fans",0.0113637865964473
3,"maybe",0.0113637865964473
3,"meaningless",0.0113637865964473
3,"nation",0.0113637865964473
3,"poll",0.0113637865964473
3,"related",0.0113637865964473
3,"save",0.0113637865964473
3,"seriously",0.0113637865964473
3,"take",0.0113637865964473
3,"tebow",0.0113637865964473
3,"trying",0.0113637865964473
3,"already",0.0113637865964473
3,"dvr",0.0113637865964473
3,"episode",0.0113637865964473
3,"everybody",0.0113637865964473
3,"hey",0.0113637865964473
3,"leverage",0.0113637865964473
3,"set",0.0113637865964473
3,"spread",0.0113637865964473
3,"t47",0.0113637865964473
3,"word",0.0113637865964473
3,"guess",0.0113637865964473
3,"little",0.0113637865964473
3,"twitpic.com",0.0113637865964473
3,"sure",0.0113637865964473
3,"sam",0.0113637865964473
3,"today",0.0113637865964473
3,"grocery",0.0113637865964473
3,"store",0.0113637865964473
3,"forgot",0.0113637865964473
3,"know",0.0113637865964473
3,"mention",0.0113637865964473
3,"push",0.0113637865964473
3,"stroller",0.0113637865964473
3,"whistled",0.0113637865964473
3,"wolf",0.0113637865964473
3,"3a0ax",0.0113637865964473
3,"sunflower",0.0113637865964473
3,"3brxy",0.0113637865964473
3,"blooming",0.0113637865964473
3,"sunflowers",0.0113637865964473
3,"hxzi7",0.0113637865964473
3,"soccer",0.0113637865964473
3,"bird",0.0113637865964473
3,"downy",0.0113637865964473
3,"feeder",0.0113637865964473
3,"suet",0.0113637865964473
4,"film",0.0481927710843373
4,"observe",0.0481927710843373
4,"report",0.0481927710843373
4,"weird",0.036144578313253
4,"coffee",0.0240963855421687
4,"fan",0.0240963855421687
4,"fun",0.0240963855421687
4,"laugh",0.0240963855421687
4,"made",0.0240963855421687
4,"melissapierce",0.0240963855421687
4,"piece",0.0240963855421687
4,"buskerthemovie",0.0240963855421687
4,"get",0.0240963855421687
4,"going",0.0240963855421687
4,"great",0.0240963855421687
4,"looks",0.0240963855421687
4,"now",0.0240963855421687
4,"see",0.0240963855421687
4,"trailer",0.0240963855421687
4,"wondering",0.0240963855421687
4,"watch",0.0240963855421687
4,"gonna",0.0240963855421687
4,"observations",0.0240963855421687
4,"reports",0.0240963855421687
4,"creepy",0.0240963855421687
4,"funish",0.0240963855421687
4,"glad",0.0240963855421687
4,"leave",0.0240963855421687
4,"like",0.0240963855421687
4,"odd",0.0240963855421687
4,"relative",0.0240963855421687
4,"visit",0.0240963855421687
5,"awesome",0.038834812831418
5,"job",0.0291261096235635
5,"think",0.0291261096235635
5,"hopefully",0.019417406415709
5,"rt",0.019417406415709
5,"typhoidannie",0.019417406415709
5,"alyssa_milano",0.019417406415709
5,"commercial",0.019417406415709
5,"nike",0.019417406415709
5,"szrnu",0.019417406415709
5,"unbelievable",0.019417406415709
5,"woooweee",0.019417406415709
5,"time",0.019417406415709
5,"apply",0.019417406415709
5,"even",0.019417406415709
5,"just",0.019417406415709
5,"sounds",0.019417406415709
5,"good",0.019417406415709
5,"double",0.019417406415709
5,"girl",0.019417406415709
5,"imagineuniverse",0.019417406415709
5,"poor",0.019417406415709
5,"need",0.019417406415709
5,"sam",0.019417406415709
5,"hot",0.019417406415709
6,"love",0.03814834673662
6,"much",0.03814834673662
6,"real",0.03814834673662
6,"clairelwasmund",0.0381483021526311
6,"check",0.028611260052465
6,"talk",0.0272172027950205
6,"rt",0.01907417336831
6,"film",0.01907417336831
6,"duluth",0.01907417336831
6,"elaborate",0.01907417336831
6,"hills",0.01907417336831
