"topic","term","beta"
1,"going",0.0233595617604089
1,"want",0.0233595617603487
1,"happy",0.0183114871556904
1,"food",0.0155730411736059
1,"rat",0.0155730411736059
1,"fabric",0.0155730411736059
1,"stretch",0.0155730411736059
1,"just",0.0155730411736059
1,"doll",0.0155730411736059
1,"fun",0.0155730411736059
1,"game",0.0155730411736059
1,"ish",0.0155730411736059
1,"rag",0.0155730411736059
1,"spore",0.0155730411736059
1,"thesims3",0.0155730411736059
1,"thing",0.0155730411736059
1,"house",0.0155730411736059
1,"mom",0.0155730411736059
1,"need",0.0155730411736059
1,"petstore",0.0155730411736059
1,"told",0.0155730411736059
1,"ichc",0.0155730411736059
1,"lol",0.0155730411736059
1,"sometyms",0.0155730411736059
1,"tw",0.0155730411736059
1,"twlol.com",0.0155730411736059
1,"v1",0.0155730411736059
1,"trigfox",0.0155730411736059
1,"vegetables",0.0155730411736059
1,"worms",0.0155730411736059
2,"hug",0.0437802045401512
2,"back",0.0437754501313973
2,"send",0.0375258896058439
2,"one",0.0375258896058439
2,"oh",0.0310824399227411
2,"food",0.0250172597372292
2,"rat",0.0250172597372292
2,"vegetarian",0.0250172597372292
2,"day",0.0250172597372292
2,"gypsy",0.0250172597372292
3,"zombie",0.0492734298189194
3,"like",0.0492734255909102
3,"kylie",0.0328489532126129
3,"approve",0.0328489532126129
3,"j",0.0328489532126129
3,"jeffreestar",0.0328489532126129
3,"punched",0.0328489532126129
3,"guess",0.032834856862871
3,"swear",0.0246367149094597
3,"classic",0.0246367149094597
4,"gypsy",0.072325557829059
4,"can",0.0289302236017207
4,"get",0.0192868157344805
4,"enough",0.0144651118008604
4,"hate",0.0144651118008604
4,"think",0.0144651118008604
4,"one",0.0144651117785136
4,"almost",0.0144651117239724
4,"makes",0.014464945177305
4,"another",0.0111189654557687
5,"skate3",0.0368030981970665
5,"make",0.0262897839466077
5,"gonna",0.0262897839466064
5,"going",0.0210318271572862
5,"electroqueen",0.0210318271572862
5,"call",0.0210318271518151
5,"tonight",0.0210318269922744
5,"work",0.0210318265814728
5,"know",0.0157738703679646
5,"since",0.0157738703679646
5,"night",0.0157738703679646
5,"come",0.0157738703679646
5,"im",0.0157738703679646
6,"tomorrow",0.0261688622604463
6,"car",0.0190162768186448
6,"work",0.0174757588451985
6,"fixed",0.0174757588425343
6,"grades",0.0174740801479524
6,"happy",0.0159392280855197
6,"morning",0.0131068191338989
6,"lunch",0.0131068191338989
6,"pack",0.0131068191338989
6,"go",0.0131068191338833
7,"skate3",0.0292580181494432
7,"today",0.02430843151486
7,"friends",0.0195053454329621
7,"hc2go.com",0.0195053454329621
7,"prices",0.0195053454329621
7,"aprons",0.0195053454329621
7,"coats",0.0195053454329621
7,"headwear",0.0195053454329621
7,"pants",0.0195053454329621
7,"regular",0.0195053454329621
7,"september09",0.0195053454329621
8,"time",0.0642079697635272
8,"hc2go.com",0.0572670533406893
8,"limited",0.0572670533403945
8,"offer",0.0536878625068963
8,"special",0.03579190833793
8,"price",0.0322127175041381
8,"cotton",0.028633526670345
8,"low",0.0250543043650638
8,"chef",0.0250530839668709
8,"white",0.0214751450024023
9,"finally",0.0281720436562878
9,"pm",0.0234767030469065
9,"tonight",0.0234767015854118
9,"time",0.0187523639402834
9,"night",0.0182380466975765
9,"since",0.0140860218281439
9,"dinner",0.0140860218281439
9,"headin",0.0140860218281439
9,"hell",0.0140860218281439
9,"bed",0.0140860218281439
9,"early",0.0140860218281439
9,"skate3",0.0140860218281439
9,"excited",0.0140860218281439
