"topic","term","beta"
1,"d",0.0428465732741089
1,"miss",0.0171386293096435
1,"tonight",0.0171386293096435
1,"love",0.0165980458654333
1,"class",0.0128539719822327
1,"twitter",0.0128539719822327
1,"life",0.0128539719822327
1,"waiting",0.0128539719822327
1,"time",0.0128539719822326
1,"day",0.0108479508879063
2,"oh",0.0734265709941584
2,"airport",0.066433566607966
2,"south",0.066433566607966
2,"cleveland",0.0629370631022836
2,"ea.htm",0.0629370631022836
2,"f",0.0629370631022836
2,"hopkins",0.0629370631022836
2,"international",0.0629370631022836
2,"kt",0.0629370631022836
2,"mph",0.0629370631022836
2,"s1z.us",0.0629370631022836
2,"winds",0.0629370631022836
3,"w",0.0884500985983628
3,"b",0.0633797789588913
3,"left",0.0380278673753542
3,"hiram",0.0338025487780926
3,"oberlin",0.0220783656755285
3,"x",0.0169012743890463
3,"1st",0.0169012743890463
3,"showers",0.0126759557917847
3,"je",0.00845063719452314
3,"need",0.00845063719452314
3,"erinfoxe",0.00845063719452314
3,"north",0.00845063719452314
3,"states",0.00845063719452314
3,"yesterday",0.00845063719452314
3,"ever",0.00845063719452314
3,"halftime",0.00845063719452314
3,"final",0.00845063719452314
3,"score",0.00845063719452314
3,"ugh",0.00845063719452314
3,"ct.htm",0.00845063719452314
3,"indicated",0.00845063719452314
3,"radar",0.00845063719452314
3,"s3z.us",0.00845063719452314
3,"scattered",0.00845063719452314
4,"game",0.0164883404309708
4,"good",0.0164883404309046
4,"blip.fm",0.0123662553232281
4,"woot",0.0123662553232281
4,"work",0.0123662553232281
4,"news",0.0123662553232281
4,"cleveland",0.0123662553232281
4,"first",0.0123662553232281
4,"black",0.0123662553232281
4,"erinfoxe",0.0103550200506706
5,"erinfoxe",0.0368005618307941
5,"tonight",0.0260138467184233
5,"last",0.0216782055986861
5,"time",0.0173425644789489
5,"morning",0.017260921453799
5,"fake",0.0130069233592117
5,"pastor",0.0130069233592117
5,"medina",0.0130069233592117
5,"night",0.0130069233592117
5,"carlin",0.0130069233592117
5,"vandendriessche",0.0130069233592117
6,"blip.fm",0.0534633135893226
6,"rt",0.0308351619972048
6,"go",0.0213876727020754
6,"listening",0.0210528002327107
6,"mrsbambam",0.0106938363510377
6,"just",0.0106938363510377
6,"can",0.0106938363510377
6,"want",0.0106938363510377
6,"redhawks",0.0106938363510377
6,"em",0.0106938363510377
6,"got",0.0106938363510377
6,"hook",0.0106938363510377
6,"horns",0.0106938363510377
6,"roll",0.0106938363510377
6,"tide",0.0106938363510377
7,"b",0.0151515151360096
7,"class",0.0113636363520072
7,"w",0.0113636363520072
7,"day",0.0113636363520072
7,"getting",0.0113636363520072
7,"never",0.0113636363520072
7,"last",0.0113636363520072
7,"soccer",0.0113636363520072
7,"rt",0.00757575756800478
7,"saints",0.00757575756800478
7,"couple",0.00757575756800478
7,"photos",0.00757575756800478
7,"just",0.00757575756800478
7,"people",0.00757575756800478
7,"going",0.00757575756800478
7,"go",0.00757575756800478
7,"world",0.00757575756800478
7,"wait",0.00757575756800478
7,"night",0.00757575756800478
7,"gonna",0.00757575756800478
7,"haha",0.00757575756800478
7,"alone",0.00757575756800478
7,"thought",0.00757575756800478
7,"women's",0.00757575756800478
7,"twitpic.com",0.00757575756800478
7,"check",0.00757575756800478
7,"suck",0.00757575756800478
7,"concert",0.00757575756800478
8,"like",0.018733988381807
8,"work",0.018733988381807
8,"today",0.0149871907054456
8,"just",0.0147059183235495
8,"know",0.0123753344478958
8,"golf",0.0112403930290842
8,"cleveland",0.0112403930290842
8,"back",0.0112403930290842
8,"lunch",0.0112403930290842
8,"already",0.0112403930290842
8,"taylor",0.0112403930290842
8,"great",0.0112403930290842
9,"know",0.0197965200807163
9,"new",0.01685853912304
9,"hate",0.01685853912304
9,"one",0.0164501583793869
9,"something",0.01264390434228
9,"fb",0.01264390434228
9,"blip.fm",0.00842926956152002
9,"lifetime",0.00842926956152002
9,"movies",0.00842926956152002
9,"mrsbambam",0.00842926956152002
9,"rt",0.00842926956152002
9,"many",0.00842926956152002
9,"get",0.00842926956152002
9,"obama",0.00842926956152002
9,"time",0.00842926956152002
9,"thing",0.00842926956152002
9,"listening",0.00842926956152002
9,"maybe",0.00842926956152002
9,"amazing",0.00842926956152002
9,"regina",0.00842926956152002
9,"media",0.00842926956152002
9,"social",0.00842926956152002
9,"using",0.00842926956152002
9,"xd",0.00842926956152002
9,"enough",0.00842926956152002
9,"hands",0.00842926956152002
9,"hell",0.00842926956152002
