"topic","term","beta"
1,"orange",0.0167996606791896
1,"su",0.0153509105761368
1,"go",0.0149199796147979
1,"game",0.0122198767601748
1,"great",0.0122055572229417
1,"got",0.00987402477553202
1,"get",0.00968112523057998
1,"lnk.ms",0.0090658012522777
1,"like",0.00898969182348551
1,"just",0.00898881311285073
2,"get",0.0359690737712231
2,"want",0.0154228436441309
2,"back",0.0144325706033732
2,"first",0.0139962388765996
2,"posted",0.0124546887825952
2,"much",0.0124546887825941
2,"people",0.0112092199043237
2,"facebook",0.00996375099666888
2,"friend",0.00996374893348522
2,"going",0.00989518431038884
3,"day",0.0355866846375239
3,"like",0.0208207877511554
3,"way",0.0175199987946128
3,"rt",0.0164794474010202
3,"good",0.0124055093617535
3,"johnalanis",0.0106025572235332
3,"awesome",0.0105859297974962
3,"get",0.00972952022092297
3,"watching",0.00959065701654846
3,"one",0.00926906593080237
4,"last",0.0138101216622199
4,"d",0.0135384963689148
4,"just",0.0123937264320346
4,"rt",0.0117942237462357
4,"now",0.0114541780680166
4,"came",0.0100462018903561
4,"night",0.00889264694205717
4,"watch",0.00878870627659406
4,"year",0.00874666308045753
4,"can",0.00764356193267351
5,"lnk.ms",0.0216386053108079
5,"good",0.019703192353872
5,"time",0.012978931138606
5,"new",0.0105892664253305
5,"tomorrow",0.00941510592908256
5,"homework",0.00923902192650776
5,"everyone",0.00844816618084246
5,"picture",0.00817672511669082
5,"amazing",0.00817672511668964
5,"next",0.00797046746646279
6,"one",0.0176344701291378
6,"know",0.0162425509481935
6,"shit",0.0138232598268916
6,"just",0.0134464357660891
6,"love",0.0133242312607367
6,"blog",0.0115193833552509
6,"fuck",0.0115193830317852
6,"tinyurl.com",0.0103674450197258
6,"go",0.00986768893932501
6,"get",0.00928814134118086
7,"new",0.0262549326159674
7,"follow",0.0153860010854251
7,"summit",0.0143013919853039
7,"today",0.0139907453893777
7,"week",0.0132012067240841
7,"rt",0.0127958879950625
7,"now",0.0121353550509211
7,"happy",0.0110010707579261
7,"football",0.00997941413293288
7,"music",0.00990096368213347
8,"nw",0.0225335702177838
8,"su",0.0167701793802963
8,"music",0.0106737817058108
8,"sleep",0.0106737453029703
8,"time",0.00856667355588929
8,"big",0.00830184166429558
8,"end",0.0083018416642938
8,"good",0.0078507394957838
8,"wow",0.00711586428368192
8,"never",0.0071070049866837
9,"just",0.0316189456222906
9,"cause",0.0120428380201167
9,"lilcease",0.0120428380201167
9,"salioelsol08",0.0120428380201167
9,"damn",0.00963427041609333
9,"got",0.00937678205989282
9,"whats",0.00842998661208692
9,"least",0.00823839318064784
9,"thing",0.00822029519040508
9,"know",0.00805290510127209
