"topic","term","beta"
1,"rt",0.0434782608695652
1,"choose",0.0434782608695652
1,"discontinued",0.0434782608695652
1,"images",0.0434782608695652
1,"ow.ly",0.0434782608695652
1,"ptqu",0.0434782608695652
1,"save",0.0434782608695652
1,"stamp",0.0434782608695652
1,"stampington",0.0434782608695652
1,"papercraftsbyk",0.0434782608695652
1,"around",0.0434782608695652
1,"auntisoup",0.0434782608695652
1,"dinner",0.0434782608695652
1,"just",0.0434782608695652
1,"pig",0.0434782608695652
1,"strep",0.0434782608695652
1,"figured",0.0434782608695652
1,"matter",0.0434782608695652
1,"move",0.0434782608695652
1,"sex",0.0434782608695652
1,"store",0.0434782608695652
1,"stuck",0.0434782608695652
1,"toy",0.0434782608695652
2,"soup",0.0740740740740741
2,"rt",0.037037037037037
2,"auntisoup",0.037037037037037
2,"just",0.037037037037037
2,"campbell",0.037037037037037
2,"day",0.037037037037037
2,"enough",0.037037037037037
2,"maiden",0.037037037037037
2,"mine",0.037037037037037
2,"name",0.037037037037037
2,"nickname",0.037037037037037
2,"strangely",0.037037037037037
2,"way",0.037037037037037
2,"bp",0.037037037037037
2,"brob",0.037037037037037
2,"competely",0.037037037037037
2,"foosball",0.037037037037037
2,"lol",0.037037037037037
2,"made",0.037037037037037
2,"match",0.037037037037037
2,"memphisnews",0.037037037037037
2,"news",0.037037037037037
2,"office",0.037037037037037
2,"shame",0.037037037037037
2,"shut",0.037037037037037
2,"sign",0.037037037037037
3,"pair",0.0869565217391304
3,"rt",0.0434782608695652
3,"ow.ly",0.0434782608695652
3,"boots",0.0434782608695652
3,"fall",0.0434782608695652
3,"fitflops",0.0434782608695652
3,"good",0.0434782608695652
3,"hottest",0.0434782608695652
3,"px8e",0.0434782608695652
3,"sounds",0.0434782608695652
3,"win",0.0434782608695652
3,"yummy",0.0434782608695652
3,"yummymummyclub",0.0434782608695652
3,"made",0.0434782608695652
3,"memphisnews",0.0434782608695652
3,"already",0.0434782608695652
3,"faith",0.0434782608695652
3,"laugh",0.0434782608695652
3,"short",0.0434782608695652
3,"time",0.0434782608695652
3,"well",0.0434782608695652
3,"working",0.0434782608695652
4,"rt",0.0555555555555556
4,"lsqcm2",0.0555555555555556
4,"pic",0.0555555555555556
4,"saw",0.0555555555555556
4,"stefanieswinson",0.0555555555555556
4,"tinyurl.com",0.0555555555555556
4,"antibiotics",0.0555555555555556
4,"baby",0.0555555555555556
4,"diaper",0.0555555555555556
4,"feel",0.0555555555555556
4,"feeling",0.0555555555555556
4,"future",0.0555555555555556
4,"herbadmother",0.0555555555555556
4,"mean",0.0555555555555556
4,"pain",0.0555555555555556
4,"sense",0.0555555555555556
4,"shitty",0.0555555555555556
4,"smell",0.0555555555555556
5,"rt",0.04
5,"tinyurl.com",0.04
5,"papercraftsbyk",0.04
5,"around",0.04
5,"lindawoods",0.04
5,"absolute",0.04
5,"gorgeous",0.04
5,"jolenemarie",0.04
5,"journal",0.04
5,"o7bxdx",0.04
5,"promote",0.04
5,"promotion",0.04
5,"self",0.04
5,"worry",0.04
5,"andvenussmiled",0.04
5,"bar",0.04
5,"came",0.04
5,"first",0.04
5,"top",0.04
5,"vahjayjay",0.04
5,"zooming",0.04
5,"coordinates",0.04
5,"earlier",0.04
5,"stalker",0.04
5,"thinking",0.04
6,"daughters",0.0833333333333333
6,"long",0.0416666666666667
6,"away",0.0416666666666667
6,"cell",0.0416666666666667
