"topic","term","beta"
1,"farve",0.0769230769230769
1,"brett",0.0769230769230769
1,"can",0.0769230769230769
1,"complain",0.0769230769230769
1,"put",0.0769230769230769
1,"team",0.0769230769230769
1,"together",0.0769230769230769
1,"kick",0.0769230769230769
1,"getting",0.0769230769230769
1,"helped",0.0769230769230769
1,"nap",0.0769230769230769
1,"ready",0.0769230769230769
1,"think",0.0769230769230769
2,"football",0.0714285714285714
2,"time",0.0714285714285714
2,"chapman02",0.0714285714285714
2,"choose",0.0714285714285714
2,"tell",0.0714285714285714
2,"bout",0.0714285714285714
2,"eagles",0.0714285714285714
2,"kearse",0.0714285714285714
2,"never",0.0714285714285714
2,"played",0.0714285714285714
2,"something",0.0714285714285714
2,"going",0.0714285714285714
2,"ot",0.0714285714285714
2,"wesleychapman",0.0714285714285714
3,"later",0.1
3,"peps",0.1
3,"night",0.1
3,"signing",0.1
3,"day",0.1
3,"12hrs",0.1
3,"enjoying",0.1
3,"job",0.1
3,"love",0.1
3,"shifts",0.1
4,"hail",0.15
4,"game",0.1
4,"go",0.1
4,"michigan",0.1
4,"eagles",0.05
4,"wesleychapman",0.05
4,"right",0.05
4,"still",0.05
4,"stupid",0.05
4,"sunday",0.05
4,"wes",0.05
4,"blue",0.05
4,"watching",0.05
4,"say",0.05
4,"victors",0.05
5,"later",0.0833333333333333
5,"peps",0.0833333333333333
5,"hubby",0.0833333333333333
5,"maybe",0.0416666666666667
5,"till",0.0416666666666667
5,"attention",0.0416666666666667
5,"earlier",0.0416666666666667
5,"held",0.0416666666666667
5,"kick",0.0416666666666667
5,"napping",0.0416666666666667
5,"since",0.0416666666666667
5,"sisters",0.0416666666666667
5,"try",0.0416666666666667
5,"williams",0.0416666666666667
5,"chapbros",0.0416666666666667
5,"hope",0.0416666666666667
5,"screaming",0.0416666666666667
5,"steelers",0.0416666666666667
5,"tenn",0.0416666666666667
5,"hanging",0.0416666666666667
5,"weekend",0.0416666666666667
6,"home",0.117647058823529
6,"sitting",0.117647058823529
6,"football",0.0588235294117647
6,"getting",0.0588235294117647
6,"watching",0.0588235294117647
6,"work",0.0588235294117647
6,"best",0.0588235294117647
6,"day",0.0588235294117647
6,"husband",0.0588235294117647
6,"call",0.0588235294117647
6,"least",0.0588235294117647
6,"man",0.0588235294117647
6,"paid",0.0588235294117647
6,"sucks",0.0588235294117647
6,"waiting",0.0588235294117647
7,"awsome",0.0909090909090909
7,"finn",0.0909090909090909
7,"pick",0.0909090909090909
7,"go",0.0909090909090909
7,"hr",0.0909090909090909
7,"mentally",0.0909090909090909
7,"must",0.0909090909090909
7,"prepare",0.0909090909090909
7,"shift",0.0909090909090909
7,"tonight",0.0909090909090909
7,"work",0.0909090909090909
8,"game",0.214285714285714
8,"football",0.0714285714285714
8,"even",0.0714285714285714
8,"first",0.0714285714285714
8,"maybe",0.0714285714285714
8,"started",0.0714285714285714
8,"till",0.0714285714285714
8,"time",0.0714285714285714
8,"turn",0.0714285714285714
8,"tv",0.0714285714285714
8,"upset",0.0714285714285714
8,"yet",0.0714285714285714
9,"blah",0.157894736842105
9,"e",0.105263157894737
9,"farve",0.105263157894737
9,"r",0.105263157894737
9,"bicep",0.0526315789473684
9,"boo",0.0526315789473684
9,"brett",0.0526315789473684
9,"flag",0.0526315789473684
9,"football",0.0526315789473684
9,"hoo",0.0526315789473684
9,"made",0.0526315789473684
9,"play",0.0526315789473684
9,"t",0.0526315789473684
9,"word",0.0526315789473684
