"topic","term","beta"
1,"sc",0.0640265788752147
1,"2r13ge",0.0614655160142294
1,"sale",0.0614655160142294
1,"su.pr",0.0614655160142294
1,"anderson",0.0460991370106721
1,"location",0.0409770106761529
1,"home",0.0409768595475946
1,"great",0.0383670166179058
1,"2ba",0.0256106316725956
1,"estate",0.0204885053380765
1,"real",0.0204885053380765
1,"bldg",0.0204885053380765
2,"just",0.0451453478521179
2,"new",0.0215863155046217
2,"mobsterworld",0.0154187967890155
2,"u",0.0123350374312124
2,"acc",0.0123350374312124
2,"love",0.0123350374312124
2,"awesome",0.0123350374312124
2,"meetings",0.00925127807340929
2,"book",0.00925127807340929
2,"rt",0.00925127807340929
2,"won",0.00925127807340929
2,"reading",0.00925127807340929
2,"twitpic.com",0.00925127807340929
2,"rileyc",0.00925127807340929
2,"diiig",0.00925127807340929
2,"fought",0.00925127807340929
3,"rt",0.027096116231854
3,"hand",0.013548058115927
3,"first",0.013548058115927
3,"time",0.0130848682614858
3,"one",0.0101610435869452
3,"us",0.0101610435869452
3,"go",0.0101610435869452
3,"going",0.0101610435869452
3,"cocks",0.0101610435869452
3,"d",0.0101610435869452
4,"sale",0.069607301242819
4,"2r13ge",0.0593068322343725
4,"su.pr",0.0593068322343725
4,"great",0.0591605348866438
4,"anderson",0.0518934782050759
4,"sc",0.0481868011904276
4,"land",0.0481868011841288
4,"location",0.0296534161171862
4,"avail",0.0296534161171862
4,"2br",0.0296534161171862
4,"acres",0.0296534161171862
5,"game",0.0276854952909888
5,"like",0.0218810341753282
5,"come",0.0195618800512378
5,"life",0.0195618798615521
5,"much",0.0195613474012214
5,"can",0.0136002743084747
5,"read",0.0111782171721359
5,"away",0.0111782171721359
5,"never",0.0111782171721359
5,"tv",0.0109667419155912
6,"lol",0.0348225165174859
6,"crhe",0.0284781550586128
6,"want",0.0158284376035248
6,"acc",0.0157687511683831
6,"can",0.0130847170502849
6,"byu",0.0126627500828198
6,"dude",0.0126627500826023
6,"fsu",0.0126529033801727
6,"morning",0.0120506261438348
6,"oh",0.0106190871083804
7,"love",0.0278714421281799
7,"tonight",0.0174196751129766
7,"rt",0.0139357400903812
7,"today",0.0139356953735568
7,"big",0.0125258744082098
7,"ask",0.0104518050677859
7,"head",0.0104518050677859
7,"guys",0.0104518050662857
7,"ever",0.0104517712182422
7,"feeling",0.0101104311566294
8,"just",0.0337663944032349
8,"fight",0.0187591321158534
8,"offense",0.0150073056926827
8,"haha",0.0150073056926827
8,"clemson",0.0150073056926827
8,"kidding",0.0150060630820629
8,"back",0.0128723442235576
8,"tigers",0.0112554792695121
8,"defense",0.0112554792695121
8,"good",0.0112554792695121
8,"can",0.0112554792695121
8,"yes",0.0112554792695121
8,"amazing",0.0112554792695121
8,"might",0.0112554792695121
9,"buffalo",0.0289924000149514
9,"just",0.028992393721537
9,"can",0.0217443000112135
9,"miami",0.0217443000112135
9,"today",0.0217437927268729
9,"wow",0.0181202500093446
9,"think",0.0144962000074757
9,"saw",0.0144962000074757
9,"day",0.0119227158007667
9,"made",0.0108721500056068
9,"rt",0.0108721500056068
9,"beach",0.0108721500056068
9,"days",0.0108721500056068
