"topic","term","beta"
1,"moses",0.0360396875267057
1,"vote",0.0320352778015162
1,"nascar",0.0280308680763266
1,"streetteam16",0.0240264583511371
1,"smith",0.0240264583511371
1,"mosesrace",0.0240264583511371
1,"twitter",0.0200220486259476
1,"follow",0.0200220486259476
1,"day",0.0160176389007581
1,"please",0.0160176389007581
1,"every",0.0160176389007581
2,"can",0.0199203188006275
2,"rt",0.0199203188006275
2,"know",0.015936255040502
2,"one",0.015936255040502
2,"river",0.0119521912803765
2,"tinyurl.com",0.0119521912803765
2,"organic",0.0119521912803765
2,"also",0.0119521912803765
2,"good",0.0119521912803301
2,"tedcom",0.00796812752025102
2,"video",0.00796812752025102
2,"africa",0.00796812752025102
2,"attacks",0.00796812752025102
2,"d3ph8",0.00796812752025102
2,"denial",0.00796812752025102
2,"mars",0.00796812752025102
2,"remix",0.00796812752025102
2,"revisited",0.00796812752025102
2,"2jlpy9",0.00796812752025102
2,"briefly",0.00796812752025102
2,"creativity",0.00796812752025102
2,"help",0.00796812752025102
2,"simplicity",0.00796812752025102
2,"crime",0.00796812752025102
2,"glenny",0.00796812752025102
2,"global",0.00796812752025102
2,"investigates",0.00796812752025102
2,"misha",0.00796812752025102
2,"networks",0.00796812752025102
2,"p3oy6s",0.00796812752025102
2,"just",0.00796812752025102
2,"kyle",0.00796812752025102
2,"today",0.00796812752025102
2,"get",0.00796812752025102
2,"nation",0.00796812752025102
2,"spirits",0.00796812752025102
2,"fun",0.00796812752025102
2,"original",0.00796812752025102
2,"portland",0.00796812752025102
2,"conference",0.00796812752025102
2,"must",0.00796812752025102
2,"read",0.00796812752025102
2,"bookendskim",0.00796812752025102
2,"heehee",0.00796812752025102
2,"moonrat",0.00796812752025102
2,"stay",0.00796812752025102
2,"racing",0.00796812752025102
2,"4wide",0.00796812752025102
3,"make",0.0210674352805009
3,"block",0.0168539482244007
3,"kids",0.015435759210149
3,"interest",0.0126404611683005
3,"go",0.0126404611683005
3,"party",0.0126404611683005
3,"toys",0.0126404611683004
3,"think",0.0107940563651858
3,"failed",0.00842697411220034
3,"pictures",0.00842697411220034
3,"burger",0.00842697411220034
3,"cocc",0.00842697411220034
3,"degree",0.00842697411220034
3,"ever",0.00842697411220034
3,"today",0.00842697411220034
3,"check",0.00842697411220034
3,"cream",0.00842697411220034
3,"ice",0.00842697411220034
3,"still",0.00842697411220034
3,"need",0.00842697411220034
3,"conference",0.00842697411220034
3,"got",0.00842697411220034
3,"post",0.00842697411220034
3,"yet",0.00842697411220034
3,"deadlyknitshade",0.00842697411220034
3,"hood",0.00842697411220034
3,"jenfloyd08",0.00842697411220034
3,"beyond",0.00842697411220034
3,"students",0.00842697411220034
3,"much",0.00842697411220034
3,"meant",0.00842697411220034
3,"uncharted2",0.00842697411220034
3,"chapter",0.00842697411220034
3,"completed",0.00842697411220034
4,"live",0.0337607227285723
4,"show",0.0330606143717645
4,"www.exitrealtybend.com",0.0306915661367165
4,"exit",0.0245532529093732
4,"twitpic.com",0.0245532529093732
4,"internet",0.0214840962957016
4,"tonight",0.0214840962957016
4,"oregon",0.0153457830683583
4,"real",0.0153457830683583
4,"realty",0.0153457830683583
4,"tv",0.0153457830683583
5,"great",0.0254448730046878
5,"thanks",0.0218098911468753
5,"blog",0.0218095900656136
5,"w",0.0181749092890627
5,"paint",0.0181749092890298
5,"o",0.0145399274312502
5,"like",0.0145399274312502
5,"milk",0.0145399269106142
5,"just",0.0145399238025532
5,"www.promisebrand.com",0.0145397917577405
6,"day",0.0172785962134707
6,"like",0.0172785962134707
6,"interbike",0.0172785962134707
6,"jj",0.0138228769707765
6,"time",0.0138228769707765
6,"good",0.0138228769707765
6,"dirtdemo",0.0138228769707765
6,"great",0.0103671577280824
6,"bike",0.0103671577280824
6,"get",0.0103671577280824
6,"going",0.0103671577280824
6,"spot",0.0103671577280824
6,"turner",0.0103671577280824
7,"article",0.0602947099201778
7,"directories",0.051681179931581
7,"new",0.0172270599771937
7,"experienced",0.0129202949828953
7,"professional",0.0129202949828953
7,"right",0.0129202949828953
7,"jackbox",0.0129202949828953
7,"ridiculous",0.00861352998859684
7,"cash",0.00861352998859684
7,"easy",0.00861352998859684
7,"made",0.00861352998859684
7,"o2jzw",0.00861352998859684
7,"video",0.00861352998859684
7,"odesk",0.00861352998859684
7,"pages",0.00861352998859684
7,"qbwfc",0.00861352998859684
7,"web",0.00861352998859684
7,"writer",0.00861352998859684
7,"dtsed",0.00861352998859684
7,"internet",0.00861352998859684
7,"submission",0.00861352998859684
7,"brooks",0.00861352998859684
7,"invade",0.00861352998859684
7,"kpqch",0.00861352998859684
7,"lives",0.00861352998859684
7,"robots",0.00861352998859684
7,"rodney",0.00861352998859684
7,"says",0.00861352998859684
7,"ted.com",0.00861352998859684
7,"30uuk",0.00861352998859684
7,"benefits",0.00861352998859684
7,"features",0.00861352998859684
7,"dhwi1",0.00861352998859684
7,"revenue",0.00861352998859684
7,"sharing",0.00861352998859684
7,"titumedia.com",0.00861352998859684
7,"1.7",0.00861352998859684
7,"2cegxq",0.00861352998859684
7,"bank",0.00861352998859684
7,"ghaziabad",0.00861352998859684
7,"lakh",0.00861352998859684
7,"robbed",0.00861352998859684
7,"rs",0.00861352998859684
7,"marketing",0.00861352998859684
7,"nxmrd",0.00861352998859684
7,"submit",0.00861352998859684
7,"tip",0.00861352998859684
7,"cocc",0.00861352998859684
7,"just",0.00861352998859684
7,"products",0.00861352998859684
7,"ever",0.00861352998859684
7,"awesome",0.00861352998859684
7,"offer",0.00861352998859684
7,"bend",0.00861352998859684
7,"taco",0.00861352998859684
7,"two",0.00861352998859684
7,"buck",0.00861352998859684
7,"tacos",0.00861352998859684
7,"worst",0.00861352998859684
8,"new",0.0190731608338544
8,"bike",0.0152585286670835
8,"interbike",0.0152585286670835
8,"sweet",0.0152585286670676
8,"one",0.0114438965003126
8,"mini",0.0114438965003126
8,"cute",0.0114438965003126
8,"now",0.0114438965003126
8,"today",0.0114438965003126
8,"tweet",0.0114438965003126
8,"shanlee",0.0114438965003126
8,"yeti",0.0114438965003126
9,"just",0.0183393697818458
9,"time",0.0169277366484161
9,"want",0.0169277366484161
9,"video",0.0169277366484137
9,"change",0.012695802486312
9,"omg",0.012695802486312
9,"hypnotic",0.00846386832420803
9,"rnscw",0.00846386832420803
9,"s",0.00846386832420803
9,"song",0.00846386832420803
9,"tedcom",0.00846386832420803
9,"vaid",0.00846386832420803
9,"vishal",0.00846386832420803
9,"says",0.00846386832420803
9,"human",0.00846386832420803
9,"judgment",0.00846386832420803
9,"process",0.00846386832420803
9,"removal",0.00846386832420803
9,"rigidity",0.00846386832420803
9,"z8kyz",0.00846386832420803
9,"canary",0.00846386832420803
9,"climate",0.00846386832420803
9,"coal",0.00846386832420803
9,"docudharma",0.00846386832420803
9,"mcou3",0.00846386832420803
9,"mine",0.00846386832420803
9,"away",0.00846386832420803
9,"run",0.00846386832420803
9,"pedal",0.00846386832420803
9,"oh",0.00846386832420803
9,"love",0.00846386832420803
9,"happy",0.00846386832420803
9,"work",0.00846386832420803
9,"tribute",0.00846386832420803
9,"jenwriter",0.00846386832420803
9,"loved",0.00846386832420803
9,"sap",0.00846386832420803
9,"cindypon",0.00846386832420803
9,"back",0.00846386832420803
