"topic","term","beta"
1,"good",0.0301655669632296
1,"day",0.0251379738762251
1,"one",0.014984178091538
1,"great",0.0138857379551696
1,"today",0.0126770657886565
1,"going",0.0120354916500131
1,"tonight",0.0105052589987311
1,"think",0.010287907971762
1,"now",0.00900266743118913
1,"time",0.00862442184058673
2,"just",0.018121430608209
2,"az",0.0132545241789697
2,"glendale",0.0124261164177841
2,"still",0.0119236501389582
2,"sleep",0.00994083455221556
2,"bad",0.008113537937246
2,"pretty",0.0070835153802666
2,"hope",0.00686900434295643
2,"got",0.00678354496250107
2,"health",0.00662726208948374
3,"lol",0.0432074810507868
3,"u",0.0361698036544269
3,"got",0.0166308146831061
3,"shit",0.00954518586566539
3,"like",0.00875650296022606
3,"just",0.00868582312872635
3,"da",0.00817439832807073
3,"get",0.00713375433487977
3,"know",0.00660807584616281
3,"dont",0.00640925300027581
4,"show",0.0176761043460637
4,"rt",0.0125604459877031
4,"hour",0.0102439666485384
4,"eddiprojex",0.00962312069003379
4,"class",0.00931095628150633
4,"place",0.00900227419390258
4,"san",0.00869185094583697
4,"coming",0.0083150791802979
4,"soon",0.00810072129146647
4,"lnk.ms",0.00745015101830114
5,"know",0.0279141581879707
5,"rt",0.0228642987078329
5,"raptr.com",0.0116849535610367
5,"xchaos_furyx",0.0116849535610367
5,"playing",0.011346260637137
5,"need",0.00929937224394654
5,"like",0.00857750115687158
5,"w",0.00832173696125003
5,"really",0.00829396136105901
5,"life",0.00771186860387723
6,"can",0.0259989642518294
6,"getting",0.0130589663706294
6,"ready",0.00844536136448182
6,"video",0.00783524018788807
6,"school",0.00738827623609861
6,"watch",0.00708087679128644
6,"ha",0.0063881154476291
6,"time",0.00633733361814293
6,"via",0.00616576809779114
6,"best",0.00611665812489914
7,"work",0.0179300903244297
7,"new",0.0127167937585842
7,"get",0.0120406871593366
7,"awesome",0.010558645565284
7,"now",0.00869087779603802
7,"market",0.00831819429178285
7,"oh",0.00813491743829763
7,"rt",0.00789562880925672
7,"just",0.00784709427771384
7,"check",0.00748637490573862
8,"now",0.024621674338439
8,"like",0.0157302346717097
8,"just",0.0140353884923279
8,"night",0.0111189238001381
8,"go",0.0101036064508009
8,"watching",0.00984696314336796
8,"right",0.00964680139928146
8,"get",0.00823324522664161
8,"thanks",0.00780594037479489
8,"bed",0.00682097683691324
9,"oakland",0.0373089840606512
9,"man",0.0206304765847102
9,"love",0.0138638877374217
9,"texas",0.0126968658755668
9,"twitpic.com",0.0112441641221524
9,"1st",0.0111097561900851
9,"live",0.0102539294079961
9,"happy",0.0101574927003686
9,"house",0.00997398620195461
9,"top",0.00952264940667515
