"topic","term","beta"
1,"status",0.181818181818182
1,"heels",0.0909090909090909
1,"award",0.0909090909090909
1,"back",0.0909090909090909
1,"case",0.0909090909090909
1,"go",0.0909090909090909
1,"missed",0.0909090909090909
1,"read",0.0909090909090909
1,"tuesday's",0.0909090909090909
1,"winning",0.0909090909090909
2,"till",0.25
2,"4pmish",0.125
2,"fit",0.125
2,"doors",0.125
2,"lock",0.125
2,"work",0.125
2,"nocturnal",0.125
2,"foods",3.72007597602084e-44
2,"oy",3.72007597602084e-44
2,"whole",3.72007597602084e-44
2,"asleep",3.72007597602084e-44
2,"fell",3.72007597602084e-44
2,"time",3.72007597602084e-44
2,"ugh",3.72007597602084e-44
2,"heels",3.72007597602084e-44
2,"wowza",3.72007597602084e-44
2,"feeling",3.72007597602084e-44
2,"freak",3.72007597602084e-44
2,"leash",3.72007597602084e-44
2,"like",3.72007597602084e-44
2,"early",3.72007597602084e-44
2,"morning",3.72007597602084e-44
2,"saturday",3.72007597602084e-44
2,"traffic",3.72007597602084e-44
2,"julieanne",3.72007597602084e-44
2,"moore",3.72007597602084e-44
2,"store",3.72007597602084e-44
3,"people",0.1
3,"room",0.1
3,"seventy",0.1
3,"tiny",0.1
3,"two",0.1
3,"wowza",0.1
3,"early",0.1
3,"morning",0.1
3,"saturday",0.1
3,"traffic",0.1
4,"fit",0.125
4,"work",0.125
4,"docs",0.125
4,"lol",0.125
4,"seeing",0.125
4,"sporting",0.125
4,"though",0.125
4,"wear",0.125
4,"4pmish",3.72007597602084e-44
4,"till",3.72007597602084e-44
4,"doors",3.72007597602084e-44
4,"lock",3.72007597602084e-44
4,"foods",3.72007597602084e-44
4,"oy",3.72007597602084e-44
4,"whole",3.72007597602084e-44
4,"field",3.72007597602084e-44
4,"mall",3.72007597602084e-44
4,"roosevelt",3.72007597602084e-44
4,"asleep",3.72007597602084e-44
4,"fell",3.72007597602084e-44
4,"time",3.72007597602084e-44
4,"ugh",3.72007597602084e-44
4,"heels",3.72007597602084e-44
4,"wowza",3.72007597602084e-44
4,"feeling",3.72007597602084e-44
4,"freak",3.72007597602084e-44
4,"leash",3.72007597602084e-44
4,"like",3.72007597602084e-44
4,"early",3.72007597602084e-44
4,"morning",3.72007597602084e-44
4,"saturday",3.72007597602084e-44
4,"traffic",3.72007597602084e-44
4,"julieanne",3.72007597602084e-44
4,"moore",3.72007597602084e-44
4,"store",3.72007597602084e-44
5,"wowza",0.0909090909090909
5,"iphone",0.0909090909090909
5,"messaging",0.0909090909090909
5,"picture",0.0909090909090909
5,"text",0.0909090909090909
5,"us",0.0909090909090909
5,"users",0.0909090909090909
5,"yay",0.0909090909090909
5,"julieanne",0.0909090909090909
5,"moore",0.0909090909090909
5,"store",0.0909090909090909
6,"gym",0.2
6,"asleep",0.1
6,"fell",0.1
6,"time",0.1
6,"ugh",0.1
6,"feeling",0.1
6,"freak",0.1
6,"leash",0.1
6,"like",0.1
6,"4pmish",3.72007597602084e-44
6,"fit",3.72007597602084e-44
6,"till",3.72007597602084e-44
6,"work",3.72007597602084e-44
6,"foods",3.72007597602084e-44
6,"oy",3.72007597602084e-44
6,"whole",3.72007597602084e-44
6,"field",3.72007597602084e-44
6,"mall",3.72007597602084e-44
6,"roosevelt",3.72007597602084e-44
6,"hot",3.72007597602084e-44
6,"yoga",3.72007597602084e-44
6,"wowza",3.72007597602084e-44
6,"early",3.72007597602084e-44
6,"morning",3.72007597602084e-44
6,"saturday",3.72007597602084e-44
6,"traffic",3.72007597602084e-44
6,"julieanne",3.72007597602084e-44
6,"moore",3.72007597602084e-44
6,"store",3.72007597602084e-44
7,"ravel",0.0909090909090909
7,"deli",0.0909090909090909
7,"jewish",0.0909090909090909
7,"foods",0.0909090909090909
7,"oy",0.0909090909090909
7,"whole",0.0909090909090909
7,"field",0.0909090909090909
7,"mall",0.0909090909090909
7,"roosevelt",0.0909090909090909
7,"h",0.0909090909090909
7,"mart",0.0909090909090909
8,"can",0.0909090909090909
8,"girls",0.0909090909090909
8,"heels",0.0909090909090909
8,"lot",0.0909090909090909
8,"make",0.0909090909090909
8,"money",0.0909090909090909
8,"properly",0.0909090909090909
8,"school",0.0909090909090909
8,"teaching",0.0909090909090909
8,"thinks",0.0909090909090909
8,"walk",0.0909090909090909
9,"bring",0.125
9,"bus",0.125
9,"fun",0.125
9,"kind",0.125
9,"see",0.125
9,"today",0.125
9,"hot",0.125
9,"yoga",0.125
9,"4pmish",3.72007597602084e-44
9,"fit",3.72007597602084e-44
9,"till",3.72007597602084e-44
9,"doors",3.72007597602084e-44
9,"lock",3.72007597602084e-44
9,"work",3.72007597602084e-44
9,"foods",3.72007597602084e-44
9,"oy",3.72007597602084e-44
9,"whole",3.72007597602084e-44
9,"field",3.72007597602084e-44
9,"mall",3.72007597602084e-44
9,"roosevelt",3.72007597602084e-44
9,"asleep",3.72007597602084e-44
9,"fell",3.72007597602084e-44
9,"time",3.72007597602084e-44
9,"ugh",3.72007597602084e-44
9,"heels",3.72007597602084e-44
9,"wowza",3.72007597602084e-44
9,"feeling",3.72007597602084e-44
9,"freak",3.72007597602084e-44
9,"leash",3.72007597602084e-44
9,"like",3.72007597602084e-44
9,"early",3.72007597602084e-44
9,"morning",3.72007597602084e-44
9,"saturday",3.72007597602084e-44
9,"traffic",3.72007597602084e-44
9,"julieanne",3.72007597602084e-44
9,"moore",3.72007597602084e-44
9,"store",3.72007597602084e-44
