"topic","term","beta"
1,"news",0.0967741935483871
1,"time",0.0967741935483871
1,"good",0.0645161290322581
1,"allisondee",0.0645161290322581
1,"kissing",0.032258064516129
1,"rain",0.032258064516129
1,"air",0.032258064516129
1,"now",0.032258064516129
1,"airs",0.032258064516129
1,"augusta",0.032258064516129
1,"bad",0.032258064516129
1,"ga",0.032258064516129
1,"market",0.032258064516129
1,"office",0.032258064516129
1,"tbs",0.032258064516129
1,"wfxg",0.032258064516129
1,"asleep",0.032258064516129
1,"conan",0.032258064516129
1,"ditto",0.032258064516129
1,"falling",0.032258064516129
1,"give",0.032258064516129
1,"watching",0.032258064516129
1,"headaches",0.032258064516129
1,"help",0.032258064516129
1,"milk",0.032258064516129
2,"guys",0.0980392156862745
2,"starky_love",0.0392156862745098
2,"u",0.0392156862745098
2,"church",0.0392156862745098
2,"got",0.0196078431372549
2,"dead",0.0196078431372549
2,"ding",0.0196078431372549
2,"dong",0.0196078431372549
2,"ls",0.0196078431372549
2,"witch",0.0196078431372549
2,"aaronq123",0.0196078431372549
2,"cash",0.0196078431372549
2,"cow",0.0196078431372549
2,"hammer",0.0196078431372549
2,"open",0.0196078431372549
2,"put",0.0196078431372549
2,"tell",0.0196078431372549
2,"dragon",0.0196078431372549
2,"dwells",0.0196078431372549
2,"within",0.0196078431372549
2,"work",0.0196078431372549
2,"know",0.0196078431372549
2,"name",0.0196078431372549
2,"names",0.0196078431372549
2,"power",0.0196078431372549
2,"staying",0.0196078431372549
2,"wont",0.0196078431372549
2,"feel",0.0196078431372549
2,"cone",0.0196078431372549
2,"ever",0.0196078431372549
2,"nastiest",0.0196078431372549
2,"snow",0.0196078431372549
2,"miznj",0.0196078431372549
2,"mattamesblogs.wordpress.com",0.0196078431372549
2,"answer",0.0196078431372549
2,"excited",0.0196078431372549
2,"important",0.0196078431372549
2,"others",0.0196078431372549
2,"part",0.0196078431372549
2,"share",0.0196078431372549
2,"you’re",0.0196078431372549
2,"genejennings",0.0196078431372549
2,"go",0.0196078431372549
2,"y'all",0.0196078431372549
3,"tv",0.0666666666666667
3,"leavin",0.0666666666666667
3,"night",0.0444444444444445
3,"good",0.0444444444444445
3,"love",0.0444444444444445
3,"now",0.0444444444444445
3,"going",0.0444444444444445
3,"start",0.0222222222222222
3,"just",0.0222222222222222
3,"get",0.0222222222222222
3,"see",0.0222222222222222
3,"cousins",0.0222222222222222
3,"fun",0.0222222222222222
3,"lots",0.0222222222222222
3,"thursday",0.0222222222222222
3,"zaktodd",0.0222222222222222
3,"air",0.0222222222222222
3,"already",0.0222222222222222
3,"anymore",0.0222222222222222
3,"back",0.0222222222222222
3,"brentbutt",0.0222222222222222
3,"corner",0.0222222222222222
3,"gas",0.0222222222222222
3,"miss",0.0222222222222222
3,"projects",0.0222222222222222
3,"rock",0.0222222222222222
3,"u.s",0.0222222222222222
3,"wgn",0.0222222222222222
3,"defianetly",0.0222222222222222
3,"prooofreeding",0.0222222222222222
3,"happen",0.0222222222222222
3,"people",0.0222222222222222
3,"pretend",0.0222222222222222
3,"replies",0.0222222222222222
3,"sent",0.0222222222222222
3,"thing",0.0222222222222222
4,"zaktodd",0.048780487804878
4,"news",0.024390243902439
4,"good",0.024390243902439
4,"just",0.024390243902439
4,"bone",0.024390243902439
4,"pulled",0.024390243902439
4,"think",0.024390243902439
4,"wii",0.024390243902439
4,"right",0.024390243902439
4,"binge",0.024390243902439
4,"cerveza",0.024390243902439
4,"college",0.024390243902439
4,"drinker",0.024390243902439
4,"every",0.024390243902439
4,"hilarious",0.024390243902439
4,"like",0.024390243902439
4,"real",0.024390243902439
4,"room",0.024390243902439
4,"spanish",0.024390243902439
4,"word",0.024390243902439
4,"already",0.024390243902439
4,"wfxg",0.024390243902439
4,"breather",0.024390243902439
4,"button",0.024390243902439
4,"can",0.024390243902439
4,"decision",0.024390243902439
4,"even",0.024390243902439
4,"last",0.024390243902439
4,"made",0.024390243902439
4,"one",0.024390243902439
4,"remote",0.024390243902439
4,"saw",0.024390243902439
4,"take",0.024390243902439
4,"week",0.024390243902439
4,"afternoon",0.024390243902439
4,"check",0.024390243902439
4,"little",0.024390243902439
4,"mattamesblogs.wordpress.com",0.024390243902439
4,"q",0.024390243902439
4,"saturday",0.024390243902439
5,"away",0.0465116279069768
5,"put",0.0465116279069768
5,"corrupt",0.0465116279069768
5,"else",0.0465116279069768
5,"far",0.0465116279069768
5,"guard",0.0465116279069768
5,"heart",0.0465116279069768
5,"keep",0.0465116279069768
5,"life",0.0465116279069768
5,"mouth",0.0465116279069768
5,"perversity",0.0465116279069768
5,"talk",0.0465116279069768
5,"wellspring",0.0465116279069768
6,"see",0.0789473684210527
6,"age",0.0526315789473684
6,"bass",0.0526315789473684
6,"slappin",0.0526315789473684
6,"pole",0.0526315789473684
6,"couch",0.0263157894736842
6,"potato",0.0263157894736842
6,"stone",0.0263157894736842
6,"free",0.0263157894736842
6,"day",0.0263157894736842
6,"de",0.0263157894736842
6,"hey",0.0263157894736842
6,"long",0.0263157894736842
6,"mon",0.0263157894736842
6,"da",0.0263157894736842
6,"forensixgrl77",0.0263157894736842
6,"pouting",0.0263157894736842
6,"start",0.0263157894736842
6,"stop",0.0263157894736842
6,"blinded",0.0263157894736842
6,"clouds",0.0263157894736842
6,"come",0.0263157894736842
6,"feel",0.0263157894736842
6,"hear",0.0263157894736842
6,"lightening",0.0263157894736842
6,"pain",0.0263157894736842
6,"pouring",0.0263157894736842
6,"rolling",0.0263157894736842
6,"rushing",0.0263157894736842
6,"thunder",0.0263157894736842
6,"wind",0.0263157894736842
6,"youre",0.0263157894736842
7,"got",0.09375
7,"school",0.0625
7,"tje",0.03125
7,"aaronq123",0.03125
7,"alcohol",0.03125
7,"away",0.03125
7,"kitchen",0.03125
7,"leave",0.03125
7,"phone",0.03125
7,"stay",0.03125
7,"gay",0.03125
7,"forensixgrl77",0.03125
7,"just",0.03125
7,"sister",0.03125
7,"u",0.03125
7,"golden",0.03125
7,"phyllis",0.03125
7,"shower",0.03125
7,"eating",0.03125
7,"hut",0.03125
7,"pizza",0.03125
7,"youth",0.03125
7,"homework",0.03125
7,"left",0.03125
7,"math",0.03125
7,"realized",0.03125
7,"miznj",0.03125
7,"relevant",0.03125
7,"way",0.03125
8,"zachpippin",0.0833333333333334
8,"twitpic.com",0.0833333333333334
8,"game",0.0555555555555556
8,"oh",0.0555555555555556
8,"well",0.0555555555555556
8,"stadium",0.0277777777777778
8,"iduw7",0.0277777777777778
8,"enjoying",0.0277777777777778
8,"box",0.0277777777777778
8,"club",0.0277777777777778
8,"gamecock",0.0277777777777778
8,"get",0.0277777777777778
8,"passes",0.0277777777777778
8,"season",0.0277777777777778
8,"sit",0.0277777777777778
8,"butt",0.0277777777777778
8,"homework",0.0277777777777778
8,"ton",0.0277777777777778
8,"imwbl",0.0277777777777778
8,"came",0.0277777777777778
8,"izx6p",0.0277777777777778
8,"today",0.0277777777777778
8,"cooper",0.0277777777777778
8,"friday",0.0277777777777778
8,"hang",0.0277777777777778
8,"mr",0.0277777777777778
8,"nights",0.0277777777777778
8,"remember",0.0277777777777778
8,"used",0.0277777777777778
9,"just",0.0588235294117647
9,"dtv",0.0294117647058823
9,"aaronq123",0.0294117647058823
9,"phone",0.0294117647058823
9,"bass",0.0294117647058823
9,"long",0.0294117647058823
9,"da",0.0294117647058823
9,"con",0.0294117647058823
9,"slap",0.0294117647058823
9,"still",0.0294117647058823
9,"difficult",0.0294117647058823
9,"family",0.0294117647058823
9,"like",0.0294117647058823
9,"made",0.0294117647058823
9,"2hrs",0.0294117647058823
9,"ago",0.0294117647058823
9,"bdouglas",0.0294117647058823
