"topic","term","beta"
1,"well",0.2
1,"guess",0.133333333333333
1,"today",0.133333333333333
1,"easy",0.0666666666666667
1,"darn",0.0666666666666667
1,"just",0.0666666666666667
1,"mow",0.0666666666666667
1,"raining",0.0666666666666667
1,"take",0.0666666666666667
1,"look",0.0666666666666667
1,"yeah",0.0666666666666667
2,"garage",0.111111111111111
2,"getting",0.111111111111111
2,"sale",0.111111111111111
2,"cool",0.0555555555555556
2,"ready",0.0555555555555556
2,"swear",0.0555555555555556
2,"tomorrow",0.0555555555555556
2,"used",0.0555555555555556
2,"day",0.0555555555555556
2,"helping",0.0555555555555556
2,"junk",0.0555555555555556
2,"outside",0.0555555555555556
2,"rid",0.0555555555555556
2,"run",0.0555555555555556
2,"spending",0.0555555555555556
3,"card",0.0625
3,"itunes",0.0625
3,"something",0.0625
3,"spend",0.0625
3,"tryin",0.0625
3,"headed",0.0625
3,"hours",0.0625
3,"play",0.0625
3,"public",0.0625
3,"columbus",0.0625
3,"forward",0.0625
3,"go",0.0625
3,"gotta",0.0625
3,"looking",0.0625
3,"monday",0.0625
3,"uggg",0.0625
4,"day",0.1
4,"easy",0.1
4,"every",0.1
4,"imac",0.1
4,"leopard",0.1
4,"liking",0.1
4,"snow",0.1
4,"thing",0.1
4,"updated",0.1
4,"use",0.1
5,"going",0.0666666666666667
5,"cleaned",0.0666666666666667
5,"else",0.0666666666666667
5,"girl",0.0666666666666667
5,"hmmm",0.0666666666666667
5,"house",0.0666666666666667
5,"laundry",0.0666666666666667
5,"little",0.0666666666666667
5,"picked",0.0666666666666667
5,"school",0.0666666666666667
5,"choose",0.0666666666666667
5,"first",0.0666666666666667
5,"lots",0.0666666666666667
5,"morning",0.0666666666666667
5,"traffic",0.0666666666666667
6,"coast",0.166666666666667
6,"2min's",0.0833333333333333
6,"4dxxa",0.0833333333333333
6,"back",0.0833333333333333
6,"brak",0.0833333333333333
6,"fuuuunnnnnyyyyy",0.0833333333333333
6,"get",0.0833333333333333
6,"ghost",0.0833333333333333
6,"never",0.0833333333333333
6,"space",0.0833333333333333
6,"theres",0.0833333333333333
7,"home",0.214285714285714
7,"now",0.142857142857143
7,"getting",0.0714285714285714
7,"sweet",0.0714285714285714
7,"head",0.0714285714285714
7,"highway",0.0714285714285714
7,"light",0.0714285714285714
7,"patrol",0.0714285714285714
7,"real",0.0714285714285714
7,"replaced",0.0714285714285714
7,"story",0.0714285714285714
8,"chicken",0.111111111111111
8,"church",0.111111111111111
8,"done",0.111111111111111
8,"dumplins",0.111111111111111
8,"eat",0.111111111111111
8,"going",0.111111111111111
8,"pop",0.111111111111111
8,"ta",0.111111111111111
8,"till",0.111111111111111
8,"guess",3.72007597602084e-44
8,"today",3.72007597602084e-44
8,"home",3.72007597602084e-44
8,"cool",3.72007597602084e-44
8,"garage",3.72007597602084e-44
8,"getting",3.72007597602084e-44
8,"ready",3.72007597602084e-44
8,"sale",3.72007597602084e-44
8,"swear",3.72007597602084e-44
8,"tomorrow",3.72007597602084e-44
8,"used",3.72007597602084e-44
8,"day",3.72007597602084e-44
8,"helping",3.72007597602084e-44
8,"junk",3.72007597602084e-44
8,"outside",3.72007597602084e-44
8,"rid",3.72007597602084e-44
8,"run",3.72007597602084e-44
8,"spending",3.72007597602084e-44
8,"easy",3.72007597602084e-44
8,"darn",3.72007597602084e-44
8,"just",3.72007597602084e-44
8,"mow",3.72007597602084e-44
8,"raining",3.72007597602084e-44
8,"take",3.72007597602084e-44
8,"well",3.72007597602084e-44
8,"cleaned",3.72007597602084e-44
8,"else",3.72007597602084e-44
8,"girl",3.72007597602084e-44
8,"hmmm",3.72007597602084e-44
8,"house",3.72007597602084e-44
8,"laundry",3.72007597602084e-44
8,"little",3.72007597602084e-44
8,"picked",3.72007597602084e-44
8,"school",3.72007597602084e-44
8,"card",3.72007597602084e-44
8,"itunes",3.72007597602084e-44
8,"something",3.72007597602084e-44
8,"spend",3.72007597602084e-44
8,"tryin",3.72007597602084e-44
8,"sweet",3.72007597602084e-44
8,"headed",3.72007597602084e-44
8,"hours",3.72007597602084e-44
8,"play",3.72007597602084e-44
8,"public",3.72007597602084e-44
8,"head",3.72007597602084e-44
8,"highway",3.72007597602084e-44
8,"light",3.72007597602084e-44
8,"now",3.72007597602084e-44
8,"patrol",3.72007597602084e-44
8,"real",3.72007597602084e-44
8,"replaced",3.72007597602084e-44
8,"story",3.72007597602084e-44
8,"columbus",3.72007597602084e-44
8,"forward",3.72007597602084e-44
8,"gotta",3.72007597602084e-44
8,"looking",3.72007597602084e-44
8,"monday",3.72007597602084e-44
8,"uggg",3.72007597602084e-44
8,"choose",3.72007597602084e-44
8,"first",3.72007597602084e-44
8,"lots",3.72007597602084e-44
8,"morning",3.72007597602084e-44
8,"traffic",3.72007597602084e-44
8,"time",3.72007597602084e-44
8,"work",3.72007597602084e-44
8,"ark",3.72007597602084e-44
8,"geesh",3.72007597602084e-44
8,"keeps",3.72007597602084e-44
8,"may",3.72007597602084e-44
8,"rain",3.72007597602084e-44
8,"start",3.72007597602084e-44
8,"finally",3.72007597602084e-44
8,"iphone",3.72007597602084e-44
8,"messaging",3.72007597602084e-44
8,"mms",3.72007597602084e-44
9,"zzzzzzzzz",0.0714285714285714
9,"go",0.0714285714285714
9,"time",0.0714285714285714
9,"work",0.0714285714285714
9,"ark",0.0714285714285714
9,"geesh",0.0714285714285714
9,"keeps",0.0714285714285714
9,"may",0.0714285714285714
9,"rain",0.0714285714285714
9,"start",0.0714285714285714
9,"finally",0.0714285714285714
9,"iphone",0.0714285714285714
9,"messaging",0.0714285714285714
9,"mms",0.0714285714285714
