"topic","term","beta"
1,"good",0.0176197206410302
1,"nascar",0.0124196550809249
1,"team",0.0123096369389724
1,"school",0.011075310860904
1,"sponsor",0.00914019246871125
1,"jeff_gluck",0.00830664855688914
1,"big",0.00830664855688914
1,"watching",0.00830664855688914
1,"reason",0.00830664855631663
1,"still",0.00712414331949713
2,"day",0.0202493887748211
2,"get",0.0150696867657053
2,"going",0.0140404905417875
2,"take",0.011439790618265
2,"game",0.0108398069697396
2,"next",0.010833387043764
2,"think",0.0107296068525003
2,"love",0.00836301732029369
2,"long",0.00722654075550379
2,"wow",0.00720994291561589
3,"get",0.0118139831181883
3,"tinyurl.com",0.0106447365974976
3,"better",0.0100549392734981
3,"jamjar84",0.00999903194461518
3,"sure",0.00900587227646992
3,"going",0.00866251829340731
3,"man",0.00784597220213056
3,"soon",0.00784020218706987
3,"need",0.00755312479043169
3,"rt",0.00675440420735245
3,"arts",0.00675440420735245
4,"just",0.0149610698394298
4,"yeah",0.0125443023138288
4,"hope",0.0103767421586329
4,"right",0.0100499545976502
4,"see",0.00960431123109859
4,"love",0.0080708113379259
4,"rt",0.0080708113379259
4,"twitpic.com",0.0080708113379259
4,"podcast",0.00744526369641298
4,"said",0.00691783828965076
5,"p",0.0287609255717141
5,"plurk.com",0.0199114100087113
5,"like",0.0138469434841615
5,"something",0.013199446238792
5,"yes",0.00995570500559326
5,"make",0.00884951556052741
5,"lol",0.00884951556052741
5,"s",0.00883723534972598
5,"can",0.00742543742205151
5,"tinyurl.com",0.00680072640201597
6,"love",0.0208231564222152
6,"c",0.0196049681971402
6,"just",0.0158921871251319
6,"new",0.0147057837675005
6,"lol",0.0137548431953348
6,"im",0.0137162869981748
6,"twitter",0.0126620004901067
6,"nperry",0.0111504626480318
6,"tonight",0.0104466889969649
6,"happy",0.0103293108645563
7,"f",0.0585203426635527
7,"international",0.0585203426635527
7,"mph",0.0585203426635527
7,"airport",0.056938711780754
7,"bb.htm",0.056938711780754
7,"indianapolis",0.056938711780754
7,"kt",0.056938711780754
7,"pressure",0.056938711780754
7,"s1z.us",0.056938711780754
7,"winds",0.056938711780754
8,"new",0.0366462883937703
8,"rene818",0.0330998214540465
8,"can",0.0168213709484841
8,"one",0.0129588715230164
8,"back",0.0127305889790097
8,"kid",0.0101845607024816
8,"fight",0.0101845607024816
8,"just",0.00947649690110821
8,"u",0.00891149061467142
8,"need",0.00890305696291114
9,"today",0.025330381824684
9,"now",0.0230860018612531
9,"just",0.01690782449022
9,"night",0.0153917615776876
9,"last",0.0128884270556857
9,"like",0.0117169423914295
9,"day",0.010808298660541
9,"days",0.0100128835740183
9,"sponsor",0.00953475577022235
9,"feel",0.00952195184614667
