"topic","term","beta"
1,"good",0.0895522288975744
1,"going",0.0447761144562267
1,"got",0.0447761144562267
1,"feel",0.0298507429708178
1,"can",0.0298507429708178
1,"made",0.0298507429708178
1,"just",0.0298507429696952
1,"really",0.0298507429637924
1,"kick",0.0149253714854089
1,"already",0.0149253714854089
1,"day",0.0149253714854089
1,"morning",0.0149253714854089
1,"suck",0.0149253714854089
1,"tell",0.0149253714854089
1,"text",0.0149253714854089
1,"today",0.0149253714854089
1,"typed",0.0149253714854089
1,"wow",0.0149253714854089
1,"inc",0.0149253714854089
1,"beats",0.0149253714854089
1,"blue",0.0149253714854089
1,"moon",0.0149253714854089
1,"nothing",0.0149253714854089
1,"wrigleyville",0.0149253714854089
1,"aaronrgillespie",0.0149253714854089
1,"anymore",0.0149253714854089
1,"black",0.0149253714854089
1,"comments",0.0149253714854089
1,"facebook",0.0149253714854089
1,"leaves",0.0149253714854089
1,"myspace",0.0149253714854089
1,"new",0.0149253714854089
1,"one",0.0149253714854089
1,"rt",0.0149253714854089
1,"diamonds",0.0149253714854089
1,"tears",0.0149253714854089
1,"america",0.0149253714854089
1,"car",0.0149253714854089
1,"drive",0.0149253714854089
1,"eating",0.0149253714854089
1,"girl",0.0149253714854089
1,"job",0.0149253714854089
1,"thru",0.0149253714854089
1,"newsprint",0.0149253714854089
1,"sad",0.0149253714854089
1,"totally",0.0149253714854089
1,"ass",0.0149253714854089
1,"focus",0.0149253714854089
1,"paper",0.0149253714854089
1,"seriously",0.0149253714854089
1,"statement",0.0149253714854089
1,"thesis",0.0149253714854089
1,"wonderful",0.0149253714854089
2,"go",0.0606065020055612
2,"cubs",0.0303032510027806
2,"heart",0.0303032510027806
2,"ever",0.0303032510027806
2,"get",0.0303032510027806
2,"wanna",0.0302285750001665
2,"need",0.0151516255013903
2,"see",0.0151516255013903
2,"today",0.0151516255013903
2,"best",0.0151516255013903
2,"know",0.0151516255013903
2,"beats",0.0151516255013903
2,"7th",0.0151516255013903
2,"anthem",0.0151516255013903
2,"hear",0.0151516255013903
2,"inning",0.0151516255013903
2,"national",0.0151516255013903
2,"songs",0.0151516255013903
2,"stretch",0.0151516255013903
2,"now",0.0151516255013903
2,"right",0.0151516255013903
2,"stay",0.0151516255013903
2,"strong",0.0151516255013903
2,"cancun",0.0151516255013903
2,"real",0.0151516255013903
2,"reunion",0.0151516255013903
2,"world",0.0151516255013903
2,"boobs",0.0151516255013903
2,"boys",0.0151516255013903
2,"cake",0.0151516255013903
2,"convo",0.0151516255013903
2,"hugging",0.0151516255013903
2,"nipples",0.0151516255013903
2,"boy",0.0151516255013903
2,"broken",0.0151516255013903
2,"still",0.0151516255013903
2,"back",0.0151516255013903
2,"big",0.0151516255013903
2,"second",0.0151516255013903
2,"almost",0.0151516255013903
2,"place",0.0151516255013903
2,"profoundxbeauty",0.0151516255013903
2,"dude",0.0151516255013903
2,"field",0.0151516255013903
2,"glad",0.0151516255013903
2,"gregolsen82",0.0151516255013903
2,"hit",0.0151516255013903
2,"intense",0.0151516255013903
3,"score",0.0641994852214736
3,"run",0.0427996568143158
3,"just",0.0427996568143158
3,"geneseo",0.0427996568143158
3,"morris",0.0427996568143158
3,"started",0.0427996568143158
3,"left",0.0427996568143154
3,"half",0.0427996568143144
3,"first",0.0213998284071579
3,"fontenot",0.0213998284071579
3,"man",0.0213998284071579
3,"tonight",0.0213998284071579
3,"halftime",0.0213998284071579
3,"another",0.0213998284071579
3,"putting",0.0213998284071579
3,"thetard",0.0213998284071579
3,"touchdown",0.0213998284071579
3,"tyler",0.0213998284071579
3,"drunk",0.0213998284071579
3,"part",0.0213998284071579
3,"weekend",0.0213998284071579
3,"thesis",0.0213998284071579
3,"class",0.0213998284071579
3,"either",0.0213998284071579
3,"everybody",0.0213998284071579
3,"give",0.0213998284071579
3,"people",0.0213998284071579
3,"texted",0.0213998284071579
3,"understand",0.0213998284071579
4,"alleman",0.0678017258393504
4,"first",0.0508512943795131
4,"moline",0.0508512943777941
4,"kick",0.0339008629196754
4,"galesburg",0.0339008629196754
4,"quincy",0.0338889390979019
4,"quarter",0.0338697322314705
4,"halftime",0.0338685350467009
4,"go",0.0169504314598377
4,"run",0.0169504314598377
4,"cause",0.0169504314598377
4,"cheaper",0.0169504314598377
4,"em",0.0169504314598377
4,"famous",0.0169504314598377
4,"ff",0.0169504314598377
4,"footwear",0.0169504314598377
4,"haha",0.0169504314598377
4,"laurenbolek",0.0169504314598377
4,"payless",0.0169504314598377
4,"probably",0.0169504314598377
4,"saw",0.0169504314598377
4,"work",0.0169504314598377
4,"1st",0.0169504314598377
4,"boland",0.0169504314598377
4,"john",0.0169504314598377
4,"meersman",0.0169504314598377
4,"scores",0.0169504314598377
4,"silver",0.0169504314598377
4,"streaks",0.0169504314598377
4,"tim",0.0169504314598377
4,"end",0.0169504314598377
4,"leads",0.0169504314598377
4,"2q",0.0169504314598377
4,"pass",0.0169504314598377
4,"lead",0.0169504314598377
4,"anthony",0.0169504314598377
4,"diaz",0.0169504314598377
4,"krantz",0.0169504314598377
4,"maroons",0.0169504314598377
4,"mikel",0.0169504314598377
4,"nick",0.0169504314598377
4,"season",0.0169504314598377
4,"takes",0.0169504314598377
4,"wismer",0.0169504314598377
5,"gray",0.0634920641709244
5,"kick",0.0634920641709244
5,"ut",0.0476190481281933
